index,x,y,free
0,-7.3500003814697266,-7.6500000953674316,1
1,-7.0500001907348633,-7.6500000953674316,1
2,-6.7500004768371582,-7.6500000953674316,1
3,-6.4500002861022949,-7.6500000953674316,1
4,-6.1500000953674316,-7.6500000953674316,1
5,-5.8500003814697266,-7.6500000953674316,1
6,-5.5500001907348633,-7.6500000953674316,1
7,-5.2500004768371582,-7.6500000953674316,1
8,-4.9500002861022949,-7.6500000953674316,1
9,-4.6500000953674316,-7.6500000953674316,0
10,-4.3500003814697266,-7.6500000953674316,1
11,-4.0500001907348633,-7.6500000953674316,1
12,-3.7500002384185791,-7.6500000953674316,1
13,-3.4500002861022949,-7.6500000953674316,1
14,-3.1500000953674316,-7.6500000953674316,1
15,-2.8500003814697266,-7.6500000953674316,1
16,-2.5500001907348633,-7.6500000953674316,1
17,-2.25,-7.6500000953674316,0
18,-1.9500004053115845,-7.6500000953674316,0
19,-1.6500002145767212,-7.6500000953674316,1
20,-1.3500005006790161,-7.6500000953674316,1
21,-1.0500003099441528,-7.6500000953674316,1
22,-0.75000011920928955,-7.6500000953674316,1
23,-0.45000037550926208,-7.6500000953674316,1
24,-0.1500001847743988,-7.6500000953674316,1
25,0.15000000596046448,-7.6500000953674316,1
26,0.44999971985816956,-7.6500000953674316,1
27,0.74999988079071045,-7.6500000953674316,1
28,1.0500000715255737,-7.6500000953674316,0
29,-7.3500003814697266,-7.3499999046325684,1
30,-7.0500001907348633,-7.3499999046325684,1
31,-6.7500004768371582,-7.3499999046325684,1
32,-6.4500002861022949,-7.3499999046325684,1
33,-6.1500000953674316,-7.3499999046325684,1
34,-5.8500003814697266,-7.3499999046325684,1
35,-5.5500001907348633,-7.3499999046325684,1
36,-5.2500004768371582,-7.3499999046325684,1
37,-4.9500002861022949,-7.3499999046325684,1
38,-4.6500000953674316,-7.3499999046325684,0
39,-4.3500003814697266,-7.3499999046325684,1
40,-4.0500001907348633,-7.3499999046325684,1
41,-3.7500002384185791,-7.3499999046325684,1
42,-3.4500002861022949,-7.3499999046325684,1
43,-3.1500000953674316,-7.3499999046325684,1
44,-2.8500003814697266,-7.3499999046325684,1
45,-2.5500001907348633,-7.3499999046325684,1
46,-2.25,-7.3499999046325684,0
47,-1.9500004053115845,-7.3499999046325684,0
48,-1.6500002145767212,-7.3499999046325684,1
49,-1.3500005006790161,-7.3499999046325684,1
50,-1.0500003099441528,-7.3499999046325684,1
51,-0.75000011920928955,-7.3499999046325684,1
52,-0.45000037550926208,-7.3499999046325684,1
53,-0.1500001847743988,-7.3499999046325684,1
54,0.15000000596046448,-7.3499999046325684,1
55,0.44999971985816956,-7.3499999046325684,1
56,0.74999988079071045,-7.3499999046325684,1
57,1.0500000715255737,-7.3499999046325684,0
58,-7.3500003814697266,-7.0500001907348633,1
59,-7.0500001907348633,-7.0500001907348633,1
60,-6.7500004768371582,-7.0500001907348633,1
61,-6.4500002861022949,-7.0500001907348633,1
62,-6.1500000953674316,-7.0500001907348633,1
63,-5.8500003814697266,-7.0500001907348633,1
64,-5.5500001907348633,-7.0500001907348633,1
65,-5.2500004768371582,-7.0500001907348633,1
66,-4.9500002861022949,-7.0500001907348633,1
67,-4.6500000953674316,-7.0500001907348633,0
68,-4.3500003814697266,-7.0500001907348633,1
69,-4.0500001907348633,-7.0500001907348633,1
70,-3.7500002384185791,-7.0500001907348633,1
71,-3.4500002861022949,-7.0500001907348633,1
72,-3.1500000953674316,-7.0500001907348633,1
73,-2.8500003814697266,-7.0500001907348633,1
74,-2.5500001907348633,-7.0500001907348633,1
75,-2.25,-7.0500001907348633,1
76,-1.9500004053115845,-7.0500001907348633,0
77,-1.6500002145767212,-7.0500001907348633,0
78,-1.3500005006790161,-7.0500001907348633,1
79,-1.0500003099441528,-7.0500001907348633,1
80,-0.75000011920928955,-7.0500001907348633,1
81,-0.45000037550926208,-7.0500001907348633,1
82,-0.1500001847743988,-7.0500001907348633,1
83,0.15000000596046448,-7.0500001907348633,1
84,0.44999971985816956,-7.0500001907348633,1
85,0.74999988079071045,-7.0500001907348633,1
86,1.0500000715255737,-7.0500001907348633,0
87,-7.3500003814697266,-6.75,1
88,-7.0500001907348633,-6.75,1
89,-6.7500004768371582,-6.75,1
90,-6.4500002861022949,-6.75,1
91,-6.1500000953674316,-6.75,1
92,-5.8500003814697266,-6.75,1
93,-5.5500001907348633,-6.75,1
94,-5.2500004768371582,-6.75,1
95,-4.9500002861022949,-6.75,1
96,-4.6500000953674316,-6.75,0
97,-4.3500003814697266,-6.75,1
98,-4.0500001907348633,-6.75,1
99,-3.7500002384185791,-6.75,1
100,-3.4500002861022949,-6.75,1
101,-3.1500000953674316,-6.75,1
102,-2.8500003814697266,-6.75,1
103,-2.5500001907348633,-6.75,1
104,-2.25,-6.75,1
105,-1.9500004053115845,-6.75,0
106,-1.6500002145767212,-6.75,0
107,-1.3500005006790161,-6.75,1
108,-1.0500003099441528,-6.75,1
109,-0.75000011920928955,-6.75,1
110,-0.45000037550926208,-6.75,1
111,-0.1500001847743988,-6.75,1
112,0.15000000596046448,-6.75,1
113,0.44999971985816956,-6.75,1
114,0.74999988079071045,-6.75,1
115,1.0500000715255737,-6.75,0
116,-7.3500003814697266,-6.4500002861022949,1
117,-7.0500001907348633,-6.4500002861022949,1
118,-6.7500004768371582,-6.4500002861022949,1
119,-6.4500002861022949,-6.4500002861022949,1
120,-6.1500000953674316,-6.4500002861022949,1
121,-5.8500003814697266,-6.4500002861022949,1
122,-5.5500001907348633,-6.4500002861022949,1
123,-5.2500004768371582,-6.4500002861022949,1
124,-4.9500002861022949,-6.4500002861022949,1
125,-4.6500000953674316,-6.4500002861022949,0
126,-4.3500003814697266,-6.4500002861022949,1
127,-4.0500001907348633,-6.4500002861022949,1
128,-3.7500002384185791,-6.4500002861022949,1
129,-3.4500002861022949,-6.4500002861022949,1
130,-3.1500000953674316,-6.4500002861022949,1
131,-2.8500003814697266,-6.4500002861022949,1
132,-2.5500001907348633,-6.4500002861022949,1
133,-2.25,-6.4500002861022949,1
134,-1.9500004053115845,-6.4500002861022949,0
135,-1.6500002145767212,-6.4500002861022949,1
136,-1.3500005006790161,-6.4500002861022949,1
137,-1.0500003099441528,-6.4500002861022949,1
138,-0.75000011920928955,-6.4500002861022949,1
139,-0.45000037550926208,-6.4500002861022949,1
140,-0.1500001847743988,-6.4500002861022949,1
141,0.15000000596046448,-6.4500002861022949,1
142,0.44999971985816956,-6.4500002861022949,1
143,0.74999988079071045,-6.4500002861022949,1
144,1.0500000715255737,-6.4500002861022949,0
145,-7.3500003814697266,-6.1500000953674316,1
146,-7.0500001907348633,-6.1500000953674316,1
147,-6.7500004768371582,-6.1500000953674316,1
148,-6.4500002861022949,-6.1500000953674316,1
149,-6.1500000953674316,-6.1500000953674316,1
150,-5.8500003814697266,-6.1500000953674316,1
151,-5.5500001907348633,-6.1500000953674316,1
152,-5.2500004768371582,-6.1500000953674316,1
153,-4.9500002861022949,-6.1500000953674316,1
154,-4.6500000953674316,-6.1500000953674316,0
155,-4.3500003814697266,-6.1500000953674316,1
156,-4.0500001907348633,-6.1500000953674316,1
157,-3.7500002384185791,-6.1500000953674316,1
158,-3.4500002861022949,-6.1500000953674316,1
159,-3.1500000953674316,-6.1500000953674316,1
160,-2.8500003814697266,-6.1500000953674316,1
161,-2.5500001907348633,-6.1500000953674316,1
162,-2.25,-6.1500000953674316,1
163,-1.9500004053115845,-6.1500000953674316,0
164,-1.6500002145767212,-6.1500000953674316,1
165,-1.3500005006790161,-6.1500000953674316,1
166,-1.0500003099441528,-6.1500000953674316,1
167,-0.75000011920928955,-6.1500000953674316,1
168,-0.45000037550926208,-6.1500000953674316,1
169,-0.1500001847743988,-6.1500000953674316,1
170,0.15000000596046448,-6.1500000953674316,1
171,0.44999971985816956,-6.1500000953674316,1
172,0.74999988079071045,-6.1500000953674316,1
173,1.0500000715255737,-6.1500000953674316,0
174,-7.3500003814697266,-5.8499999046325684,1
175,-7.0500001907348633,-5.8499999046325684,1
176,-6.7500004768371582,-5.8499999046325684,1
177,-6.4500002861022949,-5.8499999046325684,1
178,-6.1500000953674316,-5.8499999046325684,1
179,-5.8500003814697266,-5.8499999046325684,1
180,-5.5500001907348633,-5.8499999046325684,1
181,-5.2500004768371582,-5.8499999046325684,1
182,-4.9500002861022949,-5.8499999046325684,1
183,-4.6500000953674316,-5.8499999046325684,0
184,-4.3500003814697266,-5.8499999046325684,1
185,-4.0500001907348633,-5.8499999046325684,1
186,-3.7500002384185791,-5.8499999046325684,1
187,-3.4500002861022949,-5.8499999046325684,1
188,-3.1500000953674316,-5.8499999046325684,1
189,-2.8500003814697266,-5.8499999046325684,1
190,-2.5500001907348633,-5.8499999046325684,1
191,-2.25,-5.8499999046325684,1
192,-1.9500004053115845,-5.8499999046325684,0
193,-1.6500002145767212,-5.8499999046325684,1
194,-1.3500005006790161,-5.8499999046325684,1
195,-1.0500003099441528,-5.8499999046325684,1
196,-0.75000011920928955,-5.8499999046325684,1
197,-0.45000037550926208,-5.8499999046325684,1
198,-0.1500001847743988,-5.8499999046325684,1
199,0.15000000596046448,-5.8499999046325684,1
200,0.44999971985816956,-5.8499999046325684,1
201,0.74999988079071045,-5.8499999046325684,1
202,1.0500000715255737,-5.8499999046325684,0
203,-7.3500003814697266,-5.5499997138977051,1
204,-7.0500001907348633,-5.5499997138977051,1
205,-6.7500004768371582,-5.5499997138977051,1
206,-6.4500002861022949,-5.5499997138977051,1
207,-6.1500000953674316,-5.5499997138977051,1
208,-5.8500003814697266,-5.5499997138977051,1
209,-5.5500001907348633,-5.5499997138977051,1
210,-5.2500004768371582,-5.5499997138977051,1
211,-4.9500002861022949,-5.5499997138977051,1
212,-4.6500000953674316,-5.5499997138977051,0
213,-4.3500003814697266,-5.5499997138977051,1
214,-4.0500001907348633,-5.5499997138977051,1
215,-3.7500002384185791,-5.5499997138977051,1
216,-3.4500002861022949,-5.5499997138977051,1
217,-3.1500000953674316,-5.5499997138977051,1
218,-2.8500003814697266,-5.5499997138977051,1
219,-2.5500001907348633,-5.5499997138977051,1
220,-2.25,-5.5499997138977051,1
221,-1.9500004053115845,-5.5499997138977051,0
222,-1.6500002145767212,-5.5499997138977051,1
223,-1.3500005006790161,-5.5499997138977051,1
224,-1.0500003099441528,-5.5499997138977051,1
225,-0.75000011920928955,-5.5499997138977051,1
226,-0.45000037550926208,-5.5499997138977051,1
227,-0.1500001847743988,-5.5499997138977051,1
228,0.15000000596046448,-5.5499997138977051,1
229,0.44999971985816956,-5.5499997138977051,1
230,0.74999988079071045,-5.5499997138977051,1
231,1.0500000715255737,-5.5499997138977051,0
232,-7.3500003814697266,-5.25,1
233,-7.0500001907348633,-5.25,1
234,-6.7500004768371582,-5.25,1
235,-6.4500002861022949,-5.25,1
236,-6.1500000953674316,-5.25,1
237,-5.8500003814697266,-5.25,1
238,-5.5500001907348633,-5.25,1
239,-5.2500004768371582,-5.25,1
240,-4.9500002861022949,-5.25,1
241,-4.6500000953674316,-5.25,0
242,-4.3500003814697266,-5.25,1
243,-4.0500001907348633,-5.25,1
244,-3.7500002384185791,-5.25,1
245,-3.4500002861022949,-5.25,1
246,-3.1500000953674316,-5.25,1
247,-2.8500003814697266,-5.25,1
248,-2.5500001907348633,-5.25,1
249,-2.25,-5.25,1
250,-1.9500004053115845,-5.25,0
251,-1.6500002145767212,-5.25,1
252,-1.3500005006790161,-5.25,1
253,-1.0500003099441528,-5.25,1
254,-0.75000011920928955,-5.25,1
255,-0.45000037550926208,-5.25,0
256,-0.1500001847743988,-5.25,0
257,0.15000000596046448,-5.25,0
258,0.44999971985816956,-5.25,0
259,0.74999988079071045,-5.25,0
260,1.0500000715255737,-5.25,0
261,-7.3500003814697266,-4.9500002861022949,1
262,-7.0500001907348633,-4.9500002861022949,1
263,-6.7500004768371582,-4.9500002861022949,1
264,-6.4500002861022949,-4.9500002861022949,1
265,-6.1500000953674316,-4.9500002861022949,1
266,-5.8500003814697266,-4.9500002861022949,1
267,-5.5500001907348633,-4.9500002861022949,1
268,-5.2500004768371582,-4.9500002861022949,1
269,-4.9500002861022949,-4.9500002861022949,1
270,-4.6500000953674316,-4.9500002861022949,0
271,-4.3500003814697266,-4.9500002861022949,1
272,-4.0500001907348633,-4.9500002861022949,1
273,-3.7500002384185791,-4.9500002861022949,1
274,-3.4500002861022949,-4.9500002861022949,1
275,-3.1500000953674316,-4.9500002861022949,1
276,-2.8500003814697266,-4.9500002861022949,1
277,-2.5500001907348633,-4.9500002861022949,1
278,-2.25,-4.9500002861022949,1
279,-1.9500004053115845,-4.9500002861022949,0
280,-1.6500002145767212,-4.9500002861022949,1
281,-1.3500005006790161,-4.9500002861022949,1
282,-1.0500003099441528,-4.9500002861022949,1
283,-0.75000011920928955,-4.9500002861022949,1
284,-0.45000037550926208,-4.9500002861022949,0
285,-0.1500001847743988,-4.9500002861022949,0
286,0.15000000596046448,-4.9500002861022949,0
287,0.44999971985816956,-4.9500002861022949,0
288,0.74999988079071045,-4.9500002861022949,0
289,1.0500000715255737,-4.9500002861022949,0
290,-7.3500003814697266,-4.6500000953674316,1
291,-7.0500001907348633,-4.6500000953674316,1
292,-6.7500004768371582,-4.6500000953674316,1
293,-6.4500002861022949,-4.6500000953674316,1
294,-6.1500000953674316,-4.6500000953674316,1
295,-5.8500003814697266,-4.6500000953674316,1
296,-5.5500001907348633,-4.6500000953674316,1
297,-5.2500004768371582,-4.6500000953674316,1
298,-4.9500002861022949,-4.6500000953674316,1
299,-4.6500000953674316,-4.6500000953674316,0
300,-4.3500003814697266,-4.6500000953674316,0
301,-4.0500001907348633,-4.6500000953674316,0
302,-3.7500002384185791,-4.6500000953674316,0
303,-3.4500002861022949,-4.6500000953674316,0
304,-3.1500000953674316,-4.6500000953674316,0
305,-2.8500003814697266,-4.6500000953674316,1
306,-2.5500001907348633,-4.6500000953674316,1
307,-2.25,-4.6500000953674316,1
308,-1.9500004053115845,-4.6500000953674316,0
309,-1.6500002145767212,-4.6500000953674316,1
310,-1.3500005006790161,-4.6500000953674316,1
311,-1.0500003099441528,-4.6500000953674316,1
312,-0.75000011920928955,-4.6500000953674316,0
313,-0.45000037550926208,-4.6500000953674316,0
314,-0.1500001847743988,-4.6500000953674316,0
315,0.15000000596046448,-4.6500000953674316,0
316,0.44999971985816956,-4.6500000953674316,0
317,0.74999988079071045,-4.6500000953674316,0
318,1.0500000715255737,-4.6500000953674316,0
319,-7.3500003814697266,-4.3499999046325684,1
320,-7.0500001907348633,-4.3499999046325684,1
321,-6.7500004768371582,-4.3499999046325684,1
322,-6.4500002861022949,-4.3499999046325684,1
323,-6.1500000953674316,-4.3499999046325684,1
324,-5.8500003814697266,-4.3499999046325684,1
325,-5.5500001907348633,-4.3499999046325684,1
326,-5.2500004768371582,-4.3499999046325684,1
327,-4.9500002861022949,-4.3499999046325684,1
328,-4.6500000953674316,-4.3499999046325684,0
329,-4.3500003814697266,-4.3499999046325684,0
330,-4.0500001907348633,-4.3499999046325684,0
331,-3.7500002384185791,-4.3499999046325684,0
332,-3.4500002861022949,-4.3499999046325684,0
333,-3.1500000953674316,-4.3499999046325684,0
334,-2.8500003814697266,-4.3499999046325684,1
335,-2.5500001907348633,-4.3499999046325684,1
336,-2.25,-4.3499999046325684,1
337,-1.9500004053115845,-4.3499999046325684,0
338,-1.6500002145767212,-4.3499999046325684,1
339,-1.3500005006790161,-4.3499999046325684,1
340,-1.0500003099441528,-4.3499999046325684,1
341,-0.75000011920928955,-4.3499999046325684,0
342,-0.45000037550926208,-4.3499999046325684,0
343,-0.1500001847743988,-4.3499999046325684,0
344,0.15000000596046448,-4.3499999046325684,0
345,0.44999971985816956,-4.3499999046325684,0
346,0.74999988079071045,-4.3499999046325684,0
347,1.0500000715255737,-4.3499999046325684,0
348,-7.3500003814697266,-4.0499997138977051,1
349,-7.0500001907348633,-4.0499997138977051,1
350,-6.7500004768371582,-4.0499997138977051,1
351,-6.4500002861022949,-4.0499997138977051,1
352,-6.1500000953674316,-4.0499997138977051,1
353,-5.8500003814697266,-4.0499997138977051,1
354,-5.5500001907348633,-4.0499997138977051,1
355,-5.2500004768371582,-4.0499997138977051,1
356,-4.9500002861022949,-4.0499997138977051,1
357,-4.6500000953674316,-4.0499997138977051,0
358,-4.3500003814697266,-4.0499997138977051,0
359,-4.0500001907348633,-4.0499997138977051,0
360,-3.7500002384185791,-4.0499997138977051,0
361,-3.4500002861022949,-4.0499997138977051,0
362,-3.1500000953674316,-4.0499997138977051,0
363,-2.8500003814697266,-4.0499997138977051,0
