run_uuid,source_update_id,candidate_id,candidate_x,candidate_y,member_index,event_index,block_id,sim_time_s,cell_index,observed_hit,concentration,threshold,legacy_hit_probability,aggregate_raw_exposure,iterations_to_record,delta_time_s,context_value,context_centered_log_odds,observation_operator
CTPI_H02_S12_M1R_20260912T135130Z,1,quadtree_24_30_3_5,2.25726986,2.29911995,0,0,1,2.09786978,448,1,0.366038412,0.1,0,0,200,0.2,0.149112904,0,hit_map_probability
CTPI_H02_S12_M1R_20260912T135130Z,1,quadtree_24_30_3_5,2.25726986,2.29911995,0,1,2,3.99799383,448,1,0.43335858,0.1,0,0,200,0.2,0.149112904,0,hit_map_probability
CTPI_H02_S12_M1R_20260912T135130Z,1,quadtree_24_30_3_5,2.25726986,2.29911995,0,2,3,6.09811818,448,1,0.441260159,0.1,0,0,200,0.2,0.149112904,0,hit_map_probability
CTPI_H02_S12_M1R_20260912T135130Z,1,quadtree_24_30_3_5,2.25726986,2.29911995,0,3,4,7.99797572,448,1,0.427009255,0.1,0,0,200,0.2,0.149112904,0,hit_map_probability
CTPI_H02_S12_M1R_20260912T135130Z,1,quadtree_24_30_3_5,2.25726986,2.29911995,0,4,5,9.99825531,448,1,0.418370336,0.1,0,0,200,0.2,0.149112904,0,hit_map_probability
CTPI_H02_S12_M1R_20260912T135130Z,1,quadtree_24_30_3_5,2.25726986,2.29911995,0,5,6,12.0989264,448,1,0.440038443,0.1,0,0,200,0.2,0.149112904,0,hit_map_probability
CTPI_H02_S12_M1R_20260912T135130Z,1,quadtree_24_30_3_5,2.25726986,2.29911995,0,6,7,14.0994748,448,1,0.484953552,0.1,0,0,200,0.2,0.149112904,0,hit_map_probability
CTPI_H02_S12_M1R_20260912T135130Z,1,quadtree_24_30_3_5,2.25726986,2.29911995,0,7,8,16.098845,448,1,0.467057317,0.1,0,0,200,0.2,0.149112904,0,hit_map_probability
CTPI_H02_S12_M1R_20260912T135130Z,1,quadtree_24_30_3_5,2.25726986,2.29911995,0,8,9,19.1980427,444,1,0.686616421,0.1,0,0,200,0.2,0.166370967,0,hit_map_probability
CTPI_H02_S12_M1R_20260912T135130Z,1,quadtree_24_30_3_5,2.25726986,2.29911995,0,9,10,21.1979215,444,1,0.726703823,0.1,0,0,200,0.2,0.166370967,0,hit_map_probability
CTPI_H02_S12_M1R_20260912T135130Z,1,quadtree_24_30_3_5,2.25726986,2.29911995,0,10,11,23.2986871,444,1,0.740957558,0.1,0,0,200,0.2,0.166370967,0,hit_map_probability
CTPI_H02_S12_M1R_20260912T135130Z,1,quadtree_24_30_3_5,2.25726986,2.29911995,0,11,12,25.1982027,444,1,0.757176042,0.1,0,0,200,0.2,0.166370967,0,hit_map_probability
CTPI_H02_S12_M1R_20260912T135130Z,1,quadtree_24_30_3_5,2.25726986,2.29911995,0,12,13,27.1981042,444,1,0.804707527,0.1,0,0,200,0.2,0.166370967,0,hit_map_probability
CTPI_H02_S12_M1R_20260912T135130Z,1,quadtree_24_30_3_5,2.25726986,2.29911995,0,13,14,29.1978825,444,1,0.88930881,0.1,0,0,200,0.2,0.166370967,0,hit_map_probability
CTPI_H02_S12_M1R_20260912T135130Z,1,quadtree_24_30_3_5,2.25726986,2.29911995,0,14,15,31.1978433,444,1,0.875720382,0.1,0,0,200,0.2,0.166370967,0,hit_map_probability
CTPI_H02_S12_M1R_20260912T135130Z,1,quadtree_24_30_3_5,2.25726986,2.29911995,0,15,16,33.197926,444,1,0.858520508,0.1,0,0,200,0.2,0.166370967,0,hit_map_probability
