t_sim_s,x,y,z
24.0,8.9,2.4739999999999855,0.3
24.2,8.9,2.5739999999999856,0.3
24.4,8.9,2.6739999999999857,0.3
24.6,8.9,2.773999999999986,0.3
24.8,8.9,2.873999999999986,0.3
25.0,8.986999999999986,2.887,0.3
25.2,9.086999999999986,2.887,0.3
25.4,9.186999999999985,2.887,0.3
25.6,9.286999999999985,2.887,0.3
25.8,9.386999999999984,2.887,0.3
26.0,9.486999999999984,2.887,0.3
26.2,9.586999999999984,2.887,0.3
26.4,9.686999999999983,2.887,0.3
26.6,9.786999999999983,2.887,0.3
26.8,9.886999999999983,2.887,0.3
27.0,9.986999999999982,2.887,0.3
27.2,10.086999999999982,2.887,0.3
27.4,10.186999999999982,2.887,0.3
27.6,10.286999999999981,2.887,0.3
27.8,10.386999999999981,2.887,0.3
28.0,10.4,2.887,0.3
