sample_id,sample_time_s,iteration,x,y,z,concentration_ppm,wind_u,wind_v,wind_w
0,0.20000000000000001,0,-2,0.070000000000000007,0.20000000000000001,0,-0.27774998545646667,0.013144000433385372,0.0019720999989658594
1,0.40000000000000002,0,-2,0.070000000000000007,0.20000000000000001,0,-0.27774998545646667,0.013144000433385372,0.0019720999989658594
2,0.59999999999999998,0,-2,0.070000000000000007,0.20000000000000001,0,-0.27774998545646667,0.013144000433385372,0.0019720999989658594
3,0.80000000000000004,1,-2,0.070000000000000007,0.20000000000000001,7.2702970504760742,-0.27774998545646667,0.013144000433385372,0.0019720999989658594
4,1,1,-2,0.070000000000000007,0.20000000000000001,7.2702970504760742,-0.27774998545646667,0.013144000433385372,0.0019720999989658594
5,1.2,2,-2,0.070000000000000007,0.20000000000000001,21.296451568603516,0.24637000262737274,-0.037744998931884766,-0.021888000890612602
6,1.3999999999999999,2,-2,0.070000000000000007,0.20000000000000001,21.296451568603516,0.24637000262737274,-0.037744998931884766,-0.021888000890612602
7,1.6000000000000001,2,-2,0.070000000000000007,0.20000000000000001,21.296451568603516,0.24637000262737274,-0.037744998931884766,-0.021888000890612602
8,1.8,3,-2,0.070000000000000007,0.20000000000000001,12.486902236938477,0.24637000262737274,-0.037744998931884766,-0.021888000890612602
9,2,3,-2,0.070000000000000007,0.20000000000000001,12.486902236938477,0.24637000262737274,-0.037744998931884766,-0.021888000890612602
10,2.2000000000000002,4,-1.5,0.070000000000000007,0.20000000000000001,0,0.17013999819755554,-0.25209999084472656,-0.0093015003949403763
11,2.3999999999999999,4,-1.5,0.070000000000000007,0.20000000000000001,0,0.17013999819755554,-0.25209999084472656,-0.0093015003949403763
12,2.6000000000000001,4,-1.5,0.070000000000000007,0.20000000000000001,0,0.17013999819755554,-0.25209999084472656,-0.0093015003949403763
13,2.7999999999999998,5,-1.5,0.070000000000000007,0.20000000000000001,0,0.17013999819755554,-0.25209999084472656,-0.0093015003949403763
14,3,5,-1.5,0.070000000000000007,0.20000000000000001,0,0.17013999819755554,-0.25209999084472656,-0.0093015003949403763
15,3.2000000000000002,6,-1.5,0.070000000000000007,0.20000000000000001,0,0.14129999279975891,-0.24431000649929047,-0.024444000795483589
16,3.3999999999999999,6,-1.5,0.070000000000000007,0.20000000000000001,0,0.14129999279975891,-0.24431000649929047,-0.024444000795483589
17,3.6000000000000001,6,-1.5,0.070000000000000007,0.20000000000000001,0,0.14129999279975891,-0.24431000649929047,-0.024444000795483589
18,3.7999999999999998,7,-1.5,0.070000000000000007,0.20000000000000001,0,0.14129999279975891,-0.24431000649929047,-0.024444000795483589
19,4,7,-1.5,0.070000000000000007,0.20000000000000001,0,0.14129999279975891,-0.24431000649929047,-0.024444000795483589
20,4.2000000000000002,8,-1,0.070000000000000007,0.20000000000000001,0,0.01559900026768446,-0.10186000168323517,0.04685400053858757
21,4.4000000000000004,8,-1,0.070000000000000007,0.20000000000000001,0,0.01559900026768446,-0.10186000168323517,0.04685400053858757
22,4.5999999999999996,8,-1,0.070000000000000007,0.20000000000000001,0,0.01559900026768446,-0.10186000168323517,0.04685400053858757
23,4.7999999999999998,9,-1,0.070000000000000007,0.20000000000000001,0,0.01559900026768446,-0.10186000168323517,0.04685400053858757
24,5,9,-1,0.070000000000000007,0.20000000000000001,0,0.01559900026768446,-0.10186000168323517,0.04685400053858757
25,5.2000000000000002,10,-1,0.070000000000000007,0.20000000000000001,0,0.016764000058174133,-0.10548000037670135,0.046346999704837799
26,5.4000000000000004,10,-1,0.070000000000000007,0.20000000000000001,0,0.016764000058174133,-0.10548000037670135,0.046346999704837799
27,5.5999999999999996,10,-1,0.070000000000000007,0.20000000000000001,0,0.016764000058174133,-0.10548000037670135,0.046346999704837799
28,5.7999999999999998,11,-1,0.070000000000000007,0.20000000000000001,0,0.016764000058174133,-0.10548000037670135,0.046346999704837799
29,6,11,-1,0.070000000000000007,0.20000000000000001,0,0.016764000058174133,-0.10548000037670135,0.046346999704837799
30,6.2000000000000002,12,-2,0.56999999999999995,0.20000000000000001,0,0,0,0
31,6.4000000000000004,12,-2,0.56999999999999995,0.20000000000000001,0,0,0,0
32,6.5999999999999996,12,-2,0.56999999999999995,0.20000000000000001,0,0,0,0
33,6.7999999999999998,13,-2,0.56999999999999995,0.20000000000000001,0,0,0,0
34,7,13,-2,0.56999999999999995,0.20000000000000001,0,0,0,0
35,7.2000000000000002,14,-2,0.56999999999999995,0.20000000000000001,0,0,0,0
36,7.4000000000000004,14,-2,0.56999999999999995,0.20000000000000001,0,0,0,0
37,7.5999999999999996,14,-2,0.56999999999999995,0.20000000000000001,0,0,0,0
38,7.7999999999999998,15,-2,0.56999999999999995,0.20000000000000001,0,0,0,0
39,8,15,-2,0.56999999999999995,0.20000000000000001,0,0,0,0
40,8.1999999999999993,16,-2,-0.42999999999999999,0.20000000000000001,0,0,0,0
41,8.4000000000000004,16,-2,-0.42999999999999999,0.20000000000000001,0,0,0,0
42,8.5999999999999996,16,-2,-0.42999999999999999,0.20000000000000001,0,0,0,0
43,8.8000000000000007,17,-2,-0.42999999999999999,0.20000000000000001,0,0,0,0
44,9,17,-2,-0.42999999999999999,0.20000000000000001,0,0,0,0
45,9.1999999999999993,18,-2,-0.42999999999999999,0.20000000000000001,0,0,0,0
46,9.4000000000000004,18,-2,-0.42999999999999999,0.20000000000000001,0,0,0,0
47,9.5999999999999996,18,-2,-0.42999999999999999,0.20000000000000001,0,0,0,0
48,9.8000000000000007,19,-2,-0.42999999999999999,0.20000000000000001,0,0,0,0
49,10,19,-2,-0.42999999999999999,0.20000000000000001,0,0,0,0
