sample_id,sample_time_s,iteration,x,y,z,concentration_ppm,wind_u,wind_v,wind_w
0,0.2,0,-2.0,0.07,0.2,0,-0.27774998545646667,0.013144000433385372,0.0019720999989658594
1,0.4,0,-2.0,0.07,0.2,0,-0.27774998545646667,0.013144000433385372,0.0019720999989658594
2,0.6,0,-2.0,0.07,0.2,0,-0.27774998545646667,0.013144000433385372,0.0019720999989658594
3,0.8,1,-2.0,0.07,0.2,7.2702970504760742,-0.27774998545646667,0.013144000433385372,0.0019720999989658594
4,1.0,1,-2.0,0.07,0.2,7.2702970504760742,-0.27774998545646667,0.013144000433385372,0.0019720999989658594
5,1.2,2,-2.0,0.07,0.2,21.296451568603516,0.24637000262737274,-0.037744998931884766,-0.021888000890612602
6,1.4,2,-2.0,0.07,0.2,21.296451568603516,0.24637000262737274,-0.037744998931884766,-0.021888000890612602
7,1.6,2,-2.0,0.07,0.2,21.296451568603516,0.24637000262737274,-0.037744998931884766,-0.021888000890612602
8,1.8,3,-2.0,0.07,0.2,12.486902236938477,0.24637000262737274,-0.037744998931884766,-0.021888000890612602
9,2.0,3,-2.0,0.07,0.2,12.486902236938477,0.24637000262737274,-0.037744998931884766,-0.021888000890612602
10,2.2,4,-1.5,0.07,0.2,0,0.17013999819755554,-0.25209999084472656,-0.0093015003949403763
11,2.4,4,-1.5,0.07,0.2,0,0.17013999819755554,-0.25209999084472656,-0.0093015003949403763
12,2.6,4,-1.5,0.07,0.2,0,0.17013999819755554,-0.25209999084472656,-0.0093015003949403763
13,2.8,5,-1.5,0.07,0.2,0,0.17013999819755554,-0.25209999084472656,-0.0093015003949403763
14,3.0,5,-1.5,0.07,0.2,0,0.17013999819755554,-0.25209999084472656,-0.0093015003949403763
15,3.2,6,-1.5,0.07,0.2,0,0.14129999279975891,-0.24431000649929047,-0.024444000795483589
16,3.4,6,-1.5,0.07,0.2,0,0.14129999279975891,-0.24431000649929047,-0.024444000795483589
17,3.6,6,-1.5,0.07,0.2,0,0.14129999279975891,-0.24431000649929047,-0.024444000795483589
18,3.8,7,-1.5,0.07,0.2,0,0.14129999279975891,-0.24431000649929047,-0.024444000795483589
19,4.0,7,-1.5,0.07,0.2,0,0.14129999279975891,-0.24431000649929047,-0.024444000795483589
20,4.2,8,-1.0,0.07,0.2,0,0.01559900026768446,-0.10186000168323517,0.04685400053858757
21,4.4,8,-1.0,0.07,0.2,0,0.01559900026768446,-0.10186000168323517,0.04685400053858757
22,4.6,8,-1.0,0.07,0.2,0,0.01559900026768446,-0.10186000168323517,0.04685400053858757
23,4.8,9,-1.0,0.07,0.2,0,0.01559900026768446,-0.10186000168323517,0.04685400053858757
24,5.0,9,-1.0,0.07,0.2,0,0.01559900026768446,-0.10186000168323517,0.04685400053858757
25,5.2,10,-1.0,0.07,0.2,0,0.016764000058174133,-0.10548000037670135,0.046346999704837799
26,5.4,10,-1.0,0.07,0.2,0,0.016764000058174133,-0.10548000037670135,0.046346999704837799
27,5.6,10,-1.0,0.07,0.2,0,0.016764000058174133,-0.10548000037670135,0.046346999704837799
28,5.8,11,-1.0,0.07,0.2,0,0.016764000058174133,-0.10548000037670135,0.046346999704837799
29,6.0,11,-1.0,0.07,0.2,0,0.016764000058174133,-0.10548000037670135,0.046346999704837799
30,6.2,12,-2.0,0.57,0.2,0,0,0,0
31,6.4,12,-2.0,0.57,0.2,0,0,0,0
32,6.6,12,-2.0,0.57,0.2,0,0,0,0
33,6.8,13,-2.0,0.57,0.2,0,0,0,0
34,7.0,13,-2.0,0.57,0.2,0,0,0,0
35,7.2,14,-2.0,0.57,0.2,0,0,0,0
36,7.4,14,-2.0,0.57,0.2,0,0,0,0
37,7.6,14,-2.0,0.57,0.2,0,0,0,0
38,7.8,15,-2.0,0.57,0.2,0,0,0,0
39,8.0,15,-2.0,0.57,0.2,0,0,0,0
40,8.2,16,-2.0,-0.43,0.2,0,0,0,0
41,8.4,16,-2.0,-0.43,0.2,0,0,0,0
42,8.6,16,-2.0,-0.43,0.2,0,0,0,0
43,8.8,17,-2.0,-0.43,0.2,0,0,0,0
44,9.0,17,-2.0,-0.43,0.2,0,0,0,0
45,9.2,18,-2.0,-0.43,0.2,0,0,0,0
46,9.4,18,-2.0,-0.43,0.2,0,0,0,0
47,9.6,18,-2.0,-0.43,0.2,0,0,0,0
48,9.8,19,-2.0,-0.43,0.2,0,0,0,0
49,10.0,19,-2.0,-0.43,0.2,0,0,0,0
