t_sim_s,x,y,z
0.0,6.000000000000001,2.3417117664403717,0.3
0.2,6.006663444002709,2.393663444002708,0.3
0.4,6.045350505063389,2.4323505050633893,0.3
0.6,6.084037566124071,2.4710375661240707,0.3
0.8,6.1000000000000005,2.5191374759645484,0.3
1.0,6.1000000000000005,2.5738492424049193,0.3
1.2,6.1000000000000005,2.628561008845291,0.3
1.4,6.1000000000000005,2.6832727752856624,0.3
1.6,6.136051515190168,2.723051515190167,0.3
1.8,6.174738576250848,2.761738576250848,0.3
2.0,6.21342563731153,2.800425637311529,0.3
2.2,6.252112698372211,2.8391126983722104,0.3
2.4,6.290799759432892,2.8777997594328917,0.3
2.6,6.329486820493574,2.916486820493573,0.3
2.8,6.368173881554254,2.9551738815542543,0.3
3.0,6.406860942614935,2.9938609426149356,0.3
3.2,6.445548003675617,3.0325480036756165,0.3
3.4,6.484235064736298,3.071235064736298,0.3
3.6,6.522922125796979,3.1099221257969787,0.3
3.8,6.561609186857661,3.1486091868576604,0.3
4.0,6.600296247918341,3.1872962479183418,0.3
4.2,6.6389833089790224,3.2259833089790226,0.3
4.4,6.677670370039704,3.2646703700397035,0.3
4.6,6.716357431100385,3.3033574311003844,0.3
4.8,6.755044492161066,3.3420444921610657,0.3
5.0,6.793731553221748,3.380731553221747,0.3
5.2,6.800000000000001,3.432846843991552,0.3
5.4,6.800000000000001,3.4875586104319236,0.3
5.6,6.800000000000001,3.542270376872295,0.3
5.8,6.800000000000001,3.5969821433126663,0.3
6.0,6.800000000000001,3.6516939097530376,0.3
6.2,6.786278114770131,3.70072188522987,0.3
6.4,6.74759105370945,3.7394089462905513,0.3
6.6,6.708903992648769,3.7780960073512326,0.3
6.8,6.6702169315880875,3.8167830684119135,0.3
7.0,6.631529870527406,3.855470129472595,0.3
7.2,6.589878204079353,3.887,0.3
7.4,6.535166437638983,3.887,0.3
7.6,6.486179365464017,3.9008206345359837,0.3
7.8,6.447492304403336,3.939507695596665,0.3
8.0,6.408805243342655,3.978194756657346,0.3
8.2,6.357740728114806,3.9870000000000005,0.3
8.4,6.3030289616744355,3.9870000000000005,0.3
8.6,6.248317195234064,3.9870000000000005,0.3
8.8,6.19547835533724,3.9915216446627615,0.3
9.0,6.156791294276559,4.030208705723442,0.3
9.2,6.118104233215877,4.068895766784124,0.3
9.4,6.079417172155196,4.107582827844805,0.3
9.6,6.040730111094515,4.146269888905486,0.3
9.8,6.0020430500338335,4.1849569499661685,0.3
10.0,5.963355988973152,4.223644011026849,0.3
10.2,5.924668927912471,4.26233107208753,0.3
10.4,5.88017536598265,4.287000000000001,0.3
10.6,5.825463599542278,4.287000000000001,0.3
10.8,5.770751833101906,4.287000000000001,0.3
11.0,5.716040066661535,4.287000000000001,0.3
11.2,5.6613283002211645,4.287000000000001,0.3
11.4,5.606616533780793,4.287000000000001,0.3
11.6,5.551904767340421,4.287000000000001,0.3
11.8,5.49719300090005,4.287000000000001,0.3
12.0,5.442481234459678,4.287000000000001,0.3
12.2,5.3913517078989335,4.295648292101068,0.3
12.4,5.352664646838252,4.334335353161749,0.3
12.6,5.313977585777571,4.37302241422243,0.3
12.8,5.300000000000001,4.4219444750645,0.3
13.0,5.300000000000001,4.4766562415048705,0.3
13.2,5.300000000000001,4.531368007945241,0.3
13.4,5.300000000000001,4.586079774385613,0.3
13.6,5.300000000000001,4.640791540825985,0.3
13.8,5.300000000000001,4.695503307266356,0.3
14.0,5.300000000000001,4.750215073706728,0.3
14.2,5.300000000000001,4.8049268401470995,0.3
14.4,5.300000000000001,4.85963860658747,0.3
14.6,5.300000000000001,4.914350373027842,0.3
14.8,5.300000000000001,4.969062139468213,0.3
15.0,5.300000000000001,5.023773905908584,0.3
15.2,5.300000000000001,5.078485672348956,0.3
15.4,5.2673334777586165,5.119666522241384,0.3
15.6,5.228646416697936,5.158353583302065,0.3
15.8,5.200000000000001,5.2011996154327615,0.3
16.0,5.200000000000001,5.255911381873133,0.3
16.2,5.176376851686498,5.287000000000001,0.3
16.4,5.121665085246127,5.287000000000001,0.3
16.6,5.066953318805755,5.287000000000001,0.3
16.8,5.012241552365384,5.287000000000001,0.3
