timestamp,x,y,z
1788860103.8290572,-0.5,-2.5,0.3
1788860104.0150645,-0.5,-2.5,0.3
1788860104.216455,-0.5,-2.5,0.3
1788860104.4149835,-0.5,-2.5,0.3
1788860104.6167736,-0.5,-2.5,0.3
1788860104.8354602,-0.5,-2.5,0.3
1788860105.0168111,-0.5,-2.5,0.3
1788860105.21628,-0.5,-2.5,0.3
1788860105.4158137,-0.5,-2.5,0.3
1788860105.6170151,-0.5,-2.5,0.3
1788860109.0565813,-0.5,-2.5,0.3
1788860109.0569074,-0.5,-2.5,0.3
1788860109.0571086,-0.5,-2.5,0.3
1788860109.0572758,-0.5,-2.5,0.3
1788860109.0574398,-0.5,-2.5,0.3
1788860109.0576382,-0.5,-2.5,0.3
1788860109.0578535,-0.5,-2.5,0.3
1788860109.0580292,-0.5,-2.5,0.3
1788860109.0581884,-0.5,-2.5,0.3
1788860109.0583475,-0.5,-2.5,0.3
1788860109.0585268,-0.5,-2.5,0.3
1788860109.0587192,-0.5,-2.5,0.3
1788860109.0589013,-0.5,-2.5,0.3
1788860109.0590749,-0.5,-2.5,0.3
1788860109.059241,-0.5,-2.5,0.3
1788860109.059403,-0.5,-2.5,0.3
1788860109.0595586,-0.5,-2.5,0.3
1788860109.2368896,-0.5,-2.5,0.3
1788860109.4388454,-0.5,-2.5,0.3
1788860109.6374102,-0.5,-2.5,0.3
1788860109.8602748,-0.5,-2.5,0.3
1788860110.0320513,-0.5,-2.5,0.3
1788860110.2343068,-0.5,-2.5,0.3
1788860110.4342153,-0.5,-2.5,0.3
1788860110.6405425,-0.5,-2.5,0.3
1788860110.864757,-0.5,-2.5,0.3
1788860111.048864,-0.5,-2.5,0.3
1788860111.2425656,-0.5,-2.5,0.3
1788860111.4350307,-0.5,-2.5,0.3
1788860111.6376638,-0.5,-2.5,0.3
1788860111.8505578,-0.5,-2.5,0.3
1788860112.028684,-0.5,-2.5,0.3
1788860112.2368572,-0.5,-2.5,0.3
1788860112.4284103,-0.5,-2.5,0.3
1788860112.6295824,-0.5,-2.5,0.3
1788860112.850647,-0.5,-2.5,0.3
1788860113.0274806,-0.5,-2.5,0.3
1788860113.2264633,-0.5,-2.5,0.3
1788860113.428423,-0.5,-2.5,0.3
1788860113.6279337,-0.5,-2.5,0.3
1788860113.8526683,-0.5,-2.5,0.3
1788860114.0273607,-0.5,-2.5,0.3
1788860114.2294393,-0.5,-2.5,0.3
1788860114.4321365,-0.5,-2.5,0.3
1788860114.6303182,-0.5,-2.5,0.3
1788860114.861114,-0.5,-2.5,0.3
1788860115.0300694,-0.5,-2.5,0.3
1788860115.2363703,-0.5,-2.5,0.3
1788860115.4374409,-0.5,-2.5,0.3
1788860115.6305127,-0.5,-2.5,0.3
1788860115.8670661,-0.5,-2.5,0.3
1788860116.0296519,-0.5,-2.5,0.3
1788860116.2354543,-0.5,-2.5,0.3
1788860117.0352068,-0.5,-2.5,0.3
1788860117.2399027,-0.5,-2.5,0.3
1788860117.4333267,-0.5,-2.5,0.3
1788860117.6380634,-0.5,-2.5,0.3
1788860117.84205,-0.5,-2.5,0.3
1788860118.0419812,-0.5,-2.5,0.3
1788860118.2423458,-0.5,-2.5,0.3
1788860118.43299,-0.5,-2.5,0.3
1788860118.6388638,-0.5,-2.5,0.3
1788860118.842266,-0.5,-2.5,0.3
1788860119.0325942,-0.5,-2.5,0.3
1788860119.2412288,-0.5,-2.5,0.3
1788860119.4431906,-0.5,-2.5,0.3
1788860119.6420794,-0.5,-2.5,0.3
1788860119.845637,-0.5,-2.5,0.3
1788860120.0342875,-0.5,-2.5,0.3
1788860120.2424173,-0.5,-2.5,0.3
1788860120.4336817,-0.5,-2.5,0.3
1788860120.633682,-0.5,-2.5,0.3
