timestamp,x,y,z
1788860398.358155,-0.5,-2.5,0.3
1788860398.5586452,-0.5,-2.5,0.3
1788860398.7809377,-0.5,-2.5,0.3
1788860398.9585752,-0.5,-2.5,0.3
1788860399.1592195,-0.5,-2.5,0.3
1788860399.3590739,-0.5,-2.5,0.3
1788860399.5600512,-0.5,-2.5,0.3
1788860399.7831674,-0.5,-2.5,0.3
1788860399.9585783,-0.5,-2.5,0.3
1788860400.1594484,-0.5,-2.5,0.3
1788860403.2537303,-0.5,-2.5,0.3
1788860403.2542214,-0.5,-2.5,0.3
1788860403.2547693,-0.5,-2.5,0.3
1788860403.2552583,-0.5,-2.5,0.3
1788860403.2555304,-0.5,-2.5,0.3
1788860403.2557693,-0.5,-2.5,0.3
1788860403.256031,-0.5,-2.5,0.3
1788860403.2565591,-0.5,-2.5,0.3
1788860403.2570767,-0.5,-2.5,0.3
1788860403.2574556,-0.5,-2.5,0.3
1788860403.2577162,-0.5,-2.5,0.3
1788860403.2579813,-0.5,-2.5,0.3
1788860403.258209,-0.5,-2.5,0.3
1788860403.2586644,-0.5,-2.5,0.3
1788860403.2590408,-0.5,-2.5,0.3
1788860403.3736744,-0.5,-2.5,0.3
1788860403.573482,-0.5,-2.5,0.3
1788860403.8002906,-0.5,-2.5,0.3
1788860403.9750826,-0.5,-2.5,0.3
1788860404.181759,-0.5,-2.5,0.3
1788860404.376563,-0.5,-2.5,0.3
1788860404.583181,-0.5,-2.5,0.3
1788860404.7941825,-0.5,-2.5,0.3
1788860404.9796922,-0.5,-2.5,0.3
1788860405.1743166,-0.5,-2.5,0.3
1788860405.3743477,-0.5,-2.5,0.3
1788860405.5830564,-0.5,-2.5,0.3
1788860405.7831984,-0.5,-2.5,0.3
1788860405.983672,-0.5,-2.5,0.3
1788860406.1820855,-0.5,-2.5,0.3
1788860406.3817127,-0.5,-2.5,0.3
1788860406.5793183,-0.5,-2.5,0.3
1788860406.7960153,-0.5,-2.5,0.3
1788860406.9743135,-0.5,-2.5,0.3
1788860407.1831162,-0.5,-2.5,0.3
1788860407.3796172,-0.5,-2.5,0.3
1788860407.574972,-0.5,-2.5,0.3
1788860407.7940183,-0.5,-2.5,0.3
1788860407.9739735,-0.5,-2.5,0.3
1788860408.1749763,-0.5,-2.5,0.3
1788860408.3743243,-0.5,-2.5,0.3
1788860408.5756433,-0.5,-2.5,0.3
1788860408.7838576,-0.5,-2.5,0.3
1788860408.974956,-0.5,-2.5,0.3
1788860409.1739717,-0.5,-2.5,0.3
1788860409.3742344,-0.5,-2.5,0.3
1788860409.5770793,-0.5,-2.5,0.3
1788860409.7945302,-0.5,-2.5,0.3
1788860409.9815872,-0.5,-2.5,0.3
1788860410.1751692,-0.5,-2.5,0.3
1788860410.3800242,-0.5,-2.5,0.3
1788860410.5746555,-0.5,-2.5,0.3
1788860410.785386,-0.5,-2.5,0.3
1788860410.9807513,-0.5,-2.5,0.3
1788860411.177647,-0.5,-2.5,0.3
1788860411.3736243,-0.5,-2.5,0.3
1788860411.5744512,-0.5,-2.5,0.3
1788860411.7833302,-0.5,-2.5,0.3
1788860411.9767177,-0.5,-2.5,0.3
1788860412.1742427,-0.5,-2.5,0.3
1788860412.3743968,-0.5,-2.5,0.3
1788860412.5762873,-0.5,-2.5,0.3
1788860412.7861495,-0.5,-2.5,0.3
1788860412.9737422,-0.5,-2.5,0.3
1788860413.1762955,-0.5,-2.5,0.3
1788860413.3740497,-0.5,-2.5,0.3
1788860413.5753262,-0.5,-2.5,0.3
1788860413.7829916,-0.5,-2.5,0.3
1788860413.9743233,-0.5,-2.5,0.3
1788860414.173536,-0.5,-2.5,0.3
1788860414.3745031,-0.5,-2.5,0.3
1788860414.5802152,-0.5,-2.5,0.3
1788860414.8001091,-0.5,-2.5,0.3
1788860414.9786558,-0.5,-2.5,0.3
1788860415.177422,-0.5,-2.5,0.3
1788860415.3736944,-0.5,-2.5,0.3
1788860415.583,-0.5,-2.5,0.3
1788860415.785267,-0.5,-2.5,0.3
1788860415.9743087,-0.5,-2.5,0.3
1788860416.177543,-0.5,-2.5,0.3
1788860416.374656,-0.5,-2.5,0.3
1788860416.5776067,-0.5,-2.5,0.3
1788860416.797437,-0.5,-2.5,0.3
1788860416.9762077,-0.5,-2.5,0.3
1788860417.174312,-0.5,-2.5,0.3
1788860417.3775344,-0.5,-2.5,0.3
1788860417.5787857,-0.5,-2.5,0.3
1788860417.7845497,-0.5,-2.5,0.3
1788860417.9783561,-0.5,-2.5,0.3
1788860418.1804626,-0.5,-2.5,0.3
1788860418.3815684,-0.5,-2.5,0.3
1788860418.5790365,-0.5,-2.5,0.3
1788860418.7843447,-0.5,-2.5,0.3
1788860418.981428,-0.5,-2.5,0.3
1788860419.1774771,-0.5,-2.5,0.3
1788860419.3797498,-0.5,-2.5,0.3
1788860419.579137,-0.5,-2.5,0.3
1788860419.7982433,-0.5,-2.5,0.3
1788860419.9820726,-0.5,-2.5,0.3
1788860420.1745389,-0.5,-2.5,0.3
1788860420.377209,-0.5,-2.5,0.3
1788860420.5796864,-0.5,-2.5,0.3
1788860420.7941358,-0.5,-2.5,0.3
1788860420.9806225,-0.5,-2.5,0.3
1788860421.186252,-0.5,-2.5,0.3
1788860421.381195,-0.6854532394421595,-2.5008799999999987,0.3
1788860421.577386,-0.9854532394421596,-2.5008799999999987,0.3
1788860421.7836215,-1.2854532394421596,-2.5008799999999987,0.3
1788860421.974613,-1.5854532394421597,-2.5008799999999987,0.3
1788860422.1749547,-1.6427299976348877,-2.5008797645568848,0.3
1788860422.3748033,-1.6427299976348877,-2.5008797645568848,0.3
1788860422.5783617,-1.6427299976348877,-2.5008797645568848,0.3
1788860422.784009,-1.6427299976348877,-2.5008797645568848,0.3
1788860422.981002,-1.6427299976348877,-2.5008797645568848,0.3
1788860423.1753645,-1.6427299976348877,-2.5008797645568848,0.3
1788860423.3829947,-1.6427299976348877,-2.5008797645568848,0.3
