arm,rho,truth_rank,truth_log_likelihood,truth_posterior_uniform_prior,truth_posterior_nll,top1_candidate
historical,0,47,-17.5235238738,1.26403285291e-05,11.2786181784,quadtree_17_26_2_2
historical,0.6,66,-34.7605362639,2.96898809605e-13,28.8453850226,quadtree_12_24_5_4
P1,0,49,-18.00856819,3.8741607543e-06,12.4611814982,quadtree_17_26_2_2
P1,0.6,68,-35.6221670607,1.61374520746e-13,29.4550485156,quadtree_12_24_5_4
C1,0,31,-4.04726355648,0.0162171373894,4.12168673234,quadtree_11_5_4_5
C1,0.6,23,-4.37185361586,0.0190931995793,3.9584230503,quadtree_11_5_4_5
P2,0,28,-4.18684832235,0.0163444942463,4.11386418169,quadtree_11_5_4_5
P2,0.6,25,-4.75546784543,0.0184324544575,3.99364233888,quadtree_11_5_4_5
