split,model,selected_L,selected_rho,mean_rank,top1,mrr,mean_true_posterior,mean_nll
A_first8_to_last8,P0_independent,10,0,1.13888888889,0.902777777778,0.945023148148,0.897810456991,1.94770363843
A_first8_to_last8,QQ_quasi_quenched,10,0.6,1.09027777778,0.944444444444,0.967592592593,0.942257461986,0.619659159059
B_last8_to_first8,P0_independent,10,0,1.11111111111,0.895833333333,0.946759259259,0.901846029663,1.22008963743
B_last8_to_first8,QQ_quasi_quenched,10,0.6,1.03472222222,0.965277777778,0.982638888889,0.95947325197,0.515359074811
C_odd_to_even,P0_independent,10,0,1.125,0.902777777778,0.946759259259,0.891507780851,2.80828977905
C_odd_to_even,QQ_quasi_quenched,10,0.6,1.04861111111,0.951388888889,0.975694444444,0.937628110553,0.71942241672
D_even_to_odd,P0_independent,10,0,1.15972222222,0.881944444444,0.935185185185,0.894496370427,1.16956362634
D_even_to_odd,QQ_quasi_quenched,10,0.6,1.07638888889,0.944444444444,0.969328703704,0.935511190273,0.297679757958
