L,rho,loo_loglik
10,0.6,-3764.6162239458067
10,0.7,-3767.9513800774657
5,0.7,-3816.943282418451
5,0.6,-3819.1955667446186
10,0.5,-3880.0139784517264
5,0.5,-3931.4535130893305
2,0.7,-3981.6949056493713
2,0.6,-4012.1742601657425
10,0.8,-4045.4078958442665
10,0.4,-4054.1668961708606
5,0.8,-4068.5257346033236
5,0.4,-4101.542716639976
2,0.5,-4133.9835943056705
2,0.8,-4152.723511696053
1,0.7,-4264.601644275259
10,0.3,-4267.74521524716
2,0.4,-4305.151932718315
5,0.3,-4305.6166538084435
1,0.6,-4310.876809477774
1,0.8,-4391.849253220798
1,0.5,-4433.814363049094
10,0.2,-4505.21339225852
2,0.3,-4509.549949352892
5,0.2,-4538.522401106059
1,0.4,-4599.248250024685
2,0.2,-4750.023057625002
10,0.1,-4782.578949297989
1,0.3,-4794.866965748491
5,0.1,-4834.523658407073
1,0.2,-5024.238682578727
2,0.1,-5071.3930577228775
1,0.1,-5320.03615884647
1,0.0,-5851.969648940778
2,0.0,-5851.969648940778
5,0.0,-5851.969648940778
10,0.0,-5851.969648940778
