wind_state,x,y,z,u,v,speed,direction,source_file
3,-5.6000003814697275,-0.8299999237060546,0.3,0.1643799990415573,-0.01381400041282177,0.16495942135054859,-0.08383999541139547,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_3"
3,-6.200000286102295,-5.93000030517578,0.3,0.0244159996509552,0.26589998602867126,0.26701862034135937,1.4792291073390618,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_3"
3,-4.1000003814697275,-0.5299997329711914,0.3,-0.2775300145149231,-0.10447999835014343,0.29654507079346204,-2.7815392872678673,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_3"
4,-3.1700000762939453,-1.75,0.3,0.008797699585556984,-0.04503900185227394,0.04589020816957409,-1.3778902096801635,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_4"
4,-5.6000003814697275,-0.8299999237060546,0.3,0.11857999861240387,0.044422999024391174,0.12662787573531653,0.3584416189050237,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_4"
4,-6.200000286102295,-5.93000030517578,0.3,-0.023812999948859215,0.25033000111579895,0.25146007322276887,1.6656373729239466,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_4"
4,-4.1000003814697275,-0.5299997329711914,0.3,-0.185139998793602,-0.2036599963903427,0.27523483297542367,-2.308596728518877,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_4"
5,-3.1700000762939453,-1.75,0.3,0.0255110003054142,-0.03066899999976158,0.03989233883301679,-0.8769535122467683,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_5"
5,-5.6000003814697275,-0.8299999237060546,0.3,0.22651000320911407,0.05494999885559082,0.2330799946971475,0.23799638582718324,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_5"
5,-6.200000286102295,-5.93000030517578,0.3,-0.043549999594688416,0.21855999529361725,0.22285662208568843,1.7674790805550575,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_5"
5,-4.1000003814697275,-0.5299997329711914,0.3,-0.1426900029182434,-0.12580999732017517,0.19023299492598753,-2.4189796654144455,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_5"
6,-3.1700000762939453,-1.75,0.3,0.03886599838733673,-0.008829999715089798,0.03985642640293968,-0.2233987563321924,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_6"
6,-5.6000003814697275,-0.8299999237060546,0.3,0.290120005607605,0.058031000196933746,0.29586688668658623,0.19741875662656275,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_6"
6,-6.200000286102295,-5.93000030517578,0.3,-0.05663200095295906,0.18564000725746155,0.19408605263255352,1.8668920881255275,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_6"
6,-4.1000003814697275,-0.5299997329711914,0.3,-0.11377999931573868,-0.000470389990368858,0.11378097165621558,-3.1374584708396642,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_6"
7,-3.1700000762939453,-1.75,0.3,0.04712300002574921,0.012943999841809273,0.04886843831484201,0.2680737009546785,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_7"
7,-5.6000003814697275,-0.8299999237060546,0.3,0.014732999727129936,0.023308999836444855,0.027574821020905957,1.0071266548885147,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_7"
7,-6.200000286102295,-5.93000030517578,0.3,-0.06243700161576271,0.15327000617980957,0.16549946817173045,1.9576365997782448,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_7"
7,-4.1000003814697275,-0.5299997329711914,0.3,-0.12188000231981277,0.03734799847006798,0.12747395010431647,2.8442449455702024,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_7"
8,-3.1700000762939453,-1.75,0.3,0.04999399930238724,0.02657799981534481,0.056619696576646936,0.4886254289422942,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_8"
8,-5.6000003814697275,-0.8299999237060546,0.3,-0.03499700129032135,0.013690000399947166,0.03757933222218442,2.7687159089041917,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_8"
8,-6.200000286102295,-5.93000030517578,0.3,-0.05899899825453758,0.12744000554084778,0.14043445733611906,2.0043713210381173,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_8"
8,-4.1000003814697275,-0.5299997329711914,0.3,-0.13037000596523285,0.05833100154995918,0.14282452239442703,2.7208808731355316,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_8"
9,-3.1700000762939453,-1.75,0.3,0.051398999989032745,0.03615900129079819,0.06284369955867122,0.6130685568137749,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_9"
9,-5.6000003814697275,-0.8299999237060546,0.3,-0.045729998499155045,0.025134999305009842,0.052182381632075475,2.6390264987851304,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_9"
9,-6.200000286102295,-5.93000030517578,0.3,-0.047168001532554626,0.11229000240564346,0.12179435540629331,1.9684712562106783,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_9"
9,-4.1000003814697275,-0.5299997329711914,0.3,-0.1507599949836731,0.06744299829006195,0.1651579065798257,2.7209418098477567,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/gas_simulations/2,4-1_fast/FilamentSimulation_gasType_10_sourcePosition_-0.40_-2.90_-0.30/wind/wind_iteration_9"
