event_id,steady_ns,robot_x,robot_y,obs_speed,obs_direction,best_state,best_z,best_angle_abs_rad,best_speed_rel,best_vector_rel_to_obs_speed,best_match_order_score,second_match_order_score,best_to_second_ratio,best_source_file
1,63031702036634,-3.1700000762939453,-1.75,0.0454815030097961,-0.5586534738540649,5,0.3,0.31830004428238423,0.12288873502495011,0.32127613026911994,0.16570508574053147,0.16975830264320133,0.9761236013817308,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/wind_simulations/2,4-1_fast/2,4-1_fast_5.csv"
2,63039429901751,-3.1700000762939453,-1.75,0.0455887801945209,-1.2869385480880735,4,0.3,0.09095164499032116,0.006611851321841759,0.09145968678966342,0.029691388348324875,0.15123792137991207,0.19632237786275594,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/wind_simulations/2,4-1_fast/2,4-1_fast_4.csv"
3,63047036861226,-3.1700000762939453,-1.75,0.0651578903198242,-1.7806330919265747,3,0.3,0.08261421594856788,0.24521081998942496,0.25549351286364724,0.2825432185223572,0.3732666256361492,0.7569474448481047,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/wind_simulations/2,4-1_fast/2,4-1_fast_3.csv"
4,63054848465993,-3.1700000762939453,-1.75,0.0668532401323318,-1.6335660219192505,3,0.3,0.06445285405875634,0.2643517276295146,0.2700681143541109,0.3076879083646485,0.3849493079845994,0.799294613557165,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/wind_simulations/2,4-1_fast/2,4-1_fast_3.csv"
5,63062557223853,-3.1700000762939453,-1.75,0.0675971657037734,-0.5145553350448608,8,0.3,1.0031807610831907,0.16239539498705516,0.8949583087026357,0.36519835494979497,0.3662651298152987,0.997087424440209,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/wind_simulations/2,4-1_fast/2,4-1_fast_8.csv"
6,63072174714179,-5.600000381469728,-0.8299999237060545,0.1365077644586563,0.2838530242443084,4,0.3,0.07458859803132922,0.07237600821355918,0.1019641719254377,0.07879107991263457,0.08404429117754719,0.9374947281807042,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/wind_simulations/2,4-1_fast/2,4-1_fast_4.csv"
7,63079790993838,-5.600000381469728,-0.8299999237060545,0.0820967108011245,2.3400278091430664,10,0.3,0.19533524320535767,0.2385490899593087,0.29303108514476156,0.2795324043362344,0.4630397140217739,0.6036899122719519,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/wind_simulations/2,4-1_fast/2,4-1_fast_10.csv"
8,63087556042020,-5.600000381469728,-0.8299999237060545,0.111166939139366,1.6794580221176147,4,0.3,1.321016399841977,0.13907856380063843,1.316951278470309,0.44019446738687745,0.5527146759728944,0.7964226146375476,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/wind_simulations/2,4-1_fast/2,4-1_fast_4.csv"
9,63095337396243,-5.600000381469728,-0.8299999237060545,0.1657886207103729,0.3816273510456085,3,0.3,0.46546734347667407,0.0050015401284221874,0.46014889507551243,0.1482476756198543,0.2447016618576164,0.605830277140147,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/wind_simulations/2,4-1_fast/2,4-1_fast_3.csv"
10,63103153449654,-5.600000381469728,-0.8299999237060545,0.1465416848659515,0.3150551617145537,1,0.3,0.2801695768672192,0.0941774352268404,0.2819717005708774,0.13317941630274763,0.1467087009859527,0.9077813068190107,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/wind_simulations/2,4-1_fast/2,4-1_fast_1.csv"
11,63120573469829,-6.200000286102295,-5.93000030517578,0.2468865364789961,1.4967353343963623,4,0.3,0.1689020391502516,0.018524848309094764,0.1712615924388935,0.05681020571063445,0.07858739314655513,0.7228921005776449,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/wind_simulations/2,4-1_fast/2,4-1_fast_4.csv"
12,63128331648083,-6.200000286102295,-5.93000030517578,0.2106155902147293,1.6234737634658811,5,0.3,0.14400531474591816,0.05812027757930247,0.1590058949294451,0.07275111284313149,0.11262246718064493,0.6459733538463482,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/wind_simulations/2,4-1_fast/2,4-1_fast_5.csv"
13,63136138496764,-6.200000286102295,-5.93000030517578,0.1785313189029693,1.8879340887069704,7,0.3,0.06970251611692824,0.07299479522160444,0.09914744997303676,0.07897665198451326,0.08380563291305206,0.9423788024660724,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/wind_simulations/2,4-1_fast/2,4-1_fast_7.csv"
14,63143785693754,-6.200000286102295,-5.93000030517578,0.194867342710495,1.8524852991104128,6,0.3,0.01440679522963606,0.004009380364994392,0.014926323533447888,0.006096688782176976,0.1369100800832616,0.04453060562428483,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/wind_simulations/2,4-1_fast/2,4-1_fast_6.csv"
15,63151543559006,-6.200000286102295,-5.93000030517578,0.207525759935379,1.8002387285232544,6,0.3,0.06665336581679426,0.06476166875240481,0.09136461067803536,0.07023502741787471,0.07203194140110314,0.9750539281841304,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/wind_simulations/2,4-1_fast/2,4-1_fast_6.csv"
16,63167792816327,-4.100000381469728,-0.5299997329711914,0.1699094474315643,-2.9789931774139404,9,0.3,0.583250316965751,0.027965105215064075,0.5676103678889864,0.18780848517641022,0.20764768521321642,0.9044573985188665,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/wind_simulations/2,4-1_fast/2,4-1_fast_9.csv"
17,63175562839298,-4.100000381469728,-0.5299997329711914,0.1852815002202987,-2.894732713699341,5,0.3,0.4757530689966267,0.026724169888405987,0.47828192396926716,0.1537162583683172,0.17110023504805838,0.8983988731818026,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/wind_simulations/2,4-1_fast/2,4-1_fast_5.csv"
18,63183376847407,-4.100000381469728,-0.5299997329711914,0.2006535530090332,-2.814319133758545,5,0.3,0.39533948905583083,0.05193308737074481,0.3859451681719308,0.13667455199195427,0.17716413185239083,0.7714572389056067,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/wind_simulations/2,4-1_fast/2,4-1_fast_5.csv"
19,63191173439616,-4.100000381469728,-0.5299997329711914,0.2227488458156585,-2.8061478137969966,5,0.3,0.38716816909428253,0.14597539748063668,0.384363419554853,0.20021816333887282,0.20807252414207103,0.9622518117873397,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/wind_simulations/2,4-1_fast/2,4-1_fast_5.csv"
20,63198980357313,-4.100000381469728,-0.5299997329711914,0.2448441684246063,-2.798064708709717,3,0.3,0.016525443893826708,0.21115834491219512,0.21194007334557302,0.19164941379394243,0.19484367029265112,0.983606054567177,"/mnt/hgfs/workspace/GADEN_files/scenarios/House01/wind_simulations/2,4-1_fast/2,4-1_fast_3.csv"
