site,step,t_sim_s,iteration,matched_file_id,vector_abs_error_from_six_decimal_trace,exact_u,exact_v
A,1,0.2,1926,2,1.4434726760042188e-09,-0.0249910000711679,-0.0335679985582828
A,2,0.4,1927,2,1.4434726760042188e-09,-0.0249910000711679,-0.0335679985582828
A,3,0.6,1928,3,5.588729326980305e-10,-0.0062400000169873,-0.0487830005586147
A,4,0.8,1929,3,5.588729326980305e-10,-0.0062400000169873,-0.0487830005586147
A,5,1.0,1930,4,3.004201533543008e-07,0.0087976995855569,-0.0450390018522739
A,6,1.2,1931,4,3.004201533543008e-07,0.0087976995855569,-0.0450390018522739
A,7,1.4,1932,5,3.054142939945954e-10,0.0255110003054142,-0.0306689999997615
A,8,1.6,1933,5,3.054142939945954e-10,0.0255110003054142,-0.0306689999997615
A,9,1.8,1934,6,1.6376375605832025e-09,0.0388659983873367,-0.0088299997150897
A,10,2.0,1935,6,1.6376375605832025e-09,0.0388659983873367,-0.0088299997150897
A,11,2.2,1936,7,1.6027273882183627e-10,0.0471230000257492,0.0129439998418092
A,12,2.4,1937,7,1.6027273882183627e-10,0.0471230000257492,0.0129439998418092
A,13,2.6,1938,8,7.216378270597821e-10,0.0499939993023872,0.0265779998153448
A,14,2.8,1939,8,7.216378270597821e-10,0.0499939993023872,0.0265779998153448
A,15,3.0,1940,9,1.2908446915156212e-09,0.0513989999890327,0.0361590012907981
A,16,3.2,1941,9,1.2908446915156212e-09,0.0513989999890327,0.0361590012907981
A,17,3.4,1942,1,3.3533547081466107e-09,-0.1068700030446052,-0.0499950014054775
A,18,3.6,1943,1,3.3533547081466107e-09,-0.1068700030446052,-0.0499950014054775
A,19,3.8,1944,10,1.8090042454721175e-09,0.0468220002949237,0.0412589982151985
A,20,4.0,1945,10,1.8090042454721175e-09,0.0468220002949237,0.0412589982151985
A,21,4.2,1946,2,1.4434726760042188e-09,-0.0249910000711679,-0.0335679985582828
A,22,4.4,1947,2,1.4434726760042188e-09,-0.0249910000711679,-0.0335679985582828
A,23,4.6,1948,3,5.588729326980305e-10,-0.0062400000169873,-0.0487830005586147
A,24,4.8,1949,3,5.588729326980305e-10,-0.0062400000169873,-0.0487830005586147
A,25,5.0,1950,4,3.004201533543008e-07,0.0087976995855569,-0.0450390018522739
A,26,5.2,1951,4,3.004201533543008e-07,0.0087976995855569,-0.0450390018522739
A,27,5.4,1952,5,3.054142939945954e-10,0.0255110003054142,-0.0306689999997615
A,28,5.6,1953,5,3.054142939945954e-10,0.0255110003054142,-0.0306689999997615
A,29,5.8,1954,6,1.6376375605832025e-09,0.0388659983873367,-0.0088299997150897
A,30,6.0,1955,6,1.6376375605832025e-09,0.0388659983873367,-0.0088299997150897
A,31,6.2,1956,7,1.6027273882183627e-10,0.0471230000257492,0.0129439998418092
A,32,6.4,1957,7,1.6027273882183627e-10,0.0471230000257492,0.0129439998418092
A,33,6.6,1958,8,7.216378270597821e-10,0.0499939993023872,0.0265779998153448
A,34,6.8,1959,8,7.216378270597821e-10,0.0499939993023872,0.0265779998153448
A,35,7.0,1960,9,1.2908446915156212e-09,0.0513989999890327,0.0361590012907981
A,36,7.2,1961,9,1.2908446915156212e-09,0.0513989999890327,0.0361590012907981
A,37,7.4,1962,1,3.3533547081466107e-09,-0.1068700030446052,-0.0499950014054775
A,38,7.6,1963,1,3.3533547081466107e-09,-0.1068700030446052,-0.0499950014054775
A,39,7.8,1964,10,1.8090042454721175e-09,0.0468220002949237,0.0412589982151985
A,40,8.0,1965,10,1.8090042454721175e-09,0.0468220002949237,0.0412589982151985
A,41,8.2,1966,2,1.4434726760042188e-09,-0.0249910000711679,-0.0335679985582828
A,42,8.4,1967,2,1.4434726760042188e-09,-0.0249910000711679,-0.0335679985582828
A,43,8.6,1968,3,5.588729326980305e-10,-0.0062400000169873,-0.0487830005586147
A,44,8.8,1969,3,5.588729326980305e-10,-0.0062400000169873,-0.0487830005586147
A,45,9.0,1970,4,3.004201533543008e-07,0.0087976995855569,-0.0450390018522739
A,46,9.2,1971,4,3.004201533543008e-07,0.0087976995855569,-0.0450390018522739
A,47,9.4,1972,5,3.054142939945954e-10,0.0255110003054142,-0.0306689999997615
A,48,9.6,1973,5,3.054142939945954e-10,0.0255110003054142,-0.0306689999997615
A,49,9.8,1974,6,1.6376375605832025e-09,0.0388659983873367,-0.0088299997150897
A,50,10.0,1975,6,1.6376375605832025e-09,0.0388659983873367,-0.0088299997150897
A,51,10.2,1976,7,1.6027273882183627e-10,0.0471230000257492,0.0129439998418092
A,52,10.4,1977,7,1.6027273882183627e-10,0.0471230000257492,0.0129439998418092
A,53,10.6,1978,8,7.216378270597821e-10,0.0499939993023872,0.0265779998153448
A,54,10.8,1979,8,7.216378270597821e-10,0.0499939993023872,0.0265779998153448
A,55,11.0,1980,9,1.2908446915156212e-09,0.0513989999890327,0.0361590012907981
A,56,11.2,1981,9,1.2908446915156212e-09,0.0513989999890327,0.0361590012907981
A,57,11.4,1982,1,3.3533547081466107e-09,-0.1068700030446052,-0.0499950014054775
A,58,11.6,1983,1,3.3533547081466107e-09,-0.1068700030446052,-0.0499950014054775
A,59,11.8,1984,10,1.8090042454721175e-09,0.0468220002949237,0.0412589982151985
A,60,12.0,1985,10,1.8090042454721175e-09,0.0468220002949237,0.0412589982151985
A,61,12.2,1986,2,1.4434726760042188e-09,-0.0249910000711679,-0.0335679985582828
A,62,12.4,1987,2,1.4434726760042188e-09,-0.0249910000711679,-0.0335679985582828
A,63,12.6,1988,3,5.588729326980305e-10,-0.0062400000169873,-0.0487830005586147
A,64,12.8,1989,3,5.588729326980305e-10,-0.0062400000169873,-0.0487830005586147
A,65,13.0,1990,4,3.004201533543008e-07,0.0087976995855569,-0.0450390018522739
A,66,13.2,1991,4,3.004201533543008e-07,0.0087976995855569,-0.0450390018522739
A,67,13.4,1992,5,3.054142939945954e-10,0.0255110003054142,-0.0306689999997615
A,68,13.6,1993,5,3.054142939945954e-10,0.0255110003054142,-0.0306689999997615
A,69,13.8,1994,6,1.6376375605832025e-09,0.0388659983873367,-0.0088299997150897
A,70,14.0,1995,6,1.6376375605832025e-09,0.0388659983873367,-0.0088299997150897
A,71,14.2,1996,7,1.6027273882183627e-10,0.0471230000257492,0.0129439998418092
A,72,14.4,1997,7,1.6027273882183627e-10,0.0471230000257492,0.0129439998418092
A,73,14.6,0,0,7.2941695315776e-10,0.0279489997774362,0.0181939993053674
A,74,14.8,1,0,7.2941695315776e-10,0.0279489997774362,0.0181939993053674
A,75,15.0,2,0,7.2941695315776e-10,0.0279489997774362,0.0181939993053674
A,76,15.2,3,0,7.2941695315776e-10,0.0279489997774362,0.0181939993053674
A,77,15.4,4,0,7.2941695315776e-10,0.0279489997774362,0.0181939993053674
A,78,15.6,5,1,3.3533547081466107e-09,-0.1068700030446052,-0.0499950014054775
A,79,15.8,6,1,3.3533547081466107e-09,-0.1068700030446052,-0.0499950014054775
A,80,16.0,7,10,1.8090042454721175e-09,0.0468220002949237,0.0412589982151985
