environment_index,house,wind,source_index,true_source_id,target_index,model,rank,top1,top3,reciprocal_rank,posterior_nll,true_source_log_posterior,map_source_id,map_spatial_error_m,map_tie
0,House01,"1,3-2,4_fast",2,pmfs_27_36,3,M1,1,1,1,1.0,3.1035364145282074e-07,-3.1035364145282074e-07,pmfs_27_36,0.0,0
0,House01,"1,3-2,4_fast",3,pmfs_26_36,0,M1,1,1,1,1.0,-0.0,0.0,pmfs_26_36,0.0,0
0,House01,"1,3-2,4_fast",3,pmfs_26_36,1,M1,1,1,1,1.0,1.2509104863056564e-11,-1.2509104863056564e-11,pmfs_26_36,0.0,0
0,House01,"1,3-2,4_fast",3,pmfs_26_36,2,M1,1,1,1,1.0,5.748472988642561e-05,-5.748472988642561e-05,pmfs_26_36,0.0,0
0,House01,"1,3-2,4_fast",3,pmfs_26_36,3,M1,1,1,1,1.0,5.2082782531215344e-11,-5.2082782531215344e-11,pmfs_26_36,0.0,0
0,House01,"1,3-2,4_fast",4,pmfs_27_1,0,M1,1,1,1,1.0,0.10299892715140757,-0.10299892715140757,pmfs_27_1,0.0,0
0,House01,"1,3-2,4_fast",4,pmfs_27_1,1,M1,1,1,1,1.0,0.10299892715140757,-0.10299892715140757,pmfs_27_1,0.0,0
0,House01,"1,3-2,4_fast",4,pmfs_27_1,2,M1,2,0,1,0.5,3.000723289736129,-3.000723289736129,pmfs_27_2,0.2999999999999998,0
0,House01,"1,3-2,4_fast",4,pmfs_27_1,3,M1,2,0,1,0.5,0.8956421911084611,-0.8956421911084611,pmfs_27_2,0.2999999999999998,0
0,House01,"1,3-2,4_fast",5,pmfs_27_2,0,M1,1,1,1,1.0,0.05103129809282603,-0.05103129809282603,pmfs_27_2,0.0,0
0,House01,"1,3-2,4_fast",5,pmfs_27_2,1,M1,1,1,1,1.0,0.010386831419820552,-0.010386831419820552,pmfs_27_2,0.0,0
0,House01,"1,3-2,4_fast",5,pmfs_27_2,2,M1,1,1,1,1.0,0.1305378546678737,-0.1305378546678737,pmfs_27_2,0.0,0
0,House01,"1,3-2,4_fast",5,pmfs_27_2,3,M1,1,1,1,1.0,0.010386831419820552,-0.010386831419820552,pmfs_27_2,0.0,0
0,House01,"1,3-2,4_fast",0,pmfs_13_18,0,M2,1,1,1,1.0,-0.0,0.0,pmfs_13_18,0.0,0
0,House01,"1,3-2,4_fast",0,pmfs_13_18,1,M2,1,1,1,1.0,8.211939089619591e-05,-8.211939089619591e-05,pmfs_13_18,0.0,0
0,House01,"1,3-2,4_fast",0,pmfs_13_18,2,M2,1,1,1,1.0,6.394884621840902e-14,-6.394884621840902e-14,pmfs_13_18,0.0,0
0,House01,"1,3-2,4_fast",0,pmfs_13_18,3,M2,1,1,1,1.0,-0.0,0.0,pmfs_13_18,0.0,0
0,House01,"1,3-2,4_fast",1,pmfs_13_19,0,M2,2,0,1,0.5,9.488157504239307,-9.488157504239307,pmfs_13_18,0.2999999999999998,0
0,House01,"1,3-2,4_fast",1,pmfs_13_19,1,M2,1,1,1,1.0,3.433497681726294e-07,-3.433497681726294e-07,pmfs_13_19,0.0,0
0,House01,"1,3-2,4_fast",1,pmfs_13_19,2,M2,2,0,1,0.5,4.183021910168371,-4.183021910168371,pmfs_13_18,0.2999999999999998,0
0,House01,"1,3-2,4_fast",1,pmfs_13_19,3,M2,2,0,1,0.5,12.011805398141895,-12.011805398141895,pmfs_13_18,0.2999999999999998,0
0,House01,"1,3-2,4_fast",2,pmfs_27_36,0,M2,1,1,1,1.0,1.4729906183674757e-10,-1.4729906183674757e-10,pmfs_27_36,0.0,0
0,House01,"1,3-2,4_fast",2,pmfs_27_36,1,M2,1,1,1,1.0,4.955619914426279e-09,-4.955619914426279e-09,pmfs_27_36,0.0,0
0,House01,"1,3-2,4_fast",2,pmfs_27_36,2,M2,1,1,1,1.0,6.441011635160976e-08,-6.441011635160976e-08,pmfs_27_36,0.0,0
0,House01,"1,3-2,4_fast",2,pmfs_27_36,3,M2,1,1,1,1.0,1.4628015421180862e-07,-1.4628015421180862e-07,pmfs_27_36,0.0,0
0,House01,"1,3-2,4_fast",3,pmfs_26_36,0,M2,1,1,1,1.0,2.842170943040401e-14,-2.842170943040401e-14,pmfs_26_36,0.0,0
0,House01,"1,3-2,4_fast",3,pmfs_26_36,1,M2,1,1,1,1.0,8.115819127851864e-11,-8.115819127851864e-11,pmfs_26_36,0.0,0
0,House01,"1,3-2,4_fast",3,pmfs_26_36,2,M2,1,1,1,1.0,0.012156580642681547,-0.012156580642681547,pmfs_26_36,0.0,0
0,House01,"1,3-2,4_fast",3,pmfs_26_36,3,M2,1,1,1,1.0,9.987033422476088e-10,-9.987033422476088e-10,pmfs_26_36,0.0,0
0,House01,"1,3-2,4_fast",4,pmfs_27_1,0,M2,1,1,1,1.0,0.13355920574811808,-0.13355920574811808,pmfs_27_1,0.0,0
0,House01,"1,3-2,4_fast",4,pmfs_27_1,1,M2,1,1,1,1.0,0.13355920574811808,-0.13355920574811808,pmfs_27_1,0.0,0
0,House01,"1,3-2,4_fast",4,pmfs_27_1,2,M2,2,0,1,0.5,2.230870998477428,-2.230870998477428,pmfs_27_2,0.2999999999999998,0
0,House01,"1,3-2,4_fast",4,pmfs_27_1,3,M2,1,1,1,1.0,0.33968779051462406,-0.33968779051462406,pmfs_27_1,0.0,0
0,House01,"1,3-2,4_fast",5,pmfs_27_2,0,M2,1,1,1,1.0,0.11365573025050857,-0.11365573025050857,pmfs_27_2,0.0,0
0,House01,"1,3-2,4_fast",5,pmfs_27_2,1,M2,1,1,1,1.0,0.014893586028029038,-0.014893586028029038,pmfs_27_2,0.0,0
0,House01,"1,3-2,4_fast",5,pmfs_27_2,2,M2,1,1,1,1.0,0.163232629809543,-0.163232629809543,pmfs_27_2,0.0,0
0,House01,"1,3-2,4_fast",5,pmfs_27_2,3,M2,1,1,1,1.0,0.027357931126798185,-0.027357931126798185,pmfs_27_2,0.0,0
0,House01,"1,3-2,4_fast",0,pmfs_13_18,0,M3,1,1,1,1.0,-0.0,0.0,pmfs_13_18,0.0,0
0,House01,"1,3-2,4_fast",0,pmfs_13_18,1,M3,1,1,1,1.0,8.211939089619591e-05,-8.211939089619591e-05,pmfs_13_18,0.0,0
0,House01,"1,3-2,4_fast",0,pmfs_13_18,2,M3,1,1,1,1.0,6.394884621840902e-14,-6.394884621840902e-14,pmfs_13_18,0.0,0
0,House01,"1,3-2,4_fast",0,pmfs_13_18,3,M3,1,1,1,1.0,-0.0,0.0,pmfs_13_18,0.0,0
0,House01,"1,3-2,4_fast",1,pmfs_13_19,0,M3,2,0,1,0.5,9.488157504239307,-9.488157504239307,pmfs_13_18,0.2999999999999998,0
0,House01,"1,3-2,4_fast",1,pmfs_13_19,1,M3,1,1,1,1.0,3.433497681726294e-07,-3.433497681726294e-07,pmfs_13_19,0.0,0
0,House01,"1,3-2,4_fast",1,pmfs_13_19,2,M3,2,0,1,0.5,4.183021910168371,-4.183021910168371,pmfs_13_18,0.2999999999999998,0
0,House01,"1,3-2,4_fast",1,pmfs_13_19,3,M3,2,0,1,0.5,12.011805398141895,-12.011805398141895,pmfs_13_18,0.2999999999999998,0
0,House01,"1,3-2,4_fast",2,pmfs_27_36,0,M3,1,1,1,1.0,1.4729906183674757e-10,-1.4729906183674757e-10,pmfs_27_36,0.0,0
0,House01,"1,3-2,4_fast",2,pmfs_27_36,1,M3,1,1,1,1.0,4.955619914426279e-09,-4.955619914426279e-09,pmfs_27_36,0.0,0
0,House01,"1,3-2,4_fast",2,pmfs_27_36,2,M3,1,1,1,1.0,6.441011635160976e-08,-6.441011635160976e-08,pmfs_27_36,0.0,0
0,House01,"1,3-2,4_fast",2,pmfs_27_36,3,M3,1,1,1,1.0,1.4628015421180862e-07,-1.4628015421180862e-07,pmfs_27_36,0.0,0
0,House01,"1,3-2,4_fast",3,pmfs_26_36,0,M3,1,1,1,1.0,2.842170943040401e-14,-2.842170943040401e-14,pmfs_26_36,0.0,0
0,House01,"1,3-2,4_fast",3,pmfs_26_36,1,M3,1,1,1,1.0,8.115819127851864e-11,-8.115819127851864e-11,pmfs_26_36,0.0,0
0,House01,"1,3-2,4_fast",3,pmfs_26_36,2,M3,1,1,1,1.0,0.012156580642681547,-0.012156580642681547,pmfs_26_36,0.0,0
0,House01,"1,3-2,4_fast",3,pmfs_26_36,3,M3,1,1,1,1.0,9.987033422476088e-10,-9.987033422476088e-10,pmfs_26_36,0.0,0
0,House01,"1,3-2,4_fast",4,pmfs_27_1,0,M3,1,1,1,1.0,0.13355920574811808,-0.13355920574811808,pmfs_27_1,0.0,0
0,House01,"1,3-2,4_fast",4,pmfs_27_1,1,M3,1,1,1,1.0,0.13355920574811808,-0.13355920574811808,pmfs_27_1,0.0,0
0,House01,"1,3-2,4_fast",4,pmfs_27_1,2,M3,2,0,1,0.5,2.230870998477428,-2.230870998477428,pmfs_27_2,0.2999999999999998,0
0,House01,"1,3-2,4_fast",4,pmfs_27_1,3,M3,1,1,1,1.0,0.33968779051462406,-0.33968779051462406,pmfs_27_1,0.0,0
0,House01,"1,3-2,4_fast",5,pmfs_27_2,0,M3,1,1,1,1.0,0.11365573025050857,-0.11365573025050857,pmfs_27_2,0.0,0
0,House01,"1,3-2,4_fast",5,pmfs_27_2,1,M3,1,1,1,1.0,0.014893586028029038,-0.014893586028029038,pmfs_27_2,0.0,0
0,House01,"1,3-2,4_fast",5,pmfs_27_2,2,M3,1,1,1,1.0,0.163232629809543,-0.163232629809543,pmfs_27_2,0.0,0
0,House01,"1,3-2,4_fast",5,pmfs_27_2,3,M3,1,1,1,1.0,0.027357931126798185,-0.027357931126798185,pmfs_27_2,0.0,0
1,House02,"3,5-1_slow",0,pmfs_12_20,0,M0,1,1,1,1.0,1.8492716336027115e-05,-1.8492716336027115e-05,pmfs_12_20,0.0,0
1,House02,"3,5-1_slow",0,pmfs_12_20,1,M0,1,1,1,1.0,0.006765431849110826,-0.006765431849110826,pmfs_12_20,0.0,0
1,House02,"3,5-1_slow",0,pmfs_12_20,2,M0,1,1,1,1.0,9.049901237290214e-07,-9.049901237290214e-07,pmfs_12_20,0.0,0
1,House02,"3,5-1_slow",0,pmfs_12_20,3,M0,1,1,1,1.0,7.50019012230041e-07,-7.50019012230041e-07,pmfs_12_20,0.0,0
1,House02,"3,5-1_slow",1,pmfs_11_20,0,M0,1,1,1,1.0,2.1659145161834203e-06,-2.1659145161834203e-06,pmfs_11_20,0.0,0
1,House02,"3,5-1_slow",1,pmfs_11_20,1,M0,1,1,1,1.0,0.1793502349277567,-0.1793502349277567,pmfs_11_20,0.0,0
1,House02,"3,5-1_slow",1,pmfs_11_20,2,M0,1,1,1,1.0,0.0001847637317418105,-0.0001847637317418105,pmfs_11_20,0.0,0
1,House02,"3,5-1_slow",1,pmfs_11_20,3,M0,1,1,1,1.0,0.17879162380140912,-0.17879162380140912,pmfs_11_20,0.0,0
1,House02,"3,5-1_slow",2,pmfs_1_1,0,M0,1,1,1,1.0,0.4930990701721143,-0.4930990701721143,pmfs_1_1,0.0,0
1,House02,"3,5-1_slow",2,pmfs_1_1,1,M0,1,1,1,1.0,0.6419844298903499,-0.6419844298903499,pmfs_1_1,0.0,0
1,House02,"3,5-1_slow",2,pmfs_1_1,2,M0,1,1,1,1.0,0.14852618121932082,-0.14852618121932082,pmfs_1_1,0.0,0
1,House02,"3,5-1_slow",2,pmfs_1_1,3,M0,2,0,1,0.5,3.1398229665203985,-3.1398229665203985,pmfs_2_1,0.2999999999999998,0
1,House02,"3,5-1_slow",3,pmfs_2_1,0,M0,1,1,1,1.0,0.620303948337412,-0.620303948337412,pmfs_2_1,0.0,0
1,House02,"3,5-1_slow",3,pmfs_2_1,1,M0,1,1,1,1.0,0.4625214669841782,-0.4625214669841782,pmfs_2_1,0.0,0
1,House02,"3,5-1_slow",3,pmfs_2_1,2,M0,2,0,1,0.5,1.000199625098439,-1.000199625098439,pmfs_1_1,0.2999999999999998,0
1,House02,"3,5-1_slow",3,pmfs_2_1,3,M0,1,1,1,1.0,0.10800857673391917,-0.10800857673391917,pmfs_2_1,0.0,0
1,House02,"3,5-1_slow",4,pmfs_2_38,0,M0,2,0,1,0.5,32.28614673620046,-32.28614673620046,pmfs_2_37,0.29999999999999893,0
1,House02,"3,5-1_slow",4,pmfs_2_38,1,M0,2,0,1,0.5,43.38689838286619,-43.38689838286619,pmfs_2_37,0.29999999999999893,0
1,House02,"3,5-1_slow",4,pmfs_2_38,2,M0,2,0,1,0.5,9.954479876211565,-9.954479876211565,pmfs_2_37,0.29999999999999893,0
1,House02,"3,5-1_slow",4,pmfs_2_38,3,M0,1,1,1,1.0,2.2737367544323206e-13,-2.2737367544323206e-13,pmfs_2_38,0.0,0
1,House02,"3,5-1_slow",5,pmfs_2_37,0,M0,1,1,1,1.0,2.365256079883693e-08,-2.365256079883693e-08,pmfs_2_37,0.0,0
1,House02,"3,5-1_slow",5,pmfs_2_37,1,M0,1,1,1,1.0,1.2789769243681803e-10,-1.2789769243681803e-10,pmfs_2_37,0.0,0
1,House02,"3,5-1_slow",5,pmfs_2_37,2,M0,1,1,1,1.0,-0.0,0.0,pmfs_2_37,0.0,0
1,House02,"3,5-1_slow",5,pmfs_2_37,3,M0,2,0,1,0.5,4.093799556782258,-4.093799556782258,pmfs_2_38,0.29999999999999893,0
1,House02,"3,5-1_slow",0,pmfs_12_20,0,M1,1,1,1,1.0,4.476419235288631e-13,-4.476419235288631e-13,pmfs_12_20,0.0,0
1,House02,"3,5-1_slow",0,pmfs_12_20,1,M1,1,1,1,1.0,7.971100252746055e-06,-7.971100252746055e-06,pmfs_12_20,0.0,0
1,House02,"3,5-1_slow",0,pmfs_12_20,2,M1,1,1,1,1.0,8.775202786637237e-13,-8.775202786637237e-13,pmfs_12_20,0.0,0
1,House02,"3,5-1_slow",0,pmfs_12_20,3,M1,1,1,1,1.0,-0.0,0.0,pmfs_12_20,0.0,0
1,House02,"3,5-1_slow",1,pmfs_11_20,0,M1,1,1,1,1.0,4.297362465877086e-11,-4.297362465877086e-11,pmfs_11_20,0.0,0
1,House02,"3,5-1_slow",1,pmfs_11_20,1,M1,1,1,1,1.0,0.007956617405994848,-0.007956617405994848,pmfs_11_20,0.0,0
1,House02,"3,5-1_slow",1,pmfs_11_20,2,M1,1,1,1,1.0,3.737596898645279e-10,-3.737596898645279e-10,pmfs_11_20,0.0,0
1,House02,"3,5-1_slow",1,pmfs_11_20,3,M1,1,1,1,1.0,0.03769581698870894,-0.03769581698870894,pmfs_11_20,0.0,0
