run_uuid,source_update_id,candidate_id,origin_i,origin_j,size_i,size_j,center_x,center_y,native_source_x,native_source_y,native_score,hit_map_file
HCMC_NATIVE_H03_R2026092221_NAV2_20260922T064454Z,1,quadtree_37_26_1_1,37,26,1,1,10.399999618530273,6.0870003700256348,10.294988632202148,6.0052757263183594,1.6590805512474851e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092221/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_37_26_1_1.f32
HCMC_NATIVE_H03_R2026092221_NAV2_20260922T064454Z,1,quadtree_36_26_1_1,36,26,1,1,10.100000381469727,6.0870003700256348,9.9949884414672852,6.0052757263183594,1.6590805512474851e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092221/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_36_26_1_1.f32
HCMC_NATIVE_H03_R2026092221_NAV2_20260922T064454Z,1,quadtree_12_24_6_3,12,24,6,3,3.8000001907348633,5.7870001792907715,3.0199301242828369,5.5418267250061035,1.6590805512474851e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092221/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_12_24_6_3.f32
HCMC_NATIVE_H03_R2026092221_NAV2_20260922T064454Z,1,quadtree_41_26_3_1,41,26,3,1,11.90000057220459,6.0870003700256348,11.584964752197266,6.0052757263183594,1.6590805512474851e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092221/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_41_26_3_1.f32
HCMC_NATIVE_H03_R2026092221_NAV2_20260922T064454Z,1,quadtree_32_26_1_1,32,26,1,1,8.8999996185302734,6.0870003700256348,8.7949886322021484,6.0052757263183594,1.6590805512474851e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092221/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_32_26_1_1.f32
HCMC_NATIVE_H03_R2026092221_NAV2_20260922T064454Z,1,quadtree_44_26_1_1,44,26,1,1,12.5,6.0870003700256348,12.394989013671875,6.0052757263183594,1.6590805512474851e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092221/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_44_26_1_1.f32
HCMC_NATIVE_H03_R2026092221_NAV2_20260922T064454Z,1,quadtree_26_22_1_1,26,22,1,1,7.1000003814697266,4.887000560760498,6.9949884414672852,4.8052759170532227,1.6590805512474851e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092221/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_26_22_1_1.f32
HCMC_NATIVE_H03_R2026092221_NAV2_20260922T064454Z,1,quadtree_6_14_3_2,6,14,3,2,1.3999999761581421,2.7870001792907715,1.0849651098251343,2.4735512733459473,3.1485556542617672e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092221/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_6_14_3_2.f32
HCMC_NATIVE_H03_R2026092221_NAV2_20260922T064454Z,1,quadtree_11_14_1_1,11,14,1,1,2.5999999046325684,2.4870004653930664,2.4949886798858643,2.405275821685791,1.6590805512474851e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092221/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_11_14_1_1.f32
HCMC_NATIVE_H03_R2026092221_NAV2_20260922T064454Z,1,quadtree_29_22_2_1,29,22,2,1,8.3000001907348633,4.887000560760498,7.9399776458740234,4.8052759170532227,1.6590805512474851e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092221/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_29_22_2_1.f32
