cell_index,x,y,wind_x,wind_y
55,2,-1.4129999876022339,-0.0030682005453854799,0.00080556160537526011
56,2.3000001907348633,-1.4129999876022339,-0.0031737454701215029,0.0011750840349122882
57,2.5999999046325684,-1.4129999876022339,-0.0032451597508043051,0.0017491580219939351
58,2.9000000953674316,-1.4129999876022339,-0.0035005391109734774,0.0021294988691806793
59,3.2000002861022949,-1.4129999876022339,-0.0033224395010620356,0.001806977204978466
60,3.5000004768371582,-1.4129999876022339,-0.0028083706274628639,0.0014348747208714485
61,3.8000001907348633,-1.4129999876022339,-0.0021869810298085213,0.0011126712197437882
62,4.1000003814697266,-1.4129999876022339,-0.0016475103329867125,0.00083467521471902728
63,4.4000000953674316,-1.4129999876022339,-0.0010973535245284438,0.00059259176487103105
64,4.7000002861022949,-1.4129999876022339,-0.00084559794049710035,0.00047520670341327786
65,5.0000004768371582,-1.4129999876022339,-0.00072932493640109897,0.00038417289033532143
66,5.3000001907348633,-1.4129999876022339,-0.00060450000455603004,0.00030324156978167593
67,5.6000003814697266,-1.4129999876022339,-0.00049575406592339277,0.00024694181047379971
68,5.9000005722045898,-1.4129999876022339,-0.00042071248753927648,0.00020207925990689546
69,6.2000002861022949,-1.4129999876022339,-0.00034592620795592666,0.00016077620966825634
70,6.5000004768371582,-1.4129999876022339,-0.00027130052330903709,0.00013170081365387887
71,6.8000001907348633,-1.4129999876022339,-0.00021616336016450077,0.00011637100396910682
72,7.1000003814697266,-1.4129999876022339,-0.00017484194540884346,0.00010655613004928455
73,7.4000000953674316,-1.4129999876022339,-0.00014225571067072451,0.00010032814316218719
74,7.7000002861022949,-1.4129999876022339,-0.00011225768685108051,9.9523160315584391e-05
75,8,-1.4129999876022339,-0.00010483845107955858,0.00010133518662769347
76,8.3000001907348633,-1.4129999876022339,0,0
77,8.6000003814697266,-1.4129999876022339,0,0
78,8.8999996185302734,-1.4129999876022339,0,0
79,9.1999998092651367,-1.4129999876022339,0,0
80,9.5,-1.4129999876022339,0,0
81,9.8000001907348633,-1.4129999876022339,0,0
82,10.100000381469727,-1.4129999876022339,0,0
83,10.399999618530273,-1.4129999876022339,0,0
84,10.699999809265137,-1.4129999876022339,0,0
85,11,-1.4129999876022339,-1.4624304185417714e-06,2.1396947431640001e-06
86,11.300000190734863,-1.4129999876022339,-1.2021919246762991e-06,1.8203159015683923e-06
87,11.600000381469727,-1.4129999876022339,-1.1010853313564439e-06,1.6437020349258091e-06
104,2.9000000953674316,-1.1130000352859497,-0.004288380965590477,0.0026921958196908236
109,4.4000000953674316,-1.1130000352859497,-0.00067411176860332489,0.00045571388909593225
110,4.7000002861022949,-1.1130000352859497,-0.00059744081227108836,0.00040948731475509703
111,5.0000004768371582,-1.1130000352859497,-0.0006490586674772203,0.00033984871697612107
112,5.3000001907348633,-1.1130000352859497,-0.00056019233306869864,0.00026396397151984274
113,5.6000003814697266,-1.1130000352859497,-0.00043701505637727678,0.00020487936853896827
114,5.9000005722045898,-1.1130000352859497,-0.00039820338133722544,0.0001641122653381899
115,6.2000002861022949,-1.1130000352859497,-0.00033340469235554338,0.00012424979649949819
116,6.5000004768371582,-1.1130000352859497,-0.00023809721460565925,9.0118206571787596e-05
117,6.8000001907348633,-1.1130000352859497,-0.00018107482173945755,7.9802601248957217e-05
118,7.1000003814697266,-1.1130000352859497,-0.00014948919124435633,7.9011842899490148e-05
119,7.4000000953674316,-1.1130000352859497,-0.00012343931302893907,7.8094912169035524e-05
120,7.7000002861022949,-1.1130000352859497,-9.5596005849074572e-05,7.7194337791297585e-05
121,8,-1.1130000352859497,-9.0498710051178932e-05,7.689330232096836e-05
122,8.3000001907348633,-1.1130000352859497,0,0
123,8.6000003814697266,-1.1130000352859497,0,0
124,8.8999996185302734,-1.1130000352859497,0,0
125,9.1999998092651367,-1.1130000352859497,0,0
126,9.5,-1.1130000352859497,0,0
127,9.8000001907348633,-1.1130000352859497,0,0
