cell_index,grid_i,grid_j,x,y,occupancy,probability,logOdds,confidence,omega,distanceFromRobot,originalPropagationDirection_x,originalPropagationDirection_y
0,0,0,-0.70000004768371582,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
1,1,0,-0.40000000596046448,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
2,2,0,-0.10000002384185791,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
3,3,0,0.20000004768371582,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
4,4,0,0.5,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
5,5,0,0.80000007152557373,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
6,6,0,1.1000000238418579,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
7,7,0,1.3999999761581421,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
8,8,0,1.7000001668930054,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
9,9,0,2,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
10,10,0,2.3000001907348633,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
11,11,0,2.5999999046325684,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
12,12,0,2.9000000953674316,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
13,13,0,3.2000002861022949,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
14,14,0,3.5000004768371582,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
15,15,0,3.8000001907348633,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
16,16,0,4.1000003814697266,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
17,17,0,4.4000000953674316,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
18,18,0,4.7000002861022949,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
19,19,0,5.0000004768371582,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
20,20,0,5.3000001907348633,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
21,21,0,5.6000003814697266,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
22,22,0,5.9000005722045898,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
23,23,0,6.2000002861022949,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
24,24,0,6.5000004768371582,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
25,25,0,6.8000001907348633,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
26,26,0,7.1000003814697266,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
27,27,0,7.4000000953674316,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
28,28,0,7.7000002861022949,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
29,29,0,8,-1.7130000591278076,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
