stamp_ns,x,y,wind_u,wind_v
200000000,-0.5,-2.5,-0.024601999802243157,-0.006047499953859021
400000000,-0.5,-2.5,-0.024601999802243157,-0.006047499953859021
600000000,-0.5,-2.5,-0.02272600016635588,-0.003817699467974106
800000000,-0.5,-2.5,-0.02272600016635588,-0.003817699467974106
1000000000,-0.5,-2.5,-0.01985299928587554,-0.0034572016291373924
1200000000,-0.5,-2.5,-0.01985299928587554,-0.0034572016291373924
1400000000,-0.5,-2.5,-0.021206998575950264,-0.002484801880492169
1600000000,-0.5,-2.5,-0.021206998575950264,-0.002484801880492169
