pair_index,band,y_row,left_i,right_i,left_index,right_index,left_source_id,right_source_id,distance_m
23,3,13,23,24,155,162,pmfs_23_13,pmfs_24_13,0.30000000000000004
24,0,14,1,2,2,9,pmfs_1_14,pmfs_2_14,0.2999999999999998
25,0,14,3,4,16,23,pmfs_3_14,pmfs_4_14,0.3000000000000007
26,0,14,5,6,30,37,pmfs_5_14,pmfs_6_14,0.2999999999999998
27,1,14,7,8,44,51,pmfs_7_14,pmfs_8_14,0.2999999999999998
28,1,14,9,10,58,65,pmfs_9_14,pmfs_10_14,0.30000000000000027
29,1,14,11,12,72,79,pmfs_11_14,pmfs_12_14,0.2999999999999998
30,2,14,13,14,86,93,pmfs_13_14,pmfs_14_14,0.3000000000000005
31,2,14,15,16,100,107,pmfs_15_14,pmfs_16_14,0.2999999999999999
32,2,14,17,18,114,121,pmfs_17_14,pmfs_18_14,0.2999999999999997
33,3,14,19,20,128,135,pmfs_19_14,pmfs_20_14,0.2999999999999998
34,3,14,21,22,142,149,pmfs_21_14,pmfs_22_14,0.2999999999999998
35,3,14,23,24,156,163,pmfs_23_14,pmfs_24_14,0.30000000000000004
36,0,15,1,2,3,10,pmfs_1_15,pmfs_2_15,0.2999999999999998
37,0,15,3,4,17,24,pmfs_3_15,pmfs_4_15,0.3000000000000007
38,0,15,5,6,31,38,pmfs_5_15,pmfs_6_15,0.2999999999999998
39,1,15,7,8,45,52,pmfs_7_15,pmfs_8_15,0.2999999999999998
40,1,15,9,10,59,66,pmfs_9_15,pmfs_10_15,0.30000000000000027
41,1,15,11,12,73,80,pmfs_11_15,pmfs_12_15,0.2999999999999998
42,2,15,13,14,87,94,pmfs_13_15,pmfs_14_15,0.3000000000000005
43,2,15,15,16,101,108,pmfs_15_15,pmfs_16_15,0.2999999999999999
44,2,15,17,18,115,122,pmfs_17_15,pmfs_18_15,0.2999999999999997
45,3,15,19,20,129,136,pmfs_19_15,pmfs_20_15,0.2999999999999998
46,3,15,21,22,143,150,pmfs_21_15,pmfs_22_15,0.2999999999999998
47,3,15,23,24,157,164,pmfs_23_15,pmfs_24_15,0.30000000000000004
48,0,16,1,2,4,11,pmfs_1_16,pmfs_2_16,0.2999999999999998
49,0,16,3,4,18,25,pmfs_3_16,pmfs_4_16,0.3000000000000007
50,0,16,5,6,32,39,pmfs_5_16,pmfs_6_16,0.2999999999999998
51,1,16,7,8,46,53,pmfs_7_16,pmfs_8_16,0.2999999999999998
52,1,16,9,10,60,67,pmfs_9_16,pmfs_10_16,0.30000000000000027
53,1,16,11,12,74,81,pmfs_11_16,pmfs_12_16,0.2999999999999998
54,2,16,13,14,88,95,pmfs_13_16,pmfs_14_16,0.3000000000000005
55,2,16,15,16,102,109,pmfs_15_16,pmfs_16_16,0.2999999999999999
56,2,16,17,18,116,123,pmfs_17_16,pmfs_18_16,0.2999999999999997
57,3,16,19,20,130,137,pmfs_19_16,pmfs_20_16,0.2999999999999998
58,3,16,21,22,144,151,pmfs_21_16,pmfs_22_16,0.2999999999999998
59,3,16,23,24,158,165,pmfs_23_16,pmfs_24_16,0.30000000000000004
60,0,17,1,2,5,12,pmfs_1_17,pmfs_2_17,0.2999999999999998
61,0,17,3,4,19,26,pmfs_3_17,pmfs_4_17,0.3000000000000007
62,0,17,5,6,33,40,pmfs_5_17,pmfs_6_17,0.2999999999999998
63,1,17,7,8,47,54,pmfs_7_17,pmfs_8_17,0.2999999999999998
64,1,17,9,10,61,68,pmfs_9_17,pmfs_10_17,0.30000000000000027
65,1,17,11,12,75,82,pmfs_11_17,pmfs_12_17,0.2999999999999998
66,2,17,13,14,89,96,pmfs_13_17,pmfs_14_17,0.3000000000000005
67,2,17,15,16,103,110,pmfs_15_17,pmfs_16_17,0.2999999999999999
68,2,17,17,18,117,124,pmfs_17_17,pmfs_18_17,0.2999999999999997
69,3,17,19,20,131,138,pmfs_19_17,pmfs_20_17,0.2999999999999998
70,3,17,21,22,145,152,pmfs_21_17,pmfs_22_17,0.2999999999999998
71,3,17,23,24,159,166,pmfs_23_17,pmfs_24_17,0.30000000000000004
72,0,18,1,2,6,13,pmfs_1_18,pmfs_2_18,0.2999999999999998
73,0,18,3,4,20,27,pmfs_3_18,pmfs_4_18,0.3000000000000007
74,0,18,5,6,34,41,pmfs_5_18,pmfs_6_18,0.2999999999999998
75,1,18,7,8,48,55,pmfs_7_18,pmfs_8_18,0.2999999999999998
76,1,18,9,10,62,69,pmfs_9_18,pmfs_10_18,0.30000000000000027
77,1,18,11,12,76,83,pmfs_11_18,pmfs_12_18,0.2999999999999998
78,2,18,13,14,90,97,pmfs_13_18,pmfs_14_18,0.3000000000000005
79,2,18,15,16,104,111,pmfs_15_18,pmfs_16_18,0.2999999999999999
80,2,18,17,18,118,125,pmfs_17_18,pmfs_18_18,0.2999999999999997
81,3,18,19,20,132,139,pmfs_19_18,pmfs_20_18,0.2999999999999998
82,3,18,21,22,146,153,pmfs_21_18,pmfs_22_18,0.2999999999999998
83,3,18,23,24,160,167,pmfs_23_18,pmfs_24_18,0.30000000000000004
