split,pair_index,band,geometry_0,geometry_1,geometry_2,geometry_3,geometry_4,geometry_5,geometry_6,geometry_7,geometry_8,geometry_9,geometry_10,geometry_11,geometry_12,geometry_13,geometry_14,geometry_15,geometry_16,geometry_17,geometry_18,geometry_19,geometry_20,ordinary_CROSSBLOCK_COV_NORM,ordinary_INTERACTION_ENERGY,ordinary_RAW_MASS_DIFFERENCE,ordinary_BASE_SNR
A,0,0,0.24047410326110763,0.5034969292384117,0.8228443831173418,0.5127968499419088,0.6320897557606537,0.4272514195050664,0.08866426044507168,0.28435343936952756,0.5952973090071237,0.8312344242706206,0.46284979209117233,0.6314830786963956,1.30454515521541,0.0792042027542845,0.055482518091333345,0.14762074678215256,0.019002517264422817,-0.07822004350113619,-0.0011404894185777696,1.148346166134857,-0.010235828485505352,0.2677582962091205,1.2210046040994538,3.101352209073079,0.3473841266781337
B,0,0,0.31075215745456636,0.5215734763083305,0.8067649732932712,0.46412372256016843,0.6815637984015621,0.3967677403478356,0.18714271646553146,0.41340277006979714,0.6038978326065109,0.8232756864312413,0.40365861129053465,0.6749510741354897,1.1825220090280408,0.2633540747716199,0.137588157777502,0.1350190697831434,0.03662290278959259,-0.08922538945041313,-0.012945847283124466,1.0208603126590026,0.0911999536887473,0.289106984617245,1.270495365683465,2.517395253031926,0.42676776036343395
A,1,0,0.44617422672302165,0.32660709808548416,0.7908565496344361,0.6402429837143824,0.6600487877919062,0.18261870748222592,1.113207666375123,0.54462257765069,0.40337659045034496,0.803583534616916,0.6339066271191762,0.6554787933572979,0.6934752761022712,1.1137815688022306,0.14982759855876074,0.10491282233075716,0.027854423663492424,-0.011910486824681465,-0.008783558782805912,0.5879531315640076,0.0017459967939062102,0.10704280398677045,1.1559657239781786,3.2579053079882128,0.8984643039034436
B,1,0,0.22362212919564928,0.4431748482125879,0.75736664364251,0.4858681940591949,0.6834114470167985,0.4187030011132304,0.12324192572790739,0.31154409581726666,0.5329333081935623,0.7602673313046049,0.4539691861474945,0.6838197314688877,1.241646646587944,0.18104737649586355,0.10879488190577927,0.13652056868392512,0.006176029367493103,-0.04977657411943601,0.0008084957634949458,1.0788582812005463,0.06514513080225451,0.2171146449952932,1.2501971216325118,2.689446757036321,0.3711408368969926
A,2,0,0.25011215027426953,0.2780363116176469,0.8048482802354973,0.5663808786731824,0.6724357449518956,0.3000674361182903,0.5357316290049338,0.3185898511366299,0.3532790595659352,0.8079985165970616,0.5732743455640386,0.6724662172505359,1.0122091413852563,0.5343245271641583,0.08711097546120727,0.09820983171167295,0.007031383918305166,0.012113744791586495,5.969445669295267e-05,0.8761865215956856,-0.002399739543393038,0.07140180838577308,0.7750254980150477,2.903648329849515,0.6347495665305962
B,2,0,0.3883743366636727,0.18589992672704306,0.9040496575430014,0.5820119573885212,0.676210259250912,0.09323184840014262,1.8412198711598429,0.49582369984534874,0.23506842046085644,0.8888854970098921,0.5890637061068122,0.6771524205560341,0.37507300747199124,1.913554032642831,0.15466632078486936,0.05892301622772544,-0.03649262347317493,0.012585135155672262,0.001851834065531293,0.30555742774198663,0.387238870441133,0.026047879384143807,0.8297675031499065,3.494609434964765,1.2008514010973546
A,3,1,0.20989524993603173,0.34764514074897523,0.7581916589473541,0.5344791120002882,0.6720518400976854,0.3887050499384734,0.21889164806924707,0.2895546100731719,0.4345649717778718,0.7527786632270231,0.5629713120366867,0.6745547833707475,1.1827527279914865,0.2704233720739009,0.09738398285173405,0.12094365944576263,-0.01145647819523667,0.048145142620871134,0.004895528114535224,1.02542331723069,0.06374705150379728,0.11971002191679872,0.6807040991655376,2.464105625794233,0.4458264512170291
B,3,1,0.2722339342067734,0.32539539358736247,0.7504735495712874,0.5632610643161514,0.6464541766293285,0.31922726532549295,0.4650387571350193,0.3474055057978036,0.39910050858733365,0.7634956725665274,0.5661053498424797,0.6374164438304473,1.0366590222528131,0.49812321883194915,0.09757711914105903,0.10066438989413733,0.027382898197073163,0.004990316084884463,-0.01702735725508582,0.8935200013249563,0.05216920260457715,0.10913508219215483,0.6875325503645576,2.192117942735288,0.5953158887283061
A,4,1,0.27288134110881795,0.2656094301247875,0.7945776533096031,0.5562366228334932,0.6589182512508136,0.2645735275613132,0.6869842157582842,0.3622227614526573,0.34494848548969453,0.7797717838695036,0.5882331300600274,0.665565618420739,0.9050121228253665,0.7174524091299322,0.11580290692292594,0.10227822430715694,-0.03201351251680414,0.05515782416023854,0.012807794179638853,0.7743061909957937,0.05967738926931652,0.06414555572425368,0.867932913047448,1.784027384708095,0.7086703506410083
B,4,1,0.33932521864320114,0.3716179693870817,0.7482501945633118,0.6345373046338866,0.6116877939198564,0.2972278373886498,0.5516646618299418,0.4069956800442939,0.44555809259156,0.7579032759345041,0.6337362034962872,0.6129635764103837,1.0063120879349632,0.5479928274661054,0.09376147015529995,0.10551469615833349,0.02029135557802803,-0.0015092517290290867,0.0023506923105658835,0.8710306396319722,-0.006342972503003841,0.14194440955415635,0.8741273554987473,3.348537358602098,0.6406005336207832
