world_id,house,stop_id,controlled_carrier_id,route_index,member_hit_count,raw_probability,decision_sensor_state_ppm,tsdc_probability,observed_event
TSDC_FRESH_H01_02,H01,15,quadtree_2_34_2_2,9,1,0.16666666666666666,0.0,0.05370038728879652,0
TSDC_FRESH_H01_03,H01,1,quadtree_24_6_2_2,7,0,0.05555555555555555,0.0,0.015600150653038249,0
TSDC_FRESH_H01_03,H01,2,quadtree_24_6_2_2,7,0,0.05555555555555555,0.0,0.015600150653038249,0
TSDC_FRESH_H01_03,H01,3,quadtree_24_6_2_2,7,0,0.05555555555555555,0.0,0.015600150653038249,0
TSDC_FRESH_H01_03,H01,4,quadtree_24_6_2_2,7,0,0.05555555555555555,0.0,0.015600150653038249,0
TSDC_FRESH_H01_03,H01,5,quadtree_24_6_2_2,7,0,0.05555555555555555,0.0,0.015600150653038249,0
TSDC_FRESH_H01_03,H01,6,quadtree_24_6_2_2,7,0,0.05555555555555555,0.0,0.015600150653038249,0
TSDC_FRESH_H01_03,H01,7,quadtree_24_6_2_2,7,0,0.05555555555555555,0.0,0.015600150653038249,0
TSDC_FRESH_H01_03,H01,8,quadtree_24_6_2_2,7,0,0.05555555555555555,0.0,0.015600150653038249,0
TSDC_FRESH_H01_03,H01,9,quadtree_24_6_2_2,7,2,0.2777777777777778,7.324714050679071e-07,0.10087940361248136,0
TSDC_FRESH_H01_03,H01,10,quadtree_24_6_2_2,7,1,0.16666666666666666,0.0005698816844067325,0.054570296667108935,1
TSDC_FRESH_H01_03,H01,11,quadtree_24_6_2_2,7,3,0.3888888888888889,0.06192161827066702,0.4447733186862117,0
TSDC_FRESH_H01_03,H01,12,quadtree_24_6_2_2,7,5,0.6111111111111112,0.0348677011554584,0.5433618186528603,0
TSDC_FRESH_H01_03,H01,13,quadtree_24_6_2_2,7,0,0.05555555555555555,0.0397601281788121,0.0413307863360276,0
TSDC_FRESH_H01_03,H01,14,quadtree_24_6_2_2,7,7,0.8333333333333334,0.002439844090273152,0.6360245494015324,1
TSDC_FRESH_H01_03,H01,15,quadtree_24_6_2_2,7,8,0.9444444444444444,0.07192583753847794,0.9671300925467649,1
TSDC_FRESH_H01_04,H01,1,quadtree_24_36_2_2,8,0,0.05555555555555555,0.0,0.015600150653038249,0
TSDC_FRESH_H01_04,H01,2,quadtree_24_36_2_2,8,0,0.05555555555555555,0.0,0.015600150653038249,0
TSDC_FRESH_H01_04,H01,3,quadtree_24_36_2_2,8,0,0.05555555555555555,0.0,0.015600150653038249,0
TSDC_FRESH_H01_04,H01,4,quadtree_24_36_2_2,8,0,0.05555555555555555,0.0,0.015600150653038249,0
TSDC_FRESH_H01_04,H01,5,quadtree_24_36_2_2,8,3,0.3888888888888889,0.0,0.15940545975332787,0
TSDC_FRESH_H01_04,H01,6,quadtree_24_36_2_2,8,6,0.7222222222222222,0.0,0.45126953377790846,1
TSDC_FRESH_H01_04,H01,7,quadtree_24_36_2_2,8,0,0.05555555555555555,0.05992292845712046,0.06059480792823122,0
TSDC_FRESH_H01_04,H01,8,quadtree_24_36_2_2,8,2,0.2777777777777778,2.399134080304545e-08,0.1008774824433575,0
TSDC_FRESH_H01_04,H01,9,quadtree_24_36_2_2,8,8,0.9444444444444444,0.06908440297764856,0.9655088358962461,1
TSDC_FRESH_H01_04,H01,10,quadtree_24_36_2_2,8,8,0.9444444444444444,0.3104382811360137,0.9974857697454443,1
TSDC_FRESH_H01_04,H01,11,quadtree_24_36_2_2,8,1,0.16666666666666666,0.7692796726531622,0.9732992569459366,1
TSDC_FRESH_H01_04,H01,12,quadtree_24_36_2_2,8,3,0.3888888888888889,0.0019610765225360144,0.16734020824239604,0
TSDC_FRESH_H01_04,H01,13,quadtree_24_36_2_2,8,8,0.9444444444444444,0.04179166102328113,0.9429805620530407,1
TSDC_FRESH_H01_04,H01,14,quadtree_24_36_2_2,8,8,0.9444444444444444,0.09707330418286579,0.9779015717263676,1
TSDC_FRESH_H01_04,H01,15,quadtree_24_36_2_2,8,8,0.9444444444444444,0.44558409720860037,0.998924855282302,1
TSDC_FRESH_H01_05,H01,1,quadtree_6_28_2_2,4,0,0.05555555555555555,0.0,0.015600150653038249,0
TSDC_FRESH_H01_05,H01,2,quadtree_6_28_2_2,4,0,0.05555555555555555,0.0,0.015600150653038249,0
TSDC_FRESH_H01_05,H01,3,quadtree_6_28_2_2,4,3,0.3888888888888889,0.0,0.15940545975332787,0
TSDC_FRESH_H01_05,H01,4,quadtree_6_28_2_2,4,3,0.3888888888888889,0.0,0.15940545975332787,0
TSDC_FRESH_H01_05,H01,5,quadtree_6_28_2_2,4,1,0.16666666666666666,0.0,0.05370038728879652,0
TSDC_FRESH_H01_05,H01,6,quadtree_6_28_2_2,4,1,0.16666666666666666,0.0,0.05370038728879652,0
TSDC_FRESH_H01_05,H01,7,quadtree_6_28_2_2,4,1,0.16666666666666666,0.0,0.05370038728879652,0
TSDC_FRESH_H01_05,H01,8,quadtree_6_28_2_2,4,2,0.2777777777777778,0.0,0.10087741738691981,0
TSDC_FRESH_H01_05,H01,9,quadtree_6_28_2_2,4,2,0.2777777777777778,0.0,0.10087741738691981,0
TSDC_FRESH_H01_05,H01,10,quadtree_6_28_2_2,4,4,0.5,0.0,0.23298577816546734,0
TSDC_FRESH_H01_05,H01,11,quadtree_6_28_2_2,4,3,0.3888888888888889,0.0,0.15940545975332787,0
TSDC_FRESH_H01_05,H01,12,quadtree_6_28_2_2,4,2,0.2777777777777778,0.0,0.10087741738691981,0
TSDC_FRESH_H01_05,H01,13,quadtree_6_28_2_2,4,4,0.5,0.0,0.23298577816546734,0
TSDC_FRESH_H01_05,H01,14,quadtree_6_28_2_2,4,3,0.3888888888888889,0.0,0.15940545975332787,0
TSDC_FRESH_H01_05,H01,15,quadtree_6_28_2_2,4,3,0.3888888888888889,0.0,0.15940545975332787,0
TSDC_FRESH_H01_06,H01,1,quadtree_22_14_2_2,5,0,0.05555555555555555,0.0,0.015600150653038249,0
TSDC_FRESH_H01_06,H01,2,quadtree_22_14_2_2,5,0,0.05555555555555555,0.0,0.015600150653038249,0
TSDC_FRESH_H01_06,H01,3,quadtree_22_14_2_2,5,3,0.3888888888888889,0.0,0.15940545975332787,0
TSDC_FRESH_H01_06,H01,4,quadtree_22_14_2_2,5,2,0.2777777777777778,0.003298270061838081,0.11002387312586909,0
TSDC_FRESH_H01_06,H01,5,quadtree_22_14_2_2,5,6,0.7222222222222222,0.03881292822232534,0.6867437481971491,1
TSDC_FRESH_H01_06,H01,6,quadtree_22_14_2_2,5,8,0.9444444444444444,0.3459950211702841,0.9980376717431575,1
TSDC_FRESH_H01_06,H01,7,quadtree_22_14_2_2,5,8,0.9444444444444444,0.8052541243631726,0.9997632024896055,1
TSDC_FRESH_H01_06,H01,8,quadtree_22_14_2_2,5,7,0.8333333333333334,0.38158616012031216,0.9944344897928045,1
TSDC_FRESH_H01_06,H01,9,quadtree_22_14_2_2,5,1,0.16666666666666666,0.06007481486701634,0.18807196394826073,0
TSDC_FRESH_H01_06,H01,10,quadtree_22_14_2_2,5,4,0.5,0.005976748705685397,0.2654212234152693,1
TSDC_FRESH_H01_06,H01,11,quadtree_22_14_2_2,5,8,0.9444444444444444,0.17613974265453658,0.9918245525372886,1
TSDC_FRESH_H01_06,H01,12,quadtree_22_14_2_2,5,8,0.9444444444444444,0.7650799758781868,0.9997287927868146,1
