world_id,house,raw_nll,tsdc_nll,raw_brier,tsdc_brier
TSDC_FRESH_H01_00,H01,0.057158413839948595,0.015723113505717538,0.0030864197530864196,0.00024336470039748974
TSDC_FRESH_H01_01,H01,0.26421773182127,0.11424685702471098,0.07880658436213991,0.027916236871063503
TSDC_FRESH_H01_02,H01,0.10790187448488212,0.03498976372922669,0.021193415637860084,0.004021989701833498
TSDC_FRESH_H01_03,H01,0.28720171058631794,0.33605205921628734,0.09032921810699589,0.10228620399725964
TSDC_FRESH_H01_04,H01,0.2666094252461591,0.10206773100027029,0.07880658436213993,0.024999268711627432
TSDC_FRESH_H01_05,H01,0.3657483657316337,0.1276514125441981,0.10514403292181071,0.01835212885681637
TSDC_FRESH_H01_06,H01,0.18938002984189659,0.1509777547792028,0.04423868312757202,0.04742805385128303
TSDC_FRESH_H01_07,H01,0.5955196634111044,0.74479212925834,0.21543209876543212,0.23335946396686247
TSDC_FRESH_H01_08,H01,0.4940078632226447,0.15461519061199938,0.14135802469135803,0.05071291103950483
TSDC_FRESH_H01_09,H01,0.2635743814324593,0.19728918705209716,0.08209876543209878,0.06579153076764993
TSDC_FRESH_H02_00,H02,0.057158413839948595,0.015723113505717538,0.0030864197530864196,0.00024336470039748974
TSDC_FRESH_H02_01,H02,0.481050560865749,0.16293883956654126,0.15288065843621398,0.05168412231741988
TSDC_FRESH_H02_02,H02,0.3313554489221425,0.09080445673857862,0.10843621399176956,0.02049719976391343
TSDC_FRESH_H02_03,H02,0.2917489272547535,0.17346953892054198,0.07551440329218105,0.06321279096507719
TSDC_FRESH_H02_04,H02,0.16989888133408507,0.2169980706921501,0.037654320987654324,0.06959196570199763
TSDC_FRESH_H02_05,H02,0.30632282033134145,0.05348080314613145,0.10020576131687245,0.005994878749021086
TSDC_FRESH_H02_06,H02,0.27719474216302514,0.14438513433076544,0.08209876543209878,0.040310458970464896
TSDC_FRESH_H02_07,H02,0.20342630549344337,0.1621473146867164,0.04588477366255144,0.05097982888331263
TSDC_FRESH_H02_08,H02,0.057158413839948644,0.02031279972315332,0.00308641975308642,0.0015697546775698067
TSDC_FRESH_H02_09,H02,0.13692307923540517,0.046372760782139824,0.031069958847736626,0.005736345034665251
TSDC_FRESH_H03_00,H03,0.057158413839948595,0.015723113505717538,0.0030864197530864196,0.00024336470039748974
TSDC_FRESH_H03_01,H03,0.5795814681571742,0.47114863549489,0.17757201646090526,0.1267250292999161
TSDC_FRESH_H03_02,H03,0.4607336044082811,0.36896800286683146,0.15781893004115227,0.10884372551352654
TSDC_FRESH_H03_03,H03,0.6648976136356204,0.5138150023613373,0.22695473251028805,0.17409999666721052
TSDC_FRESH_H03_04,H03,0.1334521463247967,0.04018466713857927,0.01954732510288066,0.0021377284937469624
TSDC_FRESH_H03_05,H03,0.2593104763900465,0.07546981321204149,0.07716049382716049,0.01711218182394691
TSDC_FRESH_H03_06,H03,0.324482414987011,0.20195398857271338,0.10843621399176956,0.057978839372473175
TSDC_FRESH_H03_07,H03,0.9207298079560836,0.4304136975798831,0.35699588477366256,0.143083938482182
TSDC_FRESH_H03_08,H03,0.15480734500838386,0.04603400498298981,0.0360082304526749,0.0068610258343520586
TSDC_FRESH_H03_09,H03,0.2543835129739635,0.23405657527324544,0.0639917695473251,0.07001544192918743
