world_id,house,controlled_carrier_id,route_index,stop_id,action_id,member_hit_count,observed_event,world_audit_sha256
M2_CONFIRM_H01_01,H01,quadtree_26_36_2_2,5,15,H01_route05_stop15,8,1,b4c3de8f7df9f31ab0802a282178fa6088a501b13ab5e63d10620763b6ea55b4
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,1,H01_route09_stop01,0,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,2,H01_route09_stop02,0,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,3,H01_route09_stop03,0,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,4,H01_route09_stop04,0,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,5,H01_route09_stop05,0,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,6,H01_route09_stop06,0,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,7,H01_route09_stop07,0,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,8,H01_route09_stop08,0,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,9,H01_route09_stop09,3,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,10,H01_route09_stop10,0,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,11,H01_route09_stop11,0,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,12,H01_route09_stop12,0,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,13,H01_route09_stop13,4,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,14,H01_route09_stop14,1,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_02,H01,quadtree_2_32_2_2,9,15,H01_route09_stop15,3,0,06b6e96abc2fc7ad24b4a63eec0ebd6580ecf7c1af71b511bdfa3331fab6339b
M2_CONFIRM_H01_03,H01,quadtree_20_16_2_2,0,1,H01_route00_stop01,0,0,5aaaba0edbb0d2e3bedaecb1e2447e81e502a8c06a0306ebc1d49079965896f6
M2_CONFIRM_H01_03,H01,quadtree_20_16_2_2,0,2,H01_route00_stop02,4,0,5aaaba0edbb0d2e3bedaecb1e2447e81e502a8c06a0306ebc1d49079965896f6
M2_CONFIRM_H01_03,H01,quadtree_20_16_2_2,0,3,H01_route00_stop03,8,1,5aaaba0edbb0d2e3bedaecb1e2447e81e502a8c06a0306ebc1d49079965896f6
M2_CONFIRM_H01_03,H01,quadtree_20_16_2_2,0,4,H01_route00_stop04,8,1,5aaaba0edbb0d2e3bedaecb1e2447e81e502a8c06a0306ebc1d49079965896f6
M2_CONFIRM_H01_03,H01,quadtree_20_16_2_2,0,5,H01_route00_stop05,8,1,5aaaba0edbb0d2e3bedaecb1e2447e81e502a8c06a0306ebc1d49079965896f6
M2_CONFIRM_H01_03,H01,quadtree_20_16_2_2,0,6,H01_route00_stop06,6,1,5aaaba0edbb0d2e3bedaecb1e2447e81e502a8c06a0306ebc1d49079965896f6
M2_CONFIRM_H01_03,H01,quadtree_20_16_2_2,0,7,H01_route00_stop07,8,1,5aaaba0edbb0d2e3bedaecb1e2447e81e502a8c06a0306ebc1d49079965896f6
M2_CONFIRM_H01_03,H01,quadtree_20_16_2_2,0,8,H01_route00_stop08,8,1,5aaaba0edbb0d2e3bedaecb1e2447e81e502a8c06a0306ebc1d49079965896f6
M2_CONFIRM_H01_03,H01,quadtree_20_16_2_2,0,9,H01_route00_stop09,2,1,5aaaba0edbb0d2e3bedaecb1e2447e81e502a8c06a0306ebc1d49079965896f6
M2_CONFIRM_H01_03,H01,quadtree_20_16_2_2,0,10,H01_route00_stop10,2,0,5aaaba0edbb0d2e3bedaecb1e2447e81e502a8c06a0306ebc1d49079965896f6
M2_CONFIRM_H01_03,H01,quadtree_20_16_2_2,0,11,H01_route00_stop11,1,0,5aaaba0edbb0d2e3bedaecb1e2447e81e502a8c06a0306ebc1d49079965896f6
M2_CONFIRM_H01_03,H01,quadtree_20_16_2_2,0,12,H01_route00_stop12,0,0,5aaaba0edbb0d2e3bedaecb1e2447e81e502a8c06a0306ebc1d49079965896f6
M2_CONFIRM_H01_03,H01,quadtree_20_16_2_2,0,13,H01_route00_stop13,2,0,5aaaba0edbb0d2e3bedaecb1e2447e81e502a8c06a0306ebc1d49079965896f6
M2_CONFIRM_H01_03,H01,quadtree_20_16_2_2,0,14,H01_route00_stop14,2,0,5aaaba0edbb0d2e3bedaecb1e2447e81e502a8c06a0306ebc1d49079965896f6
M2_CONFIRM_H01_03,H01,quadtree_20_16_2_2,0,15,H01_route00_stop15,1,0,5aaaba0edbb0d2e3bedaecb1e2447e81e502a8c06a0306ebc1d49079965896f6
M2_CONFIRM_H01_04,H01,quadtree_8_34_2_2,3,1,H01_route03_stop01,0,0,67f1b6329cc76b04bdd984459d0d1603c1a100bbb1625ac3ed6e35d82849d222
M2_CONFIRM_H01_04,H01,quadtree_8_34_2_2,3,2,H01_route03_stop02,0,0,67f1b6329cc76b04bdd984459d0d1603c1a100bbb1625ac3ed6e35d82849d222
M2_CONFIRM_H01_04,H01,quadtree_8_34_2_2,3,3,H01_route03_stop03,0,0,67f1b6329cc76b04bdd984459d0d1603c1a100bbb1625ac3ed6e35d82849d222
M2_CONFIRM_H01_04,H01,quadtree_8_34_2_2,3,4,H01_route03_stop04,0,0,67f1b6329cc76b04bdd984459d0d1603c1a100bbb1625ac3ed6e35d82849d222
M2_CONFIRM_H01_04,H01,quadtree_8_34_2_2,3,5,H01_route03_stop05,1,0,67f1b6329cc76b04bdd984459d0d1603c1a100bbb1625ac3ed6e35d82849d222
M2_CONFIRM_H01_04,H01,quadtree_8_34_2_2,3,6,H01_route03_stop06,3,1,67f1b6329cc76b04bdd984459d0d1603c1a100bbb1625ac3ed6e35d82849d222
M2_CONFIRM_H01_04,H01,quadtree_8_34_2_2,3,7,H01_route03_stop07,6,1,67f1b6329cc76b04bdd984459d0d1603c1a100bbb1625ac3ed6e35d82849d222
M2_CONFIRM_H01_04,H01,quadtree_8_34_2_2,3,8,H01_route03_stop08,4,1,67f1b6329cc76b04bdd984459d0d1603c1a100bbb1625ac3ed6e35d82849d222
M2_CONFIRM_H01_04,H01,quadtree_8_34_2_2,3,9,H01_route03_stop09,2,1,67f1b6329cc76b04bdd984459d0d1603c1a100bbb1625ac3ed6e35d82849d222
M2_CONFIRM_H01_04,H01,quadtree_8_34_2_2,3,10,H01_route03_stop10,7,1,67f1b6329cc76b04bdd984459d0d1603c1a100bbb1625ac3ed6e35d82849d222
M2_CONFIRM_H01_04,H01,quadtree_8_34_2_2,3,11,H01_route03_stop11,1,0,67f1b6329cc76b04bdd984459d0d1603c1a100bbb1625ac3ed6e35d82849d222
M2_CONFIRM_H01_04,H01,quadtree_8_34_2_2,3,12,H01_route03_stop12,4,1,67f1b6329cc76b04bdd984459d0d1603c1a100bbb1625ac3ed6e35d82849d222
