candidate_id,cell_index,grid_i,grid_j,x,y,measured_probability,measured_confidence,simulated_hit_probability,absolute_residual
quadtree_24_30_3_5,28,1,1,-4.9427304267883301,-7.000880241394043,1,1,0,1
quadtree_24_30_3_5,29,2,1,-4.6427302360534668,-7.000880241394043,0.99999999999402112,0.99999996862044538,0,0.99999999999402112
quadtree_24_30_3_5,30,3,1,-4.3427300453186035,-7.000880241394043,0.16546637305934297,0.041921624445660499,0,0.16546637305934297
quadtree_24_30_3_5,31,4,1,-4.0427303314208984,-7.000880241394043,0.10005012251938028,2.3331362926093391e-06,0,0.10005012251938028
quadtree_24_30_3_5,32,5,1,-3.7427301406860352,-7.000880241394043,0.099999685828489393,2.0471164985380597e-08,0,0.099999685828489393
quadtree_24_30_3_5,33,6,1,-3.442730188369751,-7.000880241394043,0.099999685828489393,1.3631940021241462e-10,0,0.099999685828489393
quadtree_24_30_3_5,34,7,1,-3.1427302360534668,-7.000880241394043,0.099999685828489393,2.0469548278612137e-08,0,0.099999685828489393
quadtree_24_30_3_5,35,8,1,-2.8427300453186035,-7.000880241394043,0.099999685828489393,3.888564268361705e-07,0,0.099999685828489393
quadtree_24_30_3_5,36,9,1,-2.5427300930023193,-7.000880241394043,0.099999685828489393,2.0469542394430107e-08,0,0.099999685828489393
quadtree_24_30_3_5,37,10,1,-2.2427301406860352,-7.000880241394043,0.099999685828489393,6.815970010620731e-11,0,0.099999685828489393
quadtree_24_30_3_5,38,11,1,-1.942730188369751,-7.000880241394043,0.099999685828489393,5.8841820305133297e-15,0,0.099999685828489393
quadtree_24_30_3_5,55,1,2,-4.9427304267883301,-6.7008800506591797,0.92452446000669719,0.99999996862044538,0,0.92452446000669719
quadtree_24_30_3_5,56,2,2,-4.6427302360534668,-6.7008800506591797,0.11661525214771418,0.90349936322043489,0,0.11661525214771418
quadtree_24_30_3_5,57,3,2,-4.3427300453186035,-6.7008800506591797,0.10014279174527718,0.00693085738650423,0,0.10014279174527718
quadtree_24_30_3_5,58,4,2,-4.0427303314208984,-6.7008800506591797,0.10007285861348159,0.0085286596610799625,0,0.10007285861348159
quadtree_24_30_3_5,59,5,2,-3.7427301406860352,-6.7008800506591797,0.10000455681190579,0.0011584930526188364,0,0.10000455681190579
quadtree_24_30_3_5,60,6,2,-3.442730188369751,-6.7008800506591797,0.099999728743722094,5.7465516568599995e-06,0,0.099999728743722094
quadtree_24_30_3_5,61,7,2,-3.1427302360534668,-6.7008800506591797,0.099999685828489393,0.0011584930525857517,0,0.099999685828489393
quadtree_24_30_3_5,62,8,2,-2.8427300453186035,-6.7008800506591797,0.099999685828489393,0.0085285581862508675,0,0.099999685828489393
quadtree_24_30_3_5,63,9,2,-2.5427300930023193,-6.7008800506591797,0.099999685828489393,0.0011584929845049885,0,0.099999685828489393
quadtree_24_30_3_5,64,10,2,-2.2427301406860352,-6.7008800506591797,0.099999685828489393,2.8732799562947164e-06,0,0.099999685828489393
quadtree_24_30_3_5,65,11,2,-1.942730188369751,-6.7008800506591797,0.099999685828489393,6.815970010620731e-11,0,0.099999685828489393
quadtree_24_30_3_5,82,1,3,-4.9427304267883301,-6.4008798599243164,0.10001459985743943,0.041921624445660499,0,0.10001459985743943
quadtree_24_30_3_5,83,2,3,-4.6427302360534668,-6.4008798599243164,0.10266551467100227,0.00693085738650423,0,0.10266551467100227
quadtree_24_30_3_5,84,3,3,-4.3427300453186035,-6.4008798599243164,0.26683717179425726,0.37353033533466973,0,0.26683717179425726
quadtree_24_30_3_5,85,4,3,-4.0427303314208984,-6.4008798599243164,0.5564388014226096,0.96842601816490337,0,0.5564388014226096
quadtree_24_30_3_5,86,5,3,-3.7427301406860352,-6.4008798599243164,0.13591976211899692,0.37352134796716796,0,0.13591976211899692
quadtree_24_30_3_5,87,6,3,-3.442730188369751,-6.4008798599243164,0.10031721210799471,0.0023156438630148601,0,0.10031721210799471
quadtree_24_30_3_5,88,7,3,-3.1427302360534668,-6.4008798599243164,0.099999707286103634,0.37352134796716796,0,0.099999707286103634
quadtree_24_30_3_5,89,8,3,-2.8427300453186035,-6.4008798599243164,0.099999685828489393,0.96842601815414309,0,0.099999685828489393
quadtree_24_30_3_5,90,9,3,-2.5427300930023193,-6.4008798599243164,0.099999685828489393,0.37352133514343644,0,0.099999685828489393
quadtree_24_30_3_5,91,10,3,-2.2427301406860352,-6.4008798599243164,0.099999685828489393,0.0011584929845049885,0,0.099999685828489393
quadtree_24_30_3_5,92,11,3,-1.942730188369751,-6.4008798599243164,0.099999685828489393,2.0469542394430107e-08,0,0.099999685828489393
quadtree_24_30_3_5,93,12,3,-1.6427299976348877,-6.4008798599243164,0.099999685828489393,6.6613381477509392e-15,0,0.099999685828489393
quadtree_24_30_3_5,109,1,4,-4.9427304267883301,-6.1008801460266113,0.10001086579992235,2.3331362926093391e-06,0,0.10001086579992235
quadtree_24_30_3_5,110,2,4,-4.6427302360534668,-6.1008801460266113,0.1125581665928832,0.0085286596610799625,0,0.1125581665928832
quadtree_24_30_3_5,111,3,4,-4.3427300453186035,-6.1008801460266113,0.99288922346915787,0.96842601816490315,0,0.99288922346915787
quadtree_24_30_3_5,112,4,4,-4.0427303314208984,-6.1008801460266113,0.99999999184219224,0.9999999999918443,0,0.99999999184219224
quadtree_24_30_3_5,113,5,4,-3.7427301406860352,-6.1008801460266113,0.99288922346915787,0.96842603043188857,0,0.99288922346915787
quadtree_24_30_3_5,114,6,4,-3.442730188369751,-6.1008801460266113,0.1125581665928832,0.01698438006776537,0,0.1125581665928832
quadtree_24_30_3_5,115,7,4,-3.1427302360534668,-6.1008801460266113,0.10001086579992235,0.96842603043188857,0,0.10001086579992235
quadtree_24_30_3_5,116,8,4,-2.8427300453186035,-6.1008801460266113,0.099999685828489393,0.9999999999918443,0,0.099999685828489393
quadtree_24_30_3_5,117,9,4,-2.5427300930023193,-6.1008801460266113,0.099999685828489393,0.96842601815414286,0,0.099999685828489393
