depth,reliable,gates,n_fold_subpanels,n_target_panel_rows,mean_delta_nll,median_delta_nll,trimmed_20_mean_delta_nll,bootstrap_95_ci,relative_mean_nll_improvement,positive_source_count,positive_target_fraction,minimum_fold_subpanel_mean_delta_nll,g5_drop_count,g5_retained_mean_delta_nll,full_mean_nll,full_truth_nll_p95,full_truth_nll_p99,shuffled_target_median_mean_nll,full_mean_truth_rank,full_top3_fraction
3,False,"{""R1"": true, ""R2"": true, ""R3"": true, ""R4"": true, ""R5"": false, ""R6"": true}",12,864,5.013458976442883,8.881784197001252e-16,0.12445095346397701,"[0.6059317114943259, 11.800532181070196]",0.16325204839562202,15,0.5011574074074074,0.12763605378934426,44,-0.13604700975067086,25.69647101042844,92.27092271237777,489.02131216478017,30.70992998687132,2.0034722222222223,0.8865740740740741
4,True,"{""R1"": true, ""R2"": true, ""R3"": true, ""R4"": true, ""R5"": true, ""R6"": true}",12,864,3.9051270792557755,4.078823945263821e-09,0.07175192281295367,"[1.3409035255580952, 8.609602828898677]",0.3099761191068369,18,0.5706018518518519,1.0088526103222897,44,0.5296985879634156,8.69302754797158,28.330619248616223,176.4806839278995,12.598154627227355,1.6655092592592593,0.9259259259259259
6,True,"{""R1"": true, ""R2"": true, ""R3"": true, ""R4"": true, ""R5"": true, ""R6"": true}",12,864,2.6748819734430174,1.505945268487352e-08,0.06160192658673942,"[1.0060681835744034, 5.155782257362371]",0.409382153910521,16,0.5543981481481481,0.7174144932268276,44,0.37496733408731536,3.8590666803804905,12.360460190175552,67.41733256243398,6.533948653823507,1.431712962962963,0.9537037037037037
8,True,"{""R1"": true, ""R2"": true, ""R3"": true, ""R4"": true, ""R5"": true, ""R6"": true}",12,864,1.8968272341039818,2.227725455217211e-07,0.050709494913333555,"[0.6955122663243216, 3.534841611143441]",0.4005467785331029,15,0.5879629629629629,0.5608737318974355,44,0.2931755552586396,2.838767547236196,9.215949098653887,44.52903229217627,4.735594781340178,1.3622685185185186,0.9699074074074074
10,True,"{""R1"": true, ""R2"": true, ""R3"": true, ""R4"": true, ""R5"": true, ""R6"": true}",12,864,1.5847117648698303,3.944254465260144e-06,0.06387700116044988,"[0.681612512950707, 2.8656275376728346]",0.4235143257713029,17,0.6099537037037037,0.7661574832977137,44,0.37628358087715186,2.1571020733840673,6.093302319240859,33.05634013744096,3.741813838253898,1.2928240740740742,0.9733796296296297
12,True,"{""R1"": true, ""R2"": true, ""R3"": true, ""R4"": true, ""R5"": true, ""R6"": true}",4,288,1.5632600411311213,5.317425521456087e-06,0.06482726782440738,"[0.6122073705691914, 2.99747967547328]",0.5177746887143576,17,0.6180555555555556,0.8719216042815646,15,0.39803396810625424,1.4559297246195366,5.931212853807279,26.132386119611287,3.019189765750658,1.2569444444444444,0.9826388888888888
