depth,fold,subpanel,source_index,source_id,realization_index,realization_id,full_truth_nll,shuffled_median_truth_nll,delta_nll,full_truth_rank,shuffled_median_truth_rank,full_top3,shuffled_median_top3
3,0,0,0,pmfs_23_24,0,rep_01_seed_2026093001,-0.0,0.0,0.0,1,1.0,1,1
3,0,0,0,pmfs_23_24,4,rep_05_seed_2026093005,-0.0,0.0,0.0,1,1.0,1,1
3,0,0,0,pmfs_23_24,8,rep_09_seed_2026093009,75.97331161582179,92.98425749042451,17.010945874602726,9,9.0,0,0
3,0,0,0,pmfs_23_24,12,rep_13_seed_2026093013,153.83559465658777,179.48739308922967,25.651798432641897,14,12.0,0,0
3,0,0,1,pmfs_19_34,0,rep_01_seed_2026093017,9.917898350852994e-05,0.00021902516930638605,0.00011984618579785611,1,1.0,1,1
3,0,0,1,pmfs_19_34,4,rep_05_seed_2026093021,11.023326496440708,18.413031242889748,7.3897047464490395,3,3.0,1,1
3,0,0,1,pmfs_19_34,8,rep_09_seed_2026093025,0.0005441805560093549,0.003241889228281808,0.002697708672272453,1,1.0,1,1
3,0,0,1,pmfs_19_34,12,rep_13_seed_2026093029,50.55310733399825,71.84557576260556,21.292468428607314,5,5.0,0,0
3,0,0,2,pmfs_11_6,0,rep_01_seed_2026093033,8.57836167972783,7.947451425463656,-0.6309102542641742,2,2.0,1,1
3,0,0,2,pmfs_11_6,4,rep_05_seed_2026093037,4.184806723372958e-08,1.3335621675825138e-06,1.2917141003487842e-06,1,1.0,1,1
3,0,0,2,pmfs_11_6,8,rep_09_seed_2026093041,0.0027745556845113484,0.00011550065313814528,-0.002659055031373203,1,1.0,1,1
3,0,0,2,pmfs_11_6,12,rep_13_seed_2026093045,0.0003927881536185396,0.000725849945510948,0.00033306179189240837,1,1.0,1,1
3,0,0,3,pmfs_12_27,0,rep_01_seed_2026093049,273.4804422902341,164.86617271945377,-108.61426957078035,11,7.0,0,0
3,0,0,3,pmfs_12_27,4,rep_05_seed_2026093053,9.657976622267253,2.005948261917809,-7.652028360349444,2,2.0,1,1
3,0,0,3,pmfs_12_27,8,rep_09_seed_2026093057,103.81809118005503,78.60299106783599,-25.215100112219048,9,8.0,0,0
3,0,0,3,pmfs_12_27,12,rep_13_seed_2026093061,6.457796963843521e-09,7.423414105645065e-10,-5.715455553279014e-09,1,1.0,1,1
3,0,0,4,pmfs_14_1,0,rep_01_seed_2026093065,-0.0,0.0,0.0,1,1.0,1,1
3,0,0,4,pmfs_14_1,4,rep_05_seed_2026093069,2.8807498608784954e-09,0.1601128903779383,0.16011288749718844,1,1.0,1,1
3,0,0,4,pmfs_14_1,8,rep_09_seed_2026093073,0.00010155199814576577,7.989413537175636,7.9893119851774905,1,2.0,1,1
3,0,0,4,pmfs_14_1,12,rep_13_seed_2026093077,1.7721625887645587e-05,5.712037188224729,5.712019466598841,1,2.0,1,1
3,0,0,5,pmfs_25_32,0,rep_01_seed_2026093081,0.255840462064997,1.0927079032847073,0.8368674412197104,1,2.0,1,1
3,0,0,5,pmfs_25_32,4,rep_05_seed_2026093085,0.3865804411060374,2.396323020498487,2.0097425793924497,1,2.0,1,1
3,0,0,5,pmfs_25_32,8,rep_09_seed_2026093089,0.4434596107276709,1.7922665626752972,1.3488069519476262,1,2.0,1,1
3,0,0,5,pmfs_25_32,12,rep_13_seed_2026093093,0.345544176501555,4.100337205512918,3.7547930290113634,1,2.0,1,1
3,0,0,6,pmfs_20_26,0,rep_01_seed_2026093097,2.126938625224284e-10,6.070166591598536e-11,-1.5199219660644303e-10,1,1.0,1,1
3,0,0,6,pmfs_20_26,4,rep_05_seed_2026093101,1.5338486036853283e-10,0.00012528867103167585,0.00012528851764681548,1,1.0,1,1
3,0,0,6,pmfs_20_26,8,rep_09_seed_2026093105,2.767318818541753e-06,1.3387108310780604e-08,-2.7539317102309724e-06,1,1.0,1,1
3,0,0,6,pmfs_20_26,12,rep_13_seed_2026093109,9.322645225835227,0.0003207902945927543,-9.322324435540635,3,1.0,1,1
3,0,0,7,pmfs_5_27,0,rep_01_seed_2026093113,4.83896323205078,10.36343307230004,5.52446984024926,2,2.0,1,1
3,0,0,7,pmfs_5_27,4,rep_05_seed_2026093117,0.0009640262532979449,0.00017268451072993685,-0.000791341742568008,1,1.0,1,1
3,0,0,7,pmfs_5_27,8,rep_09_seed_2026093121,6.17935747015963e-09,3.968304795876065e-09,-2.2110526742835646e-09,1,1.0,1,1
3,0,0,7,pmfs_5_27,12,rep_13_seed_2026093125,11.305491101814525,17.720458808262656,6.414967706448131,4,3.0,0,1
3,0,0,8,pmfs_6_24,0,rep_01_seed_2026093129,-0.0,0.0,0.0,1,1.0,1,1
3,0,0,8,pmfs_6_24,4,rep_05_seed_2026093133,-0.0,0.0,0.0,1,1.0,1,1
3,0,0,8,pmfs_6_24,8,rep_09_seed_2026093137,-0.0,0.0,0.0,1,1.0,1,1
3,0,0,8,pmfs_6_24,12,rep_13_seed_2026093141,1.8429240355999355e-09,6.927791673660977e-14,-1.8428547576831988e-09,1,1.0,1,1
3,0,0,9,pmfs_11_1,0,rep_01_seed_2026093145,38.414769579885615,44.71779287912741,6.303023299241794,6,7.0,0,0
3,0,0,9,pmfs_11_1,4,rep_05_seed_2026093149,225.35705345502495,246.41108922149573,21.054035766470776,10,8.0,0,0
