depth,source_index,source_id,mean_delta_nll,positive,full_mean_nll,shuffled_target_median_mean_nll
3,0,pmfs_23_24,4.746589113048175,1,14.335090261129265,19.08167937417744
3,1,pmfs_19_34,-0.709169100241461,0,75.77685627407543,75.06768717383396
3,2,pmfs_11_6,0.023494245162617073,1,0.3731704484788943,0.3966646936415114
3,3,pmfs_12_27,-1.6651569904577368,0,29.688736582560853,28.02357959210312
3,4,pmfs_14_1,2.8447897213859625,1,2.9440780109042533,5.788867732290217
3,5,pmfs_25_32,7.9414534604307,1,11.311211075695937,19.25266453612664
3,6,pmfs_20_26,3.404540449607459,1,24.577952547626552,27.982492997234015
3,7,pmfs_5_27,1.5603879199026818,1,2.6788308218417143,4.239218741744396
3,8,pmfs_6_24,0.9214826973011331,1,7.442068981275476,8.363551678576608
3,9,pmfs_11_1,38.64930101107406,1,98.96540096704716,137.61470197812122
3,10,pmfs_4_4,8.416758559668306,1,26.76942609055011,35.18618465021841
3,11,pmfs_26_35,0.5870587854203472,1,1.717939366616709,2.3049981520370566
3,12,pmfs_14_33,-11.1129553411019,0,80.35290537215,69.2399500310481
3,13,pmfs_23_11,2.8351397194686925,1,1.6216778585128981,4.456817577981591
3,14,pmfs_23_16,6.075906264305041,1,0.23116837718107527,6.307074641486115
3,15,pmfs_9_30,0.015665838949170324,1,16.39775375957196,16.413419598521134
3,16,pmfs_25_15,5.888950190663749,1,3.8399379996407226,9.72888819030447
3,17,pmfs_21_35,19.81802503138488,1,63.512273392852876,83.33029842423775
4,0,pmfs_23_24,7.979449120564585,1,9.671313105807114,17.6507622263717
4,1,pmfs_19_34,9.153750955144487,1,23.236617108032245,32.39036806317673
4,2,pmfs_11_6,0.02778936086622154,1,0.3684198990730496,0.3962092599392712
4,3,pmfs_12_27,0.6739102122976325,1,18.434762720488482,19.108672932786117
4,4,pmfs_14_1,0.3563571181798497,1,2.3436225878102643,2.699979705990114
4,5,pmfs_25_32,0.7992044641817095,1,5.262913208569017,6.062117672750726
4,6,pmfs_20_26,0.7542852175556544,1,8.094388159250022,8.848673376805676
4,7,pmfs_5_27,2.171760004176255,1,2.7166734397428165,4.888433443919071
4,8,pmfs_6_24,0.669523543176879,1,7.219814474867964,7.889338018044843
4,9,pmfs_11_1,27.915447472359897,1,55.51658157958014,83.43202905194005
4,10,pmfs_4_4,5.430915020217827,1,15.698005870793954,21.12892089101178
4,11,pmfs_26_35,1.5048270015657508,1,1.9912825175686626,3.496109519134414
4,12,pmfs_14_33,2.342296641707377,1,0.6585245227278139,3.000821164435191
4,13,pmfs_23_11,1.1340202154680767,1,0.07614063459737595,1.2101608500654528
4,14,pmfs_23_16,1.6850538104777986,1,0.5582237069271092,2.2432775174049078
4,15,pmfs_9_30,1.1976190175333363,1,0.016376277769579877,1.213995295302916
4,16,pmfs_25_15,3.7341748905173446,1,3.106673347335493,6.840848237852838
4,17,pmfs_21_35,2.7619033606132777,1,1.5041627025473303,4.266066063160608
6,0,pmfs_23_24,9.252452409194722,1,3.9446139887070912,13.197066397901812
6,1,pmfs_19_34,7.47858543121851,1,14.693133930959101,22.171719362177612
6,2,pmfs_11_6,-0.03780458608860081,0,0.03808809079879019,0.0002835047101893834
6,3,pmfs_12_27,3.5264974516606475,1,8.138588467115074,11.665085918775723
6,4,pmfs_14_1,-0.0019973385521730356,0,0.9900674213778059,0.9880700828256329
6,5,pmfs_25_32,1.6495393244956216,1,2.221040707708701,3.870580032204323
6,6,pmfs_20_26,0.1894324350853288,1,1.5995634136284638,1.7889958487137931
6,7,pmfs_5_27,1.7283906141904912,1,2.1930795929103404,3.9214702071008314
6,8,pmfs_6_24,0.9616519802150797,1,5.603980274736602,6.56563225495168
6,9,pmfs_11_1,12.481388767797464,1,6.6574809904827426,19.138869758280208
6,10,pmfs_4_4,2.2122526020684496,1,18.667186551895384,20.879439153963833
6,11,pmfs_26_35,1.7302900633100862,1,1.8479431008617944,3.5782331641718805
6,12,pmfs_14_33,0.28245834458024005,1,1.0782120530897155,1.3606703976699555
6,13,pmfs_23_11,1.3130445003382902,1,0.09884550763576914,1.411890007974059
6,14,pmfs_23_16,0.9945664380415161,1,0.046193736724675305,1.0407601747661914
6,15,pmfs_9_30,0.8687960864676915,1,0.36645008874897494,1.2352461752166664
6,16,pmfs_25_15,1.19330750275245,1,0.28718764765617405,1.480495150408624
6,17,pmfs_21_35,2.3250234951984887,1,0.991544681811621,3.31656817701011
8,0,pmfs_23_24,6.506710422342174,1,2.9144104565953994,9.421120878937574
8,1,pmfs_19_34,4.756740275940625,1,9.46271003138024,14.219450307320868
8,2,pmfs_11_6,-0.00031590932816185263,0,0.00033046442008185145,1.455509191999882e-05
8,3,pmfs_12_27,2.7733068517882877,1,5.758477240652233,8.53178409244052
8,4,pmfs_14_1,-0.4565835185736981,0,0.851369003394106,0.394785484820408
8,5,pmfs_25_32,1.184380172957945,1,1.6490506659488353,2.8334308389067804
8,6,pmfs_20_26,0.5587496163356402,1,1.8580375034578582,2.4167871197934985
8,7,pmfs_5_27,1.4993861568760505,1,2.136853597747301,3.6362397546233516
8,8,pmfs_6_24,0.8963258735611342,1,5.723080489754235,6.619406363315368
8,9,pmfs_11_1,8.518300528785929,1,4.595565678838966,13.113866207624895
8,10,pmfs_4_4,2.789943086779345,1,12.17768650947712,14.967629596256465
8,11,pmfs_26_35,1.3883353926754642,1,2.036984889567743,3.425320282243207
8,12,pmfs_14_33,0.37263595594735305,1,0.5777635209900754,0.9503994769374285
8,13,pmfs_23_11,0.5471424651870801,1,0.04667734449087421,0.5938198096779543
8,14,pmfs_23_16,0.5231388138208819,1,0.14544675799905937,0.6685855718199413
8,15,pmfs_9_30,-0.2310683638181341,0,0.33587996574235096,0.10481160192421686
8,16,pmfs_25_15,1.4492591727685333,1,0.08885071884195271,1.5381098916104863
8,17,pmfs_21_35,1.0665032198252244,1,0.738641010953108,1.8051442307783319
10,0,pmfs_23_24,5.045378644444622,1,2.4822405526246967,7.527619197069318
10,1,pmfs_19_34,2.783850732572779,1,2.787938372360721,5.571789104933501
10,2,pmfs_11_6,-6.222681356742495e-05,0,6.395202646107083e-05,1.725212893645874e-06
10,3,pmfs_12_27,1.8101759542942417,1,2.866577014935848,4.67675296923009
10,4,pmfs_14_1,0.05218203004341706,1,0.2727080765961059,0.32489010663952295
10,5,pmfs_25_32,1.3687749128694522,1,1.3470247299679337,2.7157996428373856
10,6,pmfs_20_26,0.4914092107736236,1,1.6793208896116305,2.1707301003852537
10,7,pmfs_5_27,1.6442067087356798,1,1.8942904877880171,3.5384971965236964
10,8,pmfs_6_24,1.0593630366521118,1,5.5997673539916155,6.659130390643727
10,9,pmfs_11_1,7.167792991305649,1,3.489231102237111,10.65702409354276
10,10,pmfs_4_4,2.5759301901762073,1,13.347840433535245,15.923770623711448
10,11,pmfs_26_35,1.4964593231386345,1,1.9860359051156538,3.482495228254289
10,12,pmfs_14_33,0.12076190075563618,1,0.5542220412010767,0.6749839419567127
10,13,pmfs_23_11,0.43014657822853636,1,0.005849301649278081,0.4359958798778143
10,14,pmfs_23_16,0.6885289245027137,1,0.011704767114401382,0.7002336916171154
10,15,pmfs_9_30,0.3183887255401832,1,0.0036549072466075896,0.3220436327867908
10,16,pmfs_25_15,0.7741726406646455,1,0.000907674824778577,0.7750803154894242
10,17,pmfs_21_35,0.697351489772378,1,0.49845975808603216,1.1958112478584102
12,0,pmfs_23_24,4.706586748835701,1,0.9654449223087811,5.672031671144483
12,1,pmfs_19_34,1.914437117082534,1,0.39503727157810364,2.309474388660638
12,2,pmfs_11_6,-1.445860228954654e-05,0,1.5422616115423615e-05,9.640138258770747e-07
12,3,pmfs_12_27,1.8862732067783452,1,2.0767136178968255,3.9629868246751707
12,4,pmfs_14_1,0.0285539059625608,1,0.29974018224938953,0.32829408821195033
12,5,pmfs_25_32,1.2359165038880189,1,1.2655523928310732,2.501468896719092
12,6,pmfs_20_26,0.7125035248616659,1,1.6329517392134123,2.3454552640750785
12,7,pmfs_5_27,1.576074205189332,1,1.8320662226547375,3.40814042784407
12,8,pmfs_6_24,1.474190075541471,1,5.045399675515639,6.51958975105711
12,9,pmfs_11_1,5.053794902746196,1,2.866461339739772,7.9202562424859675
12,10,pmfs_4_4,6.360612192748499,1,6.408308590978194,12.768920783726692
12,11,pmfs_26_35,1.1716043479533391,1,2.010938609714495,3.1825429576678337
12,12,pmfs_14_33,0.17429774920410362,1,0.7413190201341874,0.9156167693382911
12,13,pmfs_23_11,0.059336223332516175,1,0.0022658112389179197,0.061602034571434094
12,14,pmfs_23_16,0.2895510948905069,1,0.01904996367769282,0.3086010585681997
12,15,pmfs_9_30,0.07935896930636266,1,0.0025436544337870126,0.08190262374014967
12,16,pmfs_25_15,1.157626143320301,1,0.015380636876101555,1.1730067801964024
12,17,pmfs_21_35,0.2579782873210207,1,0.6275459694944326,0.8855242568154533
