environment_index,house,wind,source_index,true_source_id,target_index,model,candidate_index,candidate_source_id,log_likelihood,log_posterior,posterior
0,House01,"1,3-2,4_fast",0,pmfs_13_18,0,M0,0,pmfs_13_18,-71.77140645511236,-4.405364961712621e-13,0.9999999999995595
0,House01,"1,3-2,4_fast",0,pmfs_13_18,0,M0,1,pmfs_13_19,-100.22854775215825,-28.457141297046334,4.377443647484924e-13
0,House01,"1,3-2,4_fast",0,pmfs_13_18,0,M0,2,pmfs_27_36,-327.2128264966808,-255.4414200415689,1.1566469751389186e-111
0,House01,"1,3-2,4_fast",0,pmfs_13_18,0,M0,3,pmfs_26_36,-308.47886173665484,-236.70745528154293,1.5821889455847495e-103
0,House01,"1,3-2,4_fast",0,pmfs_13_18,0,M0,4,pmfs_27_1,-332.0281008451859,-260.256694390074,9.374621626923702e-114
0,House01,"1,3-2,4_fast",0,pmfs_13_18,0,M0,5,pmfs_27_2,-330.14933757455844,-258.37793111944654,6.136069489462389e-113
0,House01,"1,3-2,4_fast",0,pmfs_13_18,1,M0,0,pmfs_13_18,-40.234315883262646,-0.004411324954297413,0.995598390648152
0,House01,"1,3-2,4_fast",0,pmfs_13_18,1,M0,1,pmfs_13_19,-45.655689601457,-5.42578504314865,0.004401609351848748
0,House01,"1,3-2,4_fast",0,pmfs_13_18,1,M0,2,pmfs_27_36,-359.4380018764043,-319.20809731809595,2.342527812541015e-139
0,House01,"1,3-2,4_fast",0,pmfs_13_18,1,M0,3,pmfs_26_36,-330.2301197213495,-290.00021516304116,1.1337225995905815e-126
0,House01,"1,3-2,4_fast",0,pmfs_13_18,1,M0,4,pmfs_27_1,-362.43306779428906,-322.2031632359807,1.1720446447104882e-140
0,House01,"1,3-2,4_fast",0,pmfs_13_18,1,M0,5,pmfs_27_2,-360.5543045236616,-320.3243999653532,7.671506830783737e-140
0,House01,"1,3-2,4_fast",0,pmfs_13_18,2,M0,0,pmfs_13_18,-33.440929101962745,-2.4541421339563385e-08,0.999999975458579
0,House01,"1,3-2,4_fast",0,pmfs_13_18,2,M0,1,pmfs_13_19,-50.96383248867353,-17.52290341125221,2.4541423027794407e-08
0,House01,"1,3-2,4_fast",0,pmfs_13_18,2,M0,2,pmfs_27_36,-360.03979927837605,-326.5988702009547,1.4451498291753386e-142
0,House01,"1,3-2,4_fast",0,pmfs_13_18,2,M0,3,pmfs_26_36,-329.0481258237424,-295.60719674632105,4.1631843487903976e-129
0,House01,"1,3-2,4_fast",0,pmfs_13_18,2,M0,4,pmfs_27_1,-375.3085710937618,-341.8676420163405,3.378854814382926e-149
0,House01,"1,3-2,4_fast",0,pmfs_13_18,2,M0,5,pmfs_27_2,-373.42980782313435,-339.988878745713,2.2115973061050048e-148
0,House01,"1,3-2,4_fast",0,pmfs_13_18,3,M0,0,pmfs_13_18,-35.451820051286575,-7.815970093361102e-13,0.9999999999992184
0,House01,"1,3-2,4_fast",0,pmfs_13_18,3,M0,1,pmfs_13_19,-63.333444018231404,-27.88162396694561,7.783314237183376e-13
0,House01,"1,3-2,4_fast",0,pmfs_13_18,3,M0,2,pmfs_27_36,-321.5967544474537,-286.1449343961679,5.355918590805222e-125
0,House01,"1,3-2,4_fast",0,pmfs_13_18,3,M0,3,pmfs_26_36,-297.661870078111,-262.21005002682523,1.3292974565258782e-114
0,House01,"1,3-2,4_fast",0,pmfs_13_18,3,M0,4,pmfs_27_1,-354.5602316192633,-319.1084115679775,2.5880801815095074e-139
0,House01,"1,3-2,4_fast",0,pmfs_13_18,3,M0,5,pmfs_27_2,-352.6814683486358,-317.22964829735,1.694003285682905e-138
0,House01,"1,3-2,4_fast",1,pmfs_13_19,0,M0,0,pmfs_13_18,-34.76315705554583,-0.00250236175480012,0.9975007665424547
0,House01,"1,3-2,4_fast",1,pmfs_13_19,0,M0,1,pmfs_13_19,-40.75242590489708,-5.991771211106048,0.0024992334575463285
