source_id,pmfs_i,pmfs_j,x_m,y_m,primary_raw_nss,secondary_log1p_nss,raw_nss_seed_2026092401,raw_nss_seed_2026092402
pmfs_3_34,3,34,-4.3427299999999995,2.89912,0.0036306903419836777,0.0054791445107290181,0.012267933315402926,0.010653291111321704
pmfs_3_33,3,33,-4.3427299999999995,2.599120000000001,0.0062279322572403569,0.0060272703506886183,0.0083308066004040282,0.015266250267572464
pmfs_5_35,5,35,-3.74273,3.1991200000000006,0.041958121186869611,0.085222077291374057,0.058577155963312012,0.040166815921144614
pmfs_6_35,6,35,-3.44273,3.1991200000000006,0.063047152259041853,0.11907044417267842,0.068194466086329508,0.067389830424531241
pmfs_3_32,3,32,-4.3427299999999995,2.2991200000000003,0.065676751491849358,0.0454619104257823,0.045308925997853147,0.093097770876157976
pmfs_2_34,2,34,-4.64273,2.89912,0.10129030335276287,0.18369889396281755,0.098432394762733147,0.11717213331516106
pmfs_4_35,4,35,-4.04273,3.1991200000000006,0.10205831747242282,0.082316122551909704,0.1296257930373215,0.087888062366194619
pmfs_2_33,2,33,-4.64273,2.599120000000001,0.110557022441716,0.20663248306344231,0.10105115368875697,0.14805227512688374
pmfs_3_35,3,35,-4.3427299999999995,3.1991200000000006,0.12195011147620077,0.13874102626114762,0.15296772068630771,0.1113510359865265
pmfs_7_35,7,35,-3.14273,3.1991200000000006,0.21236265187003212,0.20601929441166925,0.21455554565925997,0.21995201607043383
pmfs_7_36,7,36,-3.14273,3.4991199999999996,0.23011236080737782,0.37579533149663585,0.31141501720319864,0.17214791203063565
pmfs_9_35,9,35,-2.54273,3.1991200000000006,0.24320445486386225,0.23589753068203004,0.18581919635824809,0.31548936846330727
pmfs_2_35,2,35,-4.64273,3.1991200000000006,0.25227442818073281,0.30601457457595532,0.1920978627912287,0.32926606678042525
pmfs_6_36,6,36,-3.44273,3.4991199999999996,0.25304874707767749,0.38434472370763256,0.33237329522940789,0.19558506061084052
pmfs_9_34,9,34,-2.54273,2.89912,0.30742395648642701,0.27748864922061978,0.2430941626084398,0.3836374519870871
pmfs_2_32,2,32,-4.64273,2.2991200000000003,0.32708638158468201,0.21327688696016237,0.40456639297890568,0.27604402978898285
pmfs_8_35,8,35,-2.84273,3.1991200000000006,0.33914364445746953,0.24538423929747111,0.31283679465366004,0.37710786472376689
pmfs_5_38,5,38,-3.74273,4.099120000000001,0.40171173435132745,0.46250967928159964,0.34239429495398715,0.47069093520318922
pmfs_4_38,4,38,-4.04273,4.099120000000001,0.40736078480152937,0.45867442949219106,0.3484149490495238,0.47641962762890189
pmfs_6_38,6,38,-3.44273,4.099120000000001,0.41791444933716898,0.57633316801171908,0.36063996238709062,0.48607893223653631
pmfs_4_37,4,37,-4.04273,3.7991200000000003,0.43061789349821794,0.63303140979399064,0.41161036769113041,0.46234749843147788
pmfs_3_38,3,38,-4.3427299999999995,4.099120000000001,0.43132706798598336,0.46748374567589945,0.36819152622599061,0.50517901790042774
pmfs_8_34,8,34,-2.84273,2.89912,0.43556346007412589,0.23547298236920716,0.39106874087035209,0.48712639735702623
pmfs_5_36,5,36,-3.74273,3.4991199999999996,0.43854044268348497,0.67895930691232775,0.50351151349887646,0.39454713775870348
pmfs_2_38,2,38,-4.64273,4.099120000000001,0.44121671576277438,0.47259646258665733,0.37373363404672022,0.52017303418579497
pmfs_9_33,9,33,-2.54273,2.599120000000001,0.44677893815312875,0.33328580357700333,0.38340219693937966,0.51970957568809562
pmfs_4_36,4,36,-4.04273,3.4991199999999996,0.44774939096386185,0.70940344004894451,0.46413830049305765,0.45472324167940242
pmfs_8_33,8,33,-2.84273,2.599120000000001,0.4489579144937097,0.32193176054154293,0.38343182657232561,0.52292551403471954
pmfs_4_32,4,32,-4.04273,2.2991200000000003,0.4524193053215656,0.22305633148775991,0.43886065661227819,0.47461558271633725
pmfs_7_37,7,37,-3.14273,3.7991200000000003,0.47523734773110043,0.60432437261336991,0.57527858795139974,0.39408745705374221
pmfs_1_37,1,37,-4.94273,3.7991200000000003,0.47765690046766807,0.49554978392981541,0.41083784665133477,0.55481204191472755
pmfs_5_37,5,37,-3.74273,3.7991200000000003,0.48373104000998601,0.71090693154491102,0.44885738019525501,0.5304785432472916
pmfs_3_30,3,30,-4.3427299999999995,1.6991200000000006,0.52558062932895244,0.49760995194464264,0.58066828322928887,0.50309685367866019
pmfs_7_31,7,31,-3.14273,1.9991199999999996,0.53905880779444826,0.46589707499625821,0.46123538851029422,0.62679304423006243
pmfs_8_36,8,36,-2.84273,3.4991199999999996,0.55401732438267737,0.84181744879881848,0.60450610383401027,0.53835555082506326
