source_id,pmfs_i,pmfs_j,x_m,y_m,primary_raw_nss,secondary_log1p_nss,raw_nss_seed_2026092401,raw_nss_seed_2026092402
pmfs_2_34,2,34,-4.64273,2.89912,0.021111909770828913,0.061978359601479634,0.023096330437464278,0.032373875902191485
pmfs_5_35,5,35,-3.74273,3.1991200000000006,0.022915941813761751,0.077809016472323592,0.042735628846890916,0.0181772610935057
pmfs_3_33,3,33,-4.3427299999999995,2.599120000000001,0.032859770958955016,0.05611761204025744,0.052429681327929474,0.024621358921843108
pmfs_2_33,2,33,-4.64273,2.599120000000001,0.033503629883705317,0.076337689016859694,0.021564567772625862,0.073910170813438175
pmfs_4_35,4,35,-4.04273,3.1991200000000006,0.041077684385597377,0.022385784036826083,0.071828707281364576,0.02395272380544811
pmfs_3_35,3,35,-4.3427299999999995,3.1991200000000006,0.041463307613761456,0.039194652745690908,0.077810608309572704,0.025883315609067484
pmfs_3_34,3,34,-4.3427299999999995,2.89912,0.042633645095318612,0.060809828660542277,0.075455992743331202,0.025738631579779188
pmfs_3_32,3,32,-4.3427299999999995,2.2991200000000003,0.06914013387517641,0.031932035575693754,0.06078810944421216,0.084665829872568682
pmfs_6_35,6,35,-3.44273,3.1991200000000006,0.12564793679371206,0.21453866895443463,0.12689293074242955,0.1340550361778774
pmfs_2_35,2,35,-4.64273,3.1991200000000006,0.1915316079091241,0.16522529130653157,0.13031429845233272,0.26985121377960319
pmfs_6_36,6,36,-3.44273,3.4991199999999996,0.19540769303967293,0.37964023300709876,0.27878254375974754,0.13426711580269829
pmfs_2_32,2,32,-4.64273,2.2991200000000003,0.21998307122761124,0.11554267976447723,0.3003995579497219,0.16645583353143936
pmfs_7_36,7,36,-3.14273,3.4991199999999996,0.22628428708726608,0.43667529449600551,0.30560650257423777,0.17069892599732597
pmfs_9_35,9,35,-2.54273,3.1991200000000006,0.23880096593272976,0.17259727495474494,0.18144325047906332,0.3113128418643899
pmfs_9_34,9,34,-2.54273,2.89912,0.30022226666326918,0.20840674455007771,0.23145367899904459,0.38107754494740903
pmfs_7_35,7,35,-3.14273,3.1991200000000006,0.33360451973798416,0.37176215161333531,0.33282488680162942,0.34433350428539472
pmfs_5_38,5,38,-3.74273,4.099120000000001,0.34759560753709956,0.3255374840516565,0.28211341893879377,0.42290459297465133
pmfs_5_36,5,36,-3.74273,3.4991199999999996,0.35227923462623589,0.63582546484167657,0.41525998588919949,0.31063457663349253
pmfs_4_38,4,38,-4.04273,4.099120000000001,0.35338169362779392,0.31997765469611394,0.28750678761693921,0.42954234995770452
pmfs_6_38,6,38,-3.44273,4.099120000000001,0.36083594270059149,0.46356927932980491,0.29714034999549643,0.43560754657379458
pmfs_4_37,4,37,-4.04273,3.7991200000000003,0.37141687342675411,0.53536585080622423,0.34705665957815485,0.40871647597110761
pmfs_4_36,4,36,-4.04273,3.4991199999999996,0.37520037358208513,0.64084879143020546,0.38751472662784148,0.38664784694962734
