candidate_id,permutation,Elog,Ebrier
quadtree_14_31_1_1,0,-3.040318938607766,-0.8296666624021417
quadtree_14_31_1_1,1,-3.0403189386077663,-0.8296666624021417
quadtree_14_31_1_1,2,-3.040318938607766,-0.8296666624021416
quadtree_14_31_1_1,3,-4.8703390986583885,-1.1197715999555478
quadtree_14_31_1_1,4,-4.8703390986583885,-1.1197715999555475
quadtree_14_31_1_1,5,-4.8703390986583885,-1.1197715999555475
quadtree_14_31_1_1,6,-4.8703390986583885,-1.1197715999555475
quadtree_14_31_1_1,7,-2.681947809429711,-0.7121554138135795
quadtree_14_31_1_1,8,-4.001109149943193,-1.0334747554731256
quadtree_14_31_1_1,9,-2.6819478094297113,-0.7121554138135796
quadtree_14_31_1_1,10,-2.6819478094297113,-0.7121554138135795
quadtree_14_31_1_1,11,-3.507830245214248,-0.9471779109907036
quadtree_14_31_1_1,12,-2.6819478094297113,-0.7121554138135796
quadtree_14_31_1_1,13,-3.0403189386077663,-0.8296666624021417
quadtree_14_31_1_1,14,-2.6819478094297113,-0.7121554138135796
quadtree_14_31_1_1,15,-3.040318938607766,-0.8296666624021417
quadtree_14_31_1_1,16,-3.0403189386077663,-0.8296666624021416
quadtree_14_31_1_1,17,-2.6819478094297113,-0.7121554138135796
quadtree_14_31_1_1,18,-3.040318938607766,-0.8296666624021416
quadtree_14_31_1_1,19,-3.0403189386077663,-0.8296666624021417
quadtree_14_31_1_1,20,-4.001109149943193,-1.0334747554731254
quadtree_14_31_1_1,21,-3.507830245214248,-0.9471779109907036
quadtree_14_31_1_1,22,-2.681947809429711,-0.7121554138135795
quadtree_14_31_1_1,23,-2.6819478094297113,-0.7121554138135795
quadtree_14_31_1_1,24,-4.001109149943193,-1.0334747554731256
quadtree_14_31_1_1,25,-3.507830245214248,-0.9471779109907036
quadtree_14_31_1_1,26,-3.040318938607766,-0.8296666624021416
quadtree_14_31_1_1,27,-4.001109149943193,-1.0334747554731256
quadtree_14_31_1_1,28,-4.8703390986583885,-1.1197715999555475
quadtree_14_31_1_1,29,-4.8703390986583885,-1.1197715999555478
quadtree_14_31_1_1,30,-4.8703390986583885,-1.1197715999555475
quadtree_14_31_1_1,31,-3.507830245214248,-0.9471779109907036
quadtree_14_31_1_1,32,-2.681947809429711,-0.7121554138135795
quadtree_14_31_1_1,33,-3.040318938607766,-0.8296666624021416
quadtree_14_31_1_1,34,-3.040318938607766,-0.8296666624021417
quadtree_14_31_1_1,35,-3.507830245214248,-0.9471779109907036
quadtree_14_31_1_1,36,-4.8703390986583885,-1.1197715999555475
quadtree_14_31_1_1,37,-4.8703390986583885,-1.1197715999555475
quadtree_14_31_1_1,38,-3.507830245214248,-0.9471779109907036
quadtree_14_31_1_1,39,-4.001109149943194,-1.0334747554731256
quadtree_14_31_1_1,40,-3.0403189386077663,-0.8296666624021417
quadtree_14_31_1_1,41,-3.507830245214248,-0.9471779109907036
quadtree_14_31_1_1,42,-3.0403189386077663,-0.8296666624021416
quadtree_14_31_1_1,43,-4.8703390986583885,-1.1197715999555475
quadtree_14_31_1_1,44,-4.8703390986583885,-1.1197715999555478
quadtree_14_31_1_1,45,-3.0403189386077663,-0.8296666624021417
quadtree_14_31_1_1,46,-3.507830245214248,-0.9471779109907036
quadtree_14_31_1_1,47,-4.001109149943193,-1.0334747554731256
quadtree_14_31_1_1,48,-3.507830245214248,-0.9471779109907036
quadtree_14_31_1_1,49,-3.507830245214248,-0.9471779109907036
quadtree_14_31_1_1,50,-3.040318938607766,-0.8296666624021417
quadtree_14_31_1_1,51,-4.8703390986583885,-1.1197715999555475
quadtree_14_31_1_1,52,-4.001109149943193,-1.0334747554731256
quadtree_14_31_1_1,53,-4.8703390986583885,-1.1197715999555475
quadtree_14_31_1_1,54,-2.681947809429711,-0.7121554138135795
quadtree_14_31_1_1,55,-4.8703390986583885,-1.1197715999555475
quadtree_14_31_1_1,56,-4.001109149943193,-1.0334747554731256
quadtree_14_31_1_1,57,-3.040318938607766,-0.8296666624021416
quadtree_14_31_1_1,58,-2.681947809429711,-0.7121554138135796
quadtree_14_31_1_1,59,-3.507830245214248,-0.9471779109907036
quadtree_14_31_1_1,60,-4.001109149943193,-1.0334747554731254
quadtree_14_31_1_1,61,-4.001109149943193,-1.0334747554731256
quadtree_14_31_1_1,62,-2.6819478094297113,-0.7121554138135795
quadtree_14_31_1_1,63,-3.507830245214248,-0.9471779109907036
quadtree_14_31_1_1,64,-3.507830245214248,-0.9471779109907036
quadtree_14_31_1_1,65,-4.870339098658389,-1.1197715999555473
quadtree_14_31_1_1,66,-2.681947809429711,-0.7121554138135796
quadtree_14_31_1_1,67,-4.001109149943193,-1.0334747554731254
quadtree_14_31_1_1,68,-2.6819478094297113,-0.7121554138135796
quadtree_14_31_1_1,69,-3.0403189386077663,-0.8296666624021417
quadtree_14_31_1_1,70,-4.001109149943193,-1.0334747554731256
quadtree_14_31_1_1,71,-2.6819478094297113,-0.7121554138135796
quadtree_14_31_1_1,72,-4.001109149943193,-1.0334747554731254
quadtree_14_31_1_1,73,-4.001109149943193,-1.0334747554731256
quadtree_14_31_1_1,74,-2.6819478094297113,-0.7121554138135796
quadtree_14_31_1_1,75,-2.681947809429711,-0.7121554138135796
quadtree_14_31_1_1,76,-4.001109149943193,-1.0334747554731254
quadtree_14_31_1_1,77,-4.001109149943193,-1.0334747554731256
quadtree_14_31_1_1,78,-3.0403189386077663,-0.8296666624021417
quadtree_14_31_1_1,79,-3.507830245214248,-0.9471779109907036
quadtree_14_31_1_1,80,-3.507830245214248,-0.9471779109907036
quadtree_14_31_1_1,81,-4.870339098658389,-1.1197715999555473
quadtree_14_31_1_1,82,-3.040318938607766,-0.8296666624021416
quadtree_14_31_1_1,83,-3.507830245214248,-0.9471779109907035
quadtree_14_31_1_1,84,-3.0403189386077663,-0.8296666624021416
quadtree_14_31_1_1,85,-4.8703390986583885,-1.1197715999555475
quadtree_14_31_1_1,86,-4.001109149943193,-1.0334747554731254
quadtree_14_31_1_1,87,-2.6819478094297113,-0.7121554138135796
quadtree_14_31_1_1,88,-3.040318938607766,-0.8296666624021417
quadtree_14_31_1_1,89,-4.001109149943193,-1.0334747554731254
quadtree_14_31_1_1,90,-4.001109149943193,-1.0334747554731254
quadtree_14_31_1_1,91,-3.040318938607766,-0.8296666624021417
quadtree_14_31_1_1,92,-2.681947809429711,-0.7121554138135795
quadtree_14_31_1_1,93,-4.8703390986583885,-1.1197715999555475
quadtree_14_31_1_1,94,-3.507830245214248,-0.9471779109907035
quadtree_14_31_1_1,95,-3.040318938607766,-0.8296666624021417
quadtree_14_31_1_1,96,-3.507830245214248,-0.9471779109907036
quadtree_14_31_1_1,97,-4.870339098658389,-1.1197715999555473
quadtree_14_31_1_1,98,-2.681947809429711,-0.7121554138135796
quadtree_14_31_1_1,99,-2.681947809429711,-0.7121554138135795
quadtree_14_31_1_1,100,-3.5078302452142474,-0.9471779109907035
quadtree_14_31_1_1,101,-2.681947809429711,-0.7121554138135796
quadtree_14_31_1_1,102,-2.681947809429711,-0.7121554138135795
quadtree_14_31_1_1,103,-2.6819478094297113,-0.7121554138135796
quadtree_14_31_1_1,104,-4.8703390986583885,-1.1197715999555475
quadtree_14_31_1_1,105,-2.681947809429711,-0.7121554138135795
quadtree_14_31_1_1,106,-3.507830245214248,-0.9471779109907036
