candidate_id,arm,Elog,Ebrier
quadtree_14_31_1_1,historical,-13.94158699145884,-1.0026291850322269
quadtree_14_31_1_1,P1,-13.846460781864126,-1.0001083832898305
quadtree_14_31_1_1,C1,-3.394250949997259,-0.8845817001978824
quadtree_14_31_1_1,P2,-3.507830245214248,-0.9471779109907036
quadtree_7_27_1_1,historical,-63.56861462810919,-13.311605443314244
quadtree_7_27_1_1,P1,-56.12329262542877,-13.080155601422142
quadtree_7_27_1_1,C1,-5.300426045891237,-1.417529927219763
quadtree_7_27_1_1,P2,-5.661370746125472,-1.520710775985625
quadtree_8_19_4_5,historical,-58.39782195128837,-11.394916485682788
quadtree_8_19_4_5,P1,-59.81233209237836,-11.425308380230796
quadtree_8_19_4_5,C1,-26.40933732392215,-10.033755922201138
quadtree_8_19_4_5,P2,-27.87792053716242,-10.073748671486447
quadtree_19_27_2_2,historical,-16.50863305758518,-1.8613822449994757
quadtree_19_27_2_2,P1,-16.469628969473593,-1.9977137155738371
quadtree_19_27_2_2,C1,-6.846354150999842,-2.0345332783165673
quadtree_19_27_2_2,P2,-7.124954985443129,-2.285168804787412
quadtree_24_25_1_1,historical,-14.579833438085531,-1.0976856625943752
quadtree_24_25_1_1,P1,-14.82114417630347,-1.1625560968412672
quadtree_24_25_1_1,C1,-3.928557914504105,-0.9787882698237473
quadtree_24_25_1_1,P2,-4.276093573322101,-1.0852947365936134
quadtree_26_27_2_2,historical,-14.066444927180736,-1.0112351558030852
quadtree_26_27_2_2,P1,-13.831899001423011,-1.0000267958032385
quadtree_26_27_2_2,C1,-3.862644091873757,-0.9492816304146141
quadtree_26_27_2_2,P2,-4.477330642549795,-0.988207373419337
quadtree_28_27_1_1,historical,-13.837318073814696,-1.0000677762508299
quadtree_28_27_1_1,P1,-13.836535241248793,-1.0000570179078219
quadtree_28_27_1_1,C1,-4.176036019189062,-0.9659927705134034
quadtree_28_27_1_1,P2,-4.545388499595745,-0.9786494493736481
quadtree_6_10_2_3,historical,-54.50619802806507,-5.997078607183147
quadtree_6_10_2_3,P1,-70.4271579794457,-5.9998790033119676
quadtree_6_10_2_3,C1,-6.339705387469907,-1.8962048052548677
quadtree_6_10_2_3,P2,-6.9125373197721425,-2.1098439767107644
quadtree_4_5_4_5,historical,-46.97743039227262,-5.9868384304691595
quadtree_4_5_4_5,P1,-47.19550251031009,-5.987399777796975
quadtree_4_5_4_5,C1,-15.583773360622203,-5.087256877450272
quadtree_4_5_4_5,P2,-15.765848879071568,-5.078216933337759
quadtree_15_10_1_2,historical,-13.815529557973774,-1.0
quadtree_15_10_1_2,P1,-13.815529557973774,-1.0
quadtree_15_10_1_2,C1,-4.674287301436482,-1.1836270165372
quadtree_15_10_1_2,P2,-4.792733409301078,-1.3169875128461874
quadtree_17_10_1_2,historical,-13.815529557973774,-1.0
quadtree_17_10_1_2,P1,-13.815529557973774,-1.0
quadtree_17_10_1_2,C1,-4.533706352974211,-1.1456328921773167
quadtree_17_10_1_2,P2,-4.67375387279222,-1.2791220545234654
quadtree_19_14_1_1,historical,-27.125519094171246,-5.325502991633215
quadtree_19_14_1_1,P1,-27.31816973755315,-5.350107786248378
quadtree_19_14_1_1,C1,-4.933358233755568,-1.2671954999101085
quadtree_19_14_1_1,P2,-5.081535022849527,-1.422916006337182
quadtree_26_5_2_3,historical,-13.864397131896787,-1.0004516485375725
quadtree_26_5_2_3,P1,-13.90563894157935,-1.001544663014218
quadtree_26_5_2_3,C1,-4.362373315112733,-0.9728044168526457
quadtree_26_5_2_3,P2,-4.547762190784107,-0.9782212555656183
quadtree_26_1_2_4,historical,-13.880241463896484,-1.000806128310138
quadtree_26_1_2_4,P1,-13.881970349769,-1.0008481517041647
quadtree_26_1_2_4,C1,-4.471348055718074,-0.9759294412129476
quadtree_26_1_2_4,P2,-4.509281813070589,-0.9771012870843508
quadtree_25_1_1_2,historical,-13.91007386542504,-1.0017032965537394
quadtree_25_1_1_2,P1,-13.829290365015437,-1.0000332276147983
quadtree_25_1_1_2,C1,-4.68822692182859,-0.980855674404647
quadtree_25_1_1_2,P2,-4.797985078150816,-0.9835597424715075
quadtree_24_3_2_5,historical,-13.88202421057324,-1.0008387916986798
quadtree_24_3_2_5,P1,-13.867611021470358,-1.0004946420814316
quadtree_24_3_2_5,C1,-3.9668987359912333,-0.9584394114600209
quadtree_24_3_2_5,P2,-3.868518828084988,-0.9549588317671349
quadtree_23_3_1_2,historical,-13.873957245146162,-1.0006223736590742
quadtree_23_3_1_2,P1,-13.906810640174811,-1.0015735495352818
quadtree_23_3_1_2,C1,-4.579576845031658,-0.9785217308670174
quadtree_23_3_1_2,P2,-4.707528037899821,-0.9819457804233422
quadtree_21_4_2_1,historical,-13.899338124987704,-1.0013093004166629
quadtree_21_4_2_1,P1,-13.909506703597316,-1.0016736040725152
quadtree_21_4_2_1,C1,-4.15985835741401,-0.9664224371251191
quadtree_21_4_2_1,P2,-4.416140426018639,-0.9758792624951131
quadtree_20_3_1_2,historical,-13.896291663700685,-1.0012008329761553
quadtree_20_3_1_2,P1,-13.920598916704284,-1.0020562900207513
quadtree_20_3_1_2,C1,-3.820111574627151,-0.9504138127311237
quadtree_20_3_1_2,P2,-3.9044394432139486,-0.9564437347991509
quadtree_16_2_1_2,historical,-13.815529557973774,-1.0
quadtree_16_2_1_2,P1,-13.815529557973774,-1.0
quadtree_16_2_1_2,C1,-3.369097422069717,-0.8709284065575696
quadtree_16_2_1_2,P2,-3.5141935990981,-0.9509259019909988
quadtree_17_3_1_2,historical,-13.815529557973774,-1.0
quadtree_17_3_1_2,P1,-13.815529557973774,-1.0
quadtree_17_3_1_2,C1,-3.5584652950011146,-0.9014374589229344
quadtree_17_3_1_2,P2,-3.690143542679217,-0.9864914873389126
quadtree_14_4_3_1,historical,-13.815529557973774,-1.0
quadtree_14_4_3_1,P1,-13.815529557973774,-1.0
quadtree_14_4_3_1,C1,-3.621527270825922,-0.9161653969419116
quadtree_14_4_3_1,P2,-3.7571787403017134,-0.9989870513143975
quadtree_15_5_3_5,historical,-13.815529557973774,-1.0
quadtree_15_5_3_5,P1,-13.815529557973774,-1.0
