carrier_index,carrier_id,x,y,free_cells
0,quadtree_0_0_2_2,-7.1000003814697266,-7.4300003051757812,1
1,quadtree_0_2_2_2,-7.1000003814697266,-6.9800000190734863,2
2,quadtree_0_4_2_2,-7.1000003814697266,-6.380000114440918,2
3,quadtree_0_6_2_2,-7.1000003814697266,-5.7800002098083496,2
4,quadtree_0_8_2_2,-7.1000003814697266,-5.179999828338623,2
5,quadtree_0_10_2_2,-7.1000003814697266,-4.5800001621246338,2
6,quadtree_0_12_2_2,-7.1000003814697266,-3.9800000190734863,2
7,quadtree_0_18_2_2,-7.1000003814697266,-2.179999828338623,2
8,quadtree_0_20_2_2,-7.1000003814697266,-1.5799999237060547,2
9,quadtree_0_22_2_2,-7.1000003814697266,-0.97999978065490723,2
10,quadtree_0_24_2_2,-7.1000003814697266,-0.37999987602233887,2
11,quadtree_0_26_2_2,-7.1000003814697266,0.22000002861022949,2
12,quadtree_0_28_2_2,-7.1000003814697266,0.67000007629394531,1
13,quadtree_2_0_2_2,-6.6500000953674316,-7.4300003051757812,2
14,quadtree_2_2_2_2,-6.6500000953674316,-6.9800000190734863,4
15,quadtree_2_4_2_2,-6.6500000953674316,-6.380000114440918,4
16,quadtree_2_6_2_2,-6.6500000953674316,-5.7800002098083496,4
17,quadtree_2_8_2_2,-6.6500000953674316,-5.179999828338623,4
18,quadtree_2_10_2_2,-6.6500000953674316,-4.5800001621246338,4
19,quadtree_2_12_2_2,-6.6500000953674316,-3.9800000190734863,4
20,quadtree_2_18_2_2,-6.6500000953674316,-2.179999828338623,4
21,quadtree_2_20_2_2,-6.6500000953674316,-1.5799999237060547,4
22,quadtree_2_22_2_2,-6.6500000953674316,-0.97999978065490723,4
23,quadtree_2_24_2_2,-6.6500000953674316,-0.37999987602233887,4
24,quadtree_2_26_2_2,-6.6500000953674316,0.22000002861022949,4
25,quadtree_2_28_2_2,-6.6500000953674316,0.67000007629394531,2
26,quadtree_2_30_2_2,-6.6500000953674316,1.5700006484985352,2
27,quadtree_2_32_2_2,-6.6500000953674316,2.0199999809265137,4
28,quadtree_2_34_2_2,-6.6500000953674316,2.6200003623962402,4
29,quadtree_2_36_2_2,-6.6500000953674316,3.0700006484985352,2
30,quadtree_4_0_2_2,-6.0500001907348633,-7.4300003051757812,2
31,quadtree_4_2_2_2,-6.0500001907348633,-6.9800000190734863,4
32,quadtree_4_4_2_2,-6.0500001907348633,-6.380000114440918,4
33,quadtree_4_6_2_2,-6.0500001907348633,-5.7800002098083496,4
34,quadtree_4_8_2_2,-6.0500001907348633,-5.179999828338623,4
35,quadtree_4_10_2_2,-6.0500001907348633,-4.5800001621246338,4
36,quadtree_4_12_2_2,-6.0500001907348633,-3.9800000190734863,4
37,quadtree_4_18_2_2,-6.1000002225240069,-2.129999796549479,3
38,quadtree_4_20_2_2,-6.0500001907348633,-1.5799999237060547,4
39,quadtree_4_22_2_2,-6.0500001907348633,-0.97999978065490723,4
40,quadtree_4_24_2_2,-6.0500001907348633,-0.37999987602233887,4
41,quadtree_4_26_2_2,-6.0500001907348633,0.22000002861022949,4
42,quadtree_4_28_2_2,-6.0000001589457197,0.77000013987223304,3
43,quadtree_4_30_2_2,-6.0000001589457197,1.4700005849202473,3
44,quadtree_4_32_2_2,-6.0500001907348633,2.0199999809265137,4
45,quadtree_4_34_2_2,-6.0500001907348633,2.6200003623962402,4
46,quadtree_4_36_2_2,-6.0500001907348633,3.0700006484985352,2
47,quadtree_6_0_2_2,-5.4500002861022949,-7.4300003051757812,2
48,quadtree_6_2_2_2,-5.4500002861022949,-6.9800000190734863,4
49,quadtree_6_4_2_2,-5.4500002861022949,-6.380000114440918,4
50,quadtree_6_6_2_2,-5.4500002861022949,-5.7800002098083496,4
51,quadtree_6_8_2_2,-5.4500002861022949,-5.179999828338623,4
52,quadtree_6_10_2_2,-5.4500002861022949,-4.5800001621246338,4
53,quadtree_6_12_2_2,-5.4500002861022949,-3.9800000190734863,4
54,quadtree_6_14_2_2,-5.4500002861022949,-3.3799998760223389,4
55,quadtree_6_18_2_2,-5.6000003814697266,-2.0299997329711914,1
56,quadtree_6_20_2_2,-5.4500002861022949,-1.5799999237060547,4
57,quadtree_6_22_2_2,-5.4500002861022949,-0.97999978065490723,4
58,quadtree_6_24_2_2,-5.4500002861022949,-0.37999987602233887,4
59,quadtree_6_26_2_2,-5.4500002861022949,0.22000002861022949,4
60,quadtree_6_28_2_2,-5.6000003814697266,0.67000007629394531,1
61,quadtree_6_30_2_2,-5.6000003814697266,1.5700006484985352,1
62,quadtree_6_32_2_2,-5.6000003814697266,2.0199999809265137,2
63,quadtree_6_34_2_2,-5.6000003814697266,2.6200003623962402,2
64,quadtree_6_36_2_2,-5.6000003814697266,3.0700006484985352,1
65,quadtree_8_0_2_2,-5,-7.4300003051757812,1
66,quadtree_8_2_2_2,-5,-6.9800000190734863,2
67,quadtree_8_4_2_2,-5,-6.380000114440918,2
68,quadtree_8_6_2_2,-5,-5.7800002098083496,2
69,quadtree_8_8_2_2,-5,-5.179999828338623,2
70,quadtree_8_10_2_2,-5,-4.5800001621246338,2
71,quadtree_8_12_2_2,-5,-3.9800000190734863,2
72,quadtree_8_14_2_2,-4.8499999046325684,-3.3799998760223389,4
73,quadtree_8_18_2_2,-4.7999998728434248,-2.129999796549479,3
74,quadtree_8_20_2_2,-4.8499999046325684,-1.5799999237060547,4
75,quadtree_8_22_2_2,-4.8499999046325684,-0.97999978065490723,4
76,quadtree_8_24_2_2,-4.8499999046325684,-0.37999987602233887,4
77,quadtree_8_26_2_2,-4.8499999046325684,0.22000002861022949,4
78,quadtree_8_30_2_2,-4.6999998092651367,1.5700006484985352,1
79,quadtree_8_32_2_2,-4.6999998092651367,2.0199999809265137,2
80,quadtree_8_34_2_2,-4.6999998092651367,2.4700002670288086,1
81,quadtree_10_0_2_2,-4.1000003814697266,-7.4300003051757812,1
82,quadtree_10_2_2_2,-4.1000003814697266,-6.9800000190734863,2
83,quadtree_10_4_2_2,-4.1000003814697266,-6.380000114440918,2
84,quadtree_10_6_2_2,-4.1000003814697266,-5.7800002098083496,2
85,quadtree_10_8_2_2,-4.1000003814697266,-5.179999828338623,2
86,quadtree_10_14_2_2,-4.2500002384185791,-3.3799998760223389,4
87,quadtree_10_18_2_2,-4.2500002384185791,-2.179999828338623,4
88,quadtree_10_20_2_2,-4.2500002384185791,-1.5799999237060547,4
89,quadtree_10_22_2_2,-4.2500002384185791,-0.97999978065490723,4
90,quadtree_10_24_2_2,-4.2500002384185791,-0.37999987602233887,4
91,quadtree_10_26_2_2,-4.2500002384185791,0.22000002861022949,4
92,quadtree_10_30_2_2,-4.2500002384185791,1.5700006484985352,2
93,quadtree_10_32_2_2,-4.2500002384185791,2.0199999809265137,4
94,quadtree_10_34_2_2,-4.2500002384185791,2.6200003623962402,4
95,quadtree_10_36_2_2,-4.2500002384185791,3.0700006484985352,2
96,quadtree_12_0_2_2,-3.6499999761581421,-7.4300003051757812,2
97,quadtree_12_2_2_2,-3.6499999761581421,-6.9800000190734863,4
98,quadtree_12_4_2_2,-3.6499999761581421,-6.380000114440918,4
99,quadtree_12_6_2_2,-3.6499999761581421,-5.7800002098083496,4
100,quadtree_12_8_2_2,-3.6499999761581421,-5.179999828338623,4
101,quadtree_12_14_2_2,-3.6499999761581421,-3.3799998760223389,4
102,quadtree_12_18_2_2,-3.6499999761581421,-2.179999828338623,4
103,quadtree_12_20_2_2,-3.6499999761581421,-1.5799999237060547,4
104,quadtree_12_22_2_2,-3.6499999761581421,-0.97999978065490723,4
105,quadtree_12_24_2_2,-3.6499999761581421,-0.37999987602233887,4
106,quadtree_12_26_2_2,-3.6499999761581421,0.22000002861022949,4
107,quadtree_12_30_2_2,-3.6499999761581421,1.5700006484985352,2
108,quadtree_12_32_2_2,-3.6499999761581421,2.0199999809265137,4
109,quadtree_12_34_2_2,-3.6499999761581421,2.6200003623962402,4
110,quadtree_12_36_2_2,-3.6499999761581421,3.0700006484985352,2
111,quadtree_14_0_2_2,-3.0499999523162842,-7.4300003051757812,2
112,quadtree_14_2_2_2,-3.0499999523162842,-7.130000114440918,2
113,quadtree_14_4_2_2,-3.0499999523162842,-6.380000114440918,4
114,quadtree_14_6_2_2,-3.0499999523162842,-5.7800002098083496,4
115,quadtree_14_8_2_2,-3.0499999523162842,-5.179999828338623,4
116,quadtree_14_10_2_2,-2.9000000953674316,-4.5800001621246338,2
117,quadtree_14_14_2_2,-3.0499999523162842,-3.3799998760223389,4
118,quadtree_14_18_2_2,-3.0499999523162842,-2.179999828338623,4
119,quadtree_14_20_2_2,-3.0499999523162842,-1.5799999237060547,4
120,quadtree_14_22_2_2,-3.0499999523162842,-0.97999978065490723,4
121,quadtree_14_24_2_2,-3.0499999523162842,-0.37999987602233887,4
122,quadtree_14_26_2_2,-3.0499999523162842,0.22000002861022949,4
123,quadtree_14_30_2_2,-3.0499999523162842,1.5700006484985352,2
124,quadtree_14_32_2_2,-3.0499999523162842,2.0199999809265137,4
125,quadtree_14_34_2_2,-3.0499999523162842,2.6200003623962402,4
126,quadtree_14_36_2_2,-3.0499999523162842,3.0700006484985352,2
127,quadtree_16_2_2_2,-2.5,-6.9299999872843427,3
128,quadtree_16_4_2_2,-2.4500000476837158,-6.380000114440918,4
129,quadtree_16_6_2_2,-2.4500000476837158,-5.7800002098083496,4
130,quadtree_16_8_2_2,-2.4500000476837158,-5.179999828338623,4
131,quadtree_16_10_2_2,-2.4500000476837158,-4.5800001621246338,4
132,quadtree_16_12_2_2,-2.5999999046325684,-3.9800000190734863,2
133,quadtree_16_14_2_2,-2.4500000476837158,-3.3799998760223389,4
134,quadtree_16_18_2_2,-2.5999999046325684,-2.179999828338623,2
135,quadtree_16_20_2_2,-2.5999999046325684,-1.5799999237060547,2
136,quadtree_16_22_2_2,-2.5999999046325684,-0.97999978065490723,2
137,quadtree_16_24_2_2,-2.5999999046325684,-0.37999987602233887,2
138,quadtree_16_26_2_2,-2.4500000476837158,0.22000002861022949,4
139,quadtree_16_30_2_2,-2.4500000476837158,1.5700006484985352,2
140,quadtree_16_32_2_2,-2.4500000476837158,2.0199999809265137,4
141,quadtree_16_34_2_2,-2.4500000476837158,2.6200003623962402,4
142,quadtree_16_36_2_2,-2.5999999046325684,3.0700006484985352,1
143,quadtree_18_14_2_2,-1.8499999046325684,-3.3799998760223389,4
144,quadtree_18_16_2_2,-1.6999998092651367,-2.7799999713897705,2
145,quadtree_18_18_2_2,-1.6999998092651367,-2.179999828338623,2
146,quadtree_18_20_2_2,-1.6999998092651367,-1.5799999237060547,2
147,quadtree_18_22_2_2,-1.6999998092651367,-1.1299996376037598,1
148,quadtree_18_24_2_2,-1.6999998092651367,-0.23000001907348633,1
149,quadtree_18_26_2_2,-1.8499999046325684,0.22000002861022949,4
150,quadtree_18_28_2_2,-1.6999998092651367,0.67000007629394531,1
151,quadtree_18_30_2_2,-1.8499999046325684,1.5700006484985352,2
152,quadtree_18_32_2_2,-1.8499999046325684,2.0199999809265137,4
153,quadtree_18_34_2_2,-1.8499999046325684,2.6200003623962402,4
154,quadtree_18_36_2_2,-1.8499999046325684,3.0700006484985352,2
155,quadtree_20_0_2_2,-1.25,-7.4300003051757812,2
156,quadtree_20_2_2_2,-1.3000000317891438,-7.0300000508626299,3
157,quadtree_20_4_2_2,-1.25,-6.380000114440918,4
158,quadtree_20_6_2_2,-1.25,-5.7800002098083496,4
159,quadtree_20_8_2_2,-1.25,-5.179999828338623,4
160,quadtree_20_10_2_2,-1.4000000953674316,-4.5800001621246338,2
161,quadtree_20_12_2_2,-1.4000000953674316,-3.9800000190734863,2
162,quadtree_20_14_2_2,-1.25,-3.3799998760223389,4
163,quadtree_20_16_2_2,-1.4000000953674316,-2.7799999713897705,2
164,quadtree_20_18_2_2,-1.4000000953674316,-2.179999828338623,2
165,quadtree_20_20_2_2,-1.4000000953674316,-1.5799999237060547,2
166,quadtree_20_22_2_2,-1.4000000953674316,-0.97999978065490723,2
167,quadtree_20_24_2_2,-1.3000000317891438,-0.32999992370605469,3
168,quadtree_20_26_2_2,-1.25,0.22000002861022949,4
169,quadtree_20_28_2_2,-1.3000000317891438,0.77000013987223304,3
170,quadtree_20_30_2_2,-1.4000000953674316,1.4200005531311035,2
171,quadtree_20_32_2_2,-1.3000000317891438,2.0700000127156577,3
172,quadtree_20_34_2_2,-1.25,2.6200003623962402,4
173,quadtree_20_36_2_2,-1.0999999046325684,3.0700006484985352,1
