cell_index,x,y,source_probability
28,-4.9427304267883301,-7.000880241394043,2.9651255960505913e-166
29,-4.6427302360534668,-7.000880241394043,2.9651255960505913e-166
30,-4.3427300453186035,-7.000880241394043,2.9651255960505913e-166
31,-4.0427303314208984,-7.000880241394043,2.9651255960505913e-166
32,-3.7427301406860352,-7.000880241394043,2.9651255960505913e-166
33,-3.442730188369751,-7.000880241394043,2.9651255960505913e-166
34,-3.1427302360534668,-7.000880241394043,2.9651255960505913e-166
35,-2.8427300453186035,-7.000880241394043,2.9651255960505913e-166
36,-2.5427300930023193,-7.000880241394043,2.9651255960505913e-166
37,-2.2427301406860352,-7.000880241394043,2.9651255960505913e-166
38,-1.942730188369751,-7.000880241394043,2.9651255960505913e-166
39,-1.6427299976348877,-7.000880241394043,2.9651255960505913e-166
40,-1.3427300453186035,-7.000880241394043,2.9651255960505913e-166
41,-1.0427298545837402,-7.000880241394043,2.9651255960505913e-166
55,-4.9427304267883301,-6.7008800506591797,2.9651255960505913e-166
56,-4.6427302360534668,-6.7008800506591797,2.9651255960505913e-166
57,-4.3427300453186035,-6.7008800506591797,2.9651255960505913e-166
58,-4.0427303314208984,-6.7008800506591797,2.9651255960505913e-166
59,-3.7427301406860352,-6.7008800506591797,2.9651255960505913e-166
60,-3.442730188369751,-6.7008800506591797,2.9651255960505913e-166
61,-3.1427302360534668,-6.7008800506591797,2.9651255960505913e-166
62,-2.8427300453186035,-6.7008800506591797,2.9651255960505913e-166
63,-2.5427300930023193,-6.7008800506591797,2.9651255960505913e-166
64,-2.2427301406860352,-6.7008800506591797,2.9651255960505913e-166
65,-1.942730188369751,-6.7008800506591797,2.9651255960505913e-166
66,-1.6427299976348877,-6.7008800506591797,2.9651255960505913e-166
67,-1.3427300453186035,-6.7008800506591797,2.9651255960505913e-166
68,-1.0427298545837402,-6.7008800506591797,2.9651255960505913e-166
82,-4.9427304267883301,-6.4008798599243164,2.9651255960505913e-166
83,-4.6427302360534668,-6.4008798599243164,2.9651255960505913e-166
