source_index,source_id,x_m,y_m,mean_delta_bp,mean_delta_mbd,positive_bp,positive_mbd,full_mean_nll,bp_mean_nll,mbd_mean_nll,full_top1,bp_top1
0,pmfs_1_12,-4.94273,-3.70088,1.6407119118351956,1.6430572871076914,1,1,3.2013794136219578,4.842091325457154,4.844436700729649,0.3125,0.3125
1,pmfs_1_13,-4.94273,-3.4008799999999995,12.663044306649663,1.8669130086286891,1,1,9.025698945482322,21.688743252131985,10.892611954111011,0.0,0.0
2,pmfs_1_14,-4.94273,-3.100879999999999,4.3449916266368795,0.6832202859765655,1,1,8.454489416381486,12.799481043018366,9.137709702358052,0.125,0.0
3,pmfs_1_15,-4.94273,-2.80088,4.209030379884549,1.4143271695382897,1,1,7.382158840884563,11.591189220769113,8.796486010422853,0.0,0.0
4,pmfs_1_16,-4.94273,-2.5008799999999995,2.5746827188323205,1.2459149345262484,1,1,7.667695132838373,10.242377851670694,8.913610067364623,0.125,0.0625
5,pmfs_1_17,-4.94273,-2.20088,1.906668015894309,1.3552524064152602,1,1,8.28092044670558,10.187588462599887,9.63617285312084,0.0,0.0
6,pmfs_1_18,-4.94273,-1.90088,1.589546335028036,1.8081572856121524,1,1,6.166957645611559,7.756503980639595,7.97511493122371,0.1875,0.125
7,pmfs_2_12,-4.64273,-3.70088,1.9075574277222804,2.9432522839001276,1,1,5.517071050943082,7.424628478665362,8.46032333484321,0.0625,0.0
8,pmfs_2_13,-4.64273,-3.4008799999999995,5.880154739689845,1.6113080497368801,1,1,8.394179983450707,14.274334723140552,10.005488033187586,0.0,0.0
9,pmfs_2_14,-4.64273,-3.100879999999999,1.7723859876695265,2.181480087783725,1,1,8.392503169789176,10.164889157458704,10.573983257572902,0.1875,0.5
10,pmfs_2_15,-4.64273,-2.80088,3.2401728373321728,1.9935946532213868,1,1,3.631451702412657,6.871624539744829,5.625046355634044,0.0625,0.125
11,pmfs_2_16,-4.64273,-2.5008799999999995,1.562740189635326,1.403029175161158,1,1,1.924545484488763,3.487285674124089,3.327574659649921,0.375,0.5
12,pmfs_2_17,-4.64273,-2.20088,0.35827132110022086,0.19460714286283678,1,1,0.126993251029603,0.4852645721298239,0.3216003938924398,1.0,0.75
13,pmfs_2_18,-4.64273,-1.90088,2.911900021803147,1.563924834706343,1,1,3.019091309301049,5.930991331104197,4.5830161440073915,0.375,0.1875
14,pmfs_3_12,-4.34273,-3.70088,7.916555836398429,2.7008844359540776,1,1,7.513856164357963,15.430412000756391,10.214740600312041,0.0,0.0
15,pmfs_3_13,-4.34273,-3.4008799999999995,4.046534954951689,1.6712002334624125,1,1,6.479933448517611,10.526468403469302,8.151133681980024,0.0,0.0
16,pmfs_3_14,-4.34273,-3.100879999999999,3.382344077723131,2.962848770566519,1,1,3.156476716478006,6.538820794201136,6.119325487044525,0.375,0.0625
17,pmfs_3_15,-4.34273,-2.80088,-5.779694663299744,0.8960622804388777,0,1,15.286886635882057,9.507191972582314,16.182948916320935,0.125,0.1875
18,pmfs_3_16,-4.34273,-2.5008799999999995,0.31128724519906686,0.7146815305480048,1,1,1.861915335941115,2.1732025811401816,2.5765968664891195,0.5625,0.5625
19,pmfs_3_17,-4.34273,-2.20088,0.37507513277125715,0.18619595015120835,1,1,0.55179498490819,0.9268701176794472,0.7379909350593984,0.75,0.8125
20,pmfs_3_18,-4.34273,-1.90088,2.709259489628222,2.350885006741639,1,1,7.045510279727866,9.754769769356088,9.396395286469506,0.25,0.25
21,pmfs_4_12,-4.04273,-3.70088,2.693760461548951,1.5188982419872725,1,1,0.9718181113510913,3.665578572900043,2.490716353338364,0.8125,0.5625
22,pmfs_4_13,-4.04273,-3.4008799999999995,-2.3674615822235885,3.0258044104084263,0,1,12.91308022796022,10.545618645736631,15.938884638368647,0.125,0.125
