null_id,aggregate_mean_truth_nll,mean_truth_rank,top3_fraction
0,6.954947829024969,10.331845238095237,0.45126488095238093
1,6.908647708368416,10.299479166666666,0.45610119047619047
2,7.1077928463179205,10.343005952380953,0.45870535714285715
3,6.946643902969692,10.3515625,0.45870535714285715
4,6.978152508490082,10.223958333333334,0.4538690476190476
5,6.987717902444523,10.291666666666666,0.44382440476190477
6,7.009273381832851,10.369419642857142,0.4497767857142857
7,6.985923181365717,10.25,0.45200892857142855
8,6.872383947208824,10.289806547619047,0.44680059523809523
9,7.010924567379034,10.306547619047619,0.4479166666666667
10,7.072828818293358,10.327008928571429,0.4568452380952381
11,7.1053579302194105,10.337797619047619,0.45498511904761907
12,6.997887461283621,10.310639880952381,0.453125
13,7.07498318999979,10.374627976190476,0.45089285714285715
14,6.98867522583267,10.162946428571429,0.45349702380952384
15,7.113505284885104,10.234747023809524,0.45349702380952384
16,6.939518800918387,10.306175595238095,0.45163690476190477
17,7.074959263854352,10.32328869047619,0.45163690476190477
18,6.932031707356859,10.34672619047619,0.44308035714285715
19,7.024111664838545,10.34375,0.45461309523809523
20,7.171372044496355,10.320684523809524,0.45461309523809523
21,6.90673632198651,10.256324404761905,0.4538690476190476
22,7.16580671537977,10.398065476190476,0.45089285714285715
23,7.004914322551119,10.335193452380953,0.45126488095238093
24,6.868727334927162,10.259300595238095,0.45014880952380953
25,7.0336996006276395,10.361607142857142,0.45089285714285715
26,6.927007163104008,10.309151785714286,0.4505208333333333
27,6.947827031434649,10.324032738095237,0.45014880952380953
28,7.084265546366928,10.321428571428571,0.45126488095238093
29,7.084940679366187,10.353422619047619,0.4564732142857143
30,7.038566527846004,10.378720238095237,0.45498511904761907
31,6.877816959527022,10.29985119047619,0.45424107142857145
32,6.920854769443963,10.203869047619047,0.4575892857142857
33,6.969329230138317,10.273065476190476,0.453125
34,7.2300215291798455,10.316220238095237,0.4523809523809524
35,7.020395384414053,10.355654761904763,0.45498511904761907
36,7.090362540943667,10.337425595238095,0.44680059523809523
37,7.077963184619323,10.470982142857142,0.45424107142857145
38,7.114627166794641,10.447544642857142,0.4497767857142857
39,7.062932611599136,10.411458333333334,0.45200892857142855
40,6.9679545938972725,10.391741071428571,0.4479166666666667
41,6.971520207517228,10.236235119047619,0.46279761904761907
42,6.971726152628776,10.297619047619047,0.4538690476190476
43,7.071722546595742,10.3828125,0.46316964285714285
44,7.029525647254507,10.271949404761905,0.4564732142857143
45,6.974261653706223,10.254464285714286,0.45610119047619047
46,6.977102089683344,10.23139880952381,0.44754464285714285
47,7.196191046028113,10.319940476190476,0.4494047619047619
48,6.9093771863811355,10.305803571428571,0.4557291666666667
49,7.042382847270344,10.275297619047619,0.4572172619047619
50,6.9881497945989395,10.281622023809524,0.4490327380952381
51,6.81114533291976,10.220610119047619,0.4523809523809524
52,6.9345548078052195,10.304315476190476,0.45535714285714285
53,7.029041429441474,10.245535714285714,0.4609375
54,7.102978984817163,10.341145833333334,0.45275297619047616
55,6.848565435574157,10.297247023809524,0.44419642857142855
56,7.000701613557973,10.264880952380953,0.453125
57,6.8419223794861015,10.189360119047619,0.45535714285714285
58,6.916641758968818,10.3515625,0.453125
59,7.080315390434705,10.302455357142858,0.45535714285714285
60,7.039180932865214,10.342261904761905,0.45163690476190477
61,6.929518753582602,10.193080357142858,0.4486607142857143
62,7.05580832583618,10.386904761904763,0.4538690476190476
63,6.964158508338952,10.366815476190476,0.45907738095238093
64,7.019210803199754,10.334821428571429,0.4486607142857143
65,6.97754732937198,10.313616071428571,0.4490327380952381
66,7.05236704970168,10.352678571428571,0.4523809523809524
67,7.0463795593205605,10.30766369047619,0.4445684523809524
68,6.943941333197141,10.258556547619047,0.4601934523809524
69,6.980230561522702,10.309151785714286,0.4479166666666667
70,7.052073190385677,10.3984375,0.4497767857142857
71,6.920590843293794,10.297991071428571,0.45498511904761907
72,6.957950569237167,10.302455357142858,0.4538690476190476
73,7.109829043363489,10.406622023809524,0.4486607142857143
74,6.973528068630874,10.24516369047619,0.4538690476190476
75,7.1408675238099715,10.357142857142858,0.45126488095238093
76,6.9975675846309695,10.265997023809524,0.45870535714285715
77,7.0229302555225805,10.255952380952381,0.4505208333333333
78,7.034579573743743,10.292782738095237,0.45275297619047616
79,6.932811136829987,10.281994047619047,0.45200892857142855
80,6.98955011110602,10.322544642857142,0.44717261904761907
81,7.034589707200364,10.267485119047619,0.4505208333333333
82,7.0192001316297485,10.367559523809524,0.45461309523809523
83,6.834112581682578,10.274553571428571,0.4538690476190476
84,6.955864778910281,10.234747023809524,0.45535714285714285
85,6.985517168835772,10.351934523809524,0.4486607142857143
86,6.847899024284492,10.23139880952381,0.45349702380952384
87,6.999684692860794,10.228050595238095,0.45126488095238093
88,7.057986533259388,10.37983630952381,0.453125
89,6.928735805204154,10.262276785714286,0.45126488095238093
90,7.065073911756516,10.235119047619047,0.45610119047619047
91,7.0035225233229585,10.246279761904763,0.45461309523809523
92,7.072224631083881,10.373139880952381,0.4575892857142857
93,6.956337825341696,10.3125,0.4572172619047619
94,6.956138082501495,10.375744047619047,0.45275297619047616
95,6.952315571683225,10.361235119047619,0.4486607142857143
96,6.9960733324308295,10.322544642857142,0.4486607142857143
97,7.003384581749063,10.427083333333334,0.44754464285714285
98,7.133896345242931,10.353794642857142,0.46279761904761907
99,7.0068677092335845,10.246279761904763,0.4538690476190476
100,7.076761787558731,10.414806547619047,0.4505208333333333
101,7.0446780544309275,10.328869047619047,0.44568452380952384
