fold,reference_count_per_source,target_count_per_source,full_mean_nll,bp_mean_nll,mbd_mean_nll,diag_mean_nll,mean_delta_bp,mean_delta_mbd
0,12,4,4.991367852452499,10.842357983332745,6.202112298219155,6.943300236227143,5.850990130880244,1.210744445766656
1,12,4,4.622818364814399,6.07497752366309,5.979600433583881,6.4249212311460004,1.4521591588486908,1.3567820687694816
2,12,4,5.324628525744383,9.06401833146666,7.097259203047356,7.369737946324531,3.7393898057222774,1.7726306773029725
3,12,4,4.659408171855251,32.68835993226243,6.359673049313391,6.754298093126127,28.028951760407185,1.7002648774581388
