run,house,n,truth_candidate,truth_dist,native_truth_rank,bridge_truth_rank,rank_delta_native_minus_bridge,native_spearman_vs_negdist,bridge_spearman_vs_negdist,train_houses,iso_knots,iso_output_min,iso_output_max
House01_seed0_off_off,House01,152,quadtree_23_16_1_1,0.13542243823578204,110.0,76.5,33.5,-0.32545899676119214,,House02|House03,69,0.4833717561713722,0.4833717561713722
House01_seed1_off_off,House01,148,quadtree_23_16_1_1,0.13542243823578204,117.0,74.5,42.5,0.2683384201806494,,House02|House03,69,0.4833717561713722,0.4833717561713722
House02_seed0_off_off,House02,148,quadtree_16_22_4_3,0.4264428422300538,123.0,74.5,48.5,-0.3806451005803497,,House01|House03,70,0.4393475482582162,0.4393475482582162
House02_seed1_off_off,House02,144,quadtree_16_22_4_3,0.4264428422300538,121.0,72.5,48.5,-0.0860311397852082,,House01|House03,70,0.4393475482582162,0.4393475482582162
House03_seed0_off_off,House03,197,quadtree_1_12_5_3,1.0331796637465571,149.0,99.0,50.0,0.06151164332540711,,House01|House02,9,0.3937487875539573,0.3937487875539573
House03_seed1_off_off,House03,199,quadtree_1_12_5_3,1.0331796637465571,148.0,100.0,48.0,0.07785570387640377,,House01|House02,9,0.3937487875539573,0.3937487875539573
