timestamp,x,y,z
1788870001.412521,-3.17,-1.75,0.3
1788870001.6109774,-3.17,-1.75,0.3
1788870001.8244228,-3.17,-1.75,0.3
1788870002.0114574,-3.17,-1.75,0.3
1788870002.2113988,-3.17,-1.75,0.3
1788870002.4111226,-3.17,-1.75,0.3
1788870002.611423,-3.17,-1.75,0.3
1788870002.8343961,-3.17,-1.75,0.3
1788870003.0125358,-3.17,-1.75,0.3
1788870003.2122412,-3.17,-1.75,0.3
1788870006.3064,-3.17,-1.75,0.3
1788870006.3069384,-3.17,-1.75,0.3
1788870006.3073158,-3.17,-1.75,0.3
1788870006.3077216,-3.17,-1.75,0.3
1788870006.3080623,-3.17,-1.75,0.3
1788870006.3083813,-3.17,-1.75,0.3
1788870006.3086834,-3.17,-1.75,0.3
1788870006.308994,-3.17,-1.75,0.3
1788870006.3092926,-3.17,-1.75,0.3
1788870006.3095827,-3.17,-1.75,0.3
1788870006.309941,-3.17,-1.75,0.3
1788870006.3102443,-3.17,-1.75,0.3
1788870006.3105588,-3.17,-1.75,0.3
1788870006.311039,-3.17,-1.75,0.3
1788870006.3117511,-3.17,-1.75,0.3
1788870006.4307976,-3.17,-1.75,0.3
1788870006.6285298,-3.17,-1.75,0.3
1788870006.8408062,-3.17,-1.75,0.3
1788870007.0266416,-3.17,-1.75,0.3
1788870007.2248158,-3.17,-1.75,0.3
1788870007.4254377,-3.17,-1.75,0.3
1788870007.6256943,-3.17,-1.75,0.3
1788870007.8508334,-3.17,-1.75,0.3
1788870008.0290258,-3.17,-1.75,0.3
1788870008.2271774,-3.17,-1.75,0.3
1788870008.433322,-3.17,-1.75,0.3
1788870008.630784,-3.17,-1.75,0.3
1788870008.8415098,-3.17,-1.75,0.3
1788870009.0275302,-3.17,-1.75,0.3
1788870009.2296572,-3.17,-1.75,0.3
1788870009.4279654,-3.17,-1.75,0.3
1788870009.6288283,-3.17,-1.75,0.3
1788870009.838848,-3.17,-1.75,0.3
1788870010.0292256,-3.17,-1.75,0.3
1788870010.2300596,-3.17,-1.75,0.3
1788870010.4322398,-3.17,-1.75,0.3
1788870010.6195054,-3.17,-1.75,0.3
1788870010.8487592,-3.17,-1.75,0.3
1788870011.0261889,-3.17,-1.75,0.3
1788870011.2293851,-3.17,-1.75,0.3
1788870011.4285376,-3.17,-1.75,0.3
1788870011.6226943,-3.17,-1.75,0.3
1788870011.845393,-3.17,-1.75,0.3
1788870012.029473,-3.17,-1.75,0.3
1788870012.2317736,-3.17,-1.75,0.3
1788870012.4294863,-3.17,-1.75,0.3
1788870012.6350014,-3.17,-1.75,0.3
1788870012.8353832,-3.17,-1.75,0.3
1788870013.0251782,-3.17,-1.75,0.3
1788870013.2203562,-3.17,-1.75,0.3
1788870013.4197001,-3.17,-1.75,0.3
1788870013.6270974,-3.17,-1.75,0.3
1788870013.8414774,-3.17,-1.75,0.3
1788870014.0212357,-3.17,-1.75,0.3
1788870014.2302008,-3.17,-1.75,0.3
1788870014.4207065,-3.17,-1.75,0.3
1788870014.6300871,-3.17,-1.75,0.3
1788870014.8433166,-3.17,-1.75,0.3
1788870015.026276,-3.17,-1.75,0.3
1788870015.2295835,-3.17,-1.75,0.3
1788870015.4303763,-3.17,-1.75,0.3
1788870015.6259162,-3.17,-1.75,0.3
1788870015.8414092,-3.17,-1.75,0.3
1788870016.0222707,-3.17,-1.75,0.3
1788870016.2291098,-3.17,-1.75,0.3
1788870016.4247398,-3.17,-1.75,0.3
1788870016.6249382,-3.17,-1.75,0.3
1788870016.845223,-3.17,-1.75,0.3
1788870017.0200944,-3.17,-1.75,0.3
1788870017.2290118,-3.17,-1.75,0.3
1788870017.4224932,-3.17,-1.75,0.3
1788870017.6264362,-3.17,-1.75,0.3
1788870017.8466516,-3.17,-1.75,0.3
1788870018.0263174,-3.17,-1.75,0.3
1788870018.2334716,-3.17,-1.75,0.3
1788870018.4315028,-3.17,-1.75,0.3
1788870018.6325629,-3.17,-1.75,0.3
1788870018.8484697,-3.17,-1.75,0.3
1788870019.0239484,-3.17,-1.75,0.3
1788870019.2294717,-3.17,-1.75,0.3
1788870019.4259937,-3.17,-1.75,0.3
1788870019.6210282,-3.17,-1.75,0.3
1788870019.8457615,-3.17,-1.75,0.3
