environment_index,house,source_id,target_index,paired_neighbor,rank_B0,rank_M,rank_ICRA_rank,delta_pair_mark,mark_true,mark_partner
0,House01,pmfs_13_18,0,pmfs_13_19,2,2,4,2.4672222283087564,-82.70824281335787,-85.175465041666627
0,House01,pmfs_13_18,1,pmfs_13_19,2,2,4,2.0292487184056824,-82.364152602163998,-84.39340132056968
0,House01,pmfs_13_18,2,pmfs_13_19,2,2,4,1.9989167405948507,-99.740803843004585,-101.73972058359944
0,House01,pmfs_13_18,3,pmfs_13_19,2,2,4,2.4055269003057589,-84.461486496545248,-86.867013396851007
0,House01,pmfs_13_19,0,pmfs_13_18,1,1,3,-0.97394618228101137,-85.334604547914395,-84.360658365633384
0,House01,pmfs_13_19,1,pmfs_13_18,1,1,3,-0.29594851559201629,-92.841804309159855,-92.545855793567839
0,House01,pmfs_13_19,2,pmfs_13_18,1,1,3,-0.27795715711296509,-84.825927353810101,-84.547970196697136
0,House01,pmfs_13_19,3,pmfs_13_18,1,1,3,-1.3692090832483217,-90.401768423891426,-89.032559340643104
0,House01,pmfs_27_36,0,pmfs_26_36,2,2,4,-0.48855720441243378,-20.021806513358211,-19.533249308945777
0,House01,pmfs_27_36,1,pmfs_26_36,2,2,4,-0.43534949081961116,-17.224789427855139,-16.789439937035528
0,House01,pmfs_27_36,2,pmfs_26_36,2,2,4,-0.36866785039528338,-37.009420480632258,-36.640752630236975
0,House01,pmfs_27_36,3,pmfs_26_36,2,2,4,-0.34852390818841172,-51.307746154996039,-50.959222246807627
0,House01,pmfs_26_36,0,pmfs_27_36,1,1,3,0.60711709494741228,-88.980671846315758,-89.58778894126317
0,House01,pmfs_26_36,1,pmfs_27_36,1,1,3,0.96923250734180044,-61.341810450978649,-62.311042958320449
0,House01,pmfs_26_36,2,pmfs_27_36,1,1,3,0.89187784125213909,-67.778378194490799,-68.670256035742938
0,House01,pmfs_26_36,3,pmfs_27_36,1,1,3,0.78664526139145607,-89.670499620946373,-90.457144882337829
0,House01,pmfs_27_1,0,pmfs_27_2,1,1,1,-0.74695937086424991,-14.15465029369572,-13.40769092283147
0,House01,pmfs_27_1,1,pmfs_27_2,1,1,1,-0.6540937886542082,-17.097470378979846,-16.443376590325638
0,House01,pmfs_27_1,2,pmfs_27_2,1,1,1,-0.69252448702614089,-23.080715649785855,-22.388191162759714
0,House01,pmfs_27_1,3,pmfs_27_2,1,1,1,-0.75400687755786322,-18.235628449191367,-17.481621571633504
0,House01,pmfs_27_2,0,pmfs_27_1,2,2,1,0.77330859129211227,-13.794407374557586,-14.567715965849699
0,House01,pmfs_27_2,1,pmfs_27_1,2,2,1,0.36476750412934678,-29.304002642502315,-29.668770146631662
0,House01,pmfs_27_2,2,pmfs_27_1,2,2,1,0.34147892587339967,-27.219101290616635,-27.560580216490035
0,House01,pmfs_27_2,3,pmfs_27_1,2,2,1,0.49638065643564389,-25.80405560762858,-26.300436264064224
1,House02,pmfs_12_20,0,pmfs_11_20,1,1,4,-0.79417533175427479,-107.15178111121018,-106.35760577945591
1,House02,pmfs_12_20,1,pmfs_11_20,1,1,4,-0.6164130102569203,-99.898117902112389,-99.281704891855469
1,House02,pmfs_12_20,2,pmfs_11_20,1,1,5,-1.4688288021824008,-85.518137845619862,-84.049309043437461
1,House02,pmfs_12_20,3,pmfs_11_20,1,1,5,-0.50181669405570517,-94.071647210485906,-93.569830516430201
1,House02,pmfs_11_20,0,pmfs_12_20,1,1,3,2.5837367920271603,-30.306356280167208,-32.890093072194368
1,House02,pmfs_11_20,1,pmfs_12_20,2,2,3,0.33349358889195457,-93.478429306282479,-93.811922895174433
1,House02,pmfs_11_20,2,pmfs_12_20,2,1,3,2.4094485627602609,-69.184350095850874,-71.593798658611135
1,House02,pmfs_11_20,3,pmfs_12_20,2,2,3,1.213989722188245,-83.545884868596517,-84.759874590784761
1,House02,pmfs_1_1,0,pmfs_2_1,1,1,3,-0.32785964446168681,-2.1630111958555407,-1.8351515513938539
1,House02,pmfs_1_1,1,pmfs_2_1,1,1,3,-0.06381228836997721,-5.7277972689638386,-5.6639849805938614
1,House02,pmfs_1_1,2,pmfs_2_1,1,1,3,-0.26905274476825491,-2.4744645542362096,-2.2054118094679547
1,House02,pmfs_1_1,3,pmfs_2_1,1,1,3,0.38572733937242276,-20.249036508297291,-20.634763847669713
1,House02,pmfs_2_1,0,pmfs_1_1,2,2,4,0.069905197948925135,-10.544355678541885,-10.61426087649081
1,House02,pmfs_2_1,1,pmfs_1_1,2,2,4,0.030995421955994473,-14.686940493868674,-14.717935915824668
1,House02,pmfs_2_1,2,pmfs_1_1,2,2,4,0.00049890635268567962,-13.4322595261693,-13.432758432521986
1,House02,pmfs_2_1,3,pmfs_1_1,2,2,4,-0.24551386436392697,-16.065431563283049,-15.819917698919122
1,House02,pmfs_2_38,0,pmfs_2_37,4,4,1,-4.5819294654054232,-81.137371293959731,-76.555441828554308
