environment_index,house,source_id,target_index,paired_neighbor,rank_B0,rank_M,rank_ICRA_rank,delta_pair_mark,mark_true,mark_partner
1,House02,pmfs_2_38,1,pmfs_2_37,4,4,1,-2.7306962882332186,-85.51852022891363,-82.787823940680411
1,House02,pmfs_2_38,2,pmfs_2_37,2,2,1,-0.64886802212400596,-68.468935600112701,-67.820067577988695
1,House02,pmfs_2_38,3,pmfs_2_37,1,1,1,0.70813487603274794,-23.232906495561291,-23.941041371594039
1,House02,pmfs_2_37,0,pmfs_2_38,1,1,2,4.6013184337759512,-62.166657009660803,-66.767975443436754
1,House02,pmfs_2_37,1,pmfs_2_38,3,3,2,1.641975808790491,-81.257263222203193,-82.899239030993684
1,House02,pmfs_2_37,2,pmfs_2_38,3,3,2,3.174116461005184,-86.851535650598308,-90.025652111603492
1,House02,pmfs_2_37,3,pmfs_2_38,1,1,2,1.955336399874696,-47.936821776300569,-49.892158176175265
2,House02,pmfs_12_20,0,pmfs_11_20,1,1,3,0.0052391273115333092,-63.31901928735352,-63.324258414665053
2,House02,pmfs_12_20,1,pmfs_11_20,1,1,3,-0.0041909673038063033,-60.753718993625945,-60.749528026322139
2,House02,pmfs_12_20,2,pmfs_11_20,1,1,3,0.06527877596161602,-57.463289873607692,-57.528568649569308
2,House02,pmfs_12_20,3,pmfs_11_20,1,1,3,0.068752355594952519,-58.723669385990689,-58.792421741585642
2,House02,pmfs_11_20,0,pmfs_12_20,2,2,4,-0.001595579510187406,-50.773819175511107,-50.77222359600092
2,House02,pmfs_11_20,1,pmfs_12_20,2,2,4,0,-50.336405316503644,-50.336405316503644
2,House02,pmfs_11_20,2,pmfs_12_20,2,2,4,-0.036824069068011056,-54.777239267136295,-54.740415198068284
2,House02,pmfs_11_20,3,pmfs_12_20,2,2,4,0,-72.943401702642774,-72.943401702642774
2,House02,pmfs_1_1,0,pmfs_2_1,1,1,3,1.634157251807153,-8.1416849514678873,-9.7758422032750403
2,House02,pmfs_1_1,1,pmfs_2_1,1,1,3,2.0018769056247931,-7.264114367727923,-9.2659912733527161
2,House02,pmfs_1_1,2,pmfs_2_1,1,1,3,0.82039958474563335,-25.183362462611015,-26.003762047356648
2,House02,pmfs_1_1,3,pmfs_2_1,1,1,3,0,15.570049978849728,15.570049978849728
2,House02,pmfs_2_1,0,pmfs_1_1,2,2,3,-1.9281040415774839,-14.01272850703292,-12.084624465455436
2,House02,pmfs_2_1,1,pmfs_1_1,2,2,3,-0.99707841204537928,-30.299788201712559,-29.30270978966718
2,House02,pmfs_2_1,2,pmfs_1_1,2,2,3,-0.75871807636190169,-39.908877540671803,-39.150159464309901
2,House02,pmfs_2_1,3,pmfs_1_1,2,2,3,-0.5902138575954794,-16.747208186485803,-16.156994328890324
2,House02,pmfs_2_38,0,pmfs_2_37,2,2,1,0.58754844838365017,-36.04422651485644,-36.63177496324009
2,House02,pmfs_2_38,1,pmfs_2_37,2,2,1,0.65787167212421593,-40.444360691021579,-41.102232363145795
2,House02,pmfs_2_38,2,pmfs_2_37,2,2,1,-0.25804399540572476,-24.647834857065899,-24.389790861660174
2,House02,pmfs_2_38,3,pmfs_2_37,2,2,1,0.016505075915333123,-29.740657857773289,-29.757162933688623
2,House02,pmfs_2_37,0,pmfs_2_38,1,1,1,0.27009508730986198,-28.501030676309398,-28.77112576361926
2,House02,pmfs_2_37,1,pmfs_2_38,1,1,1,-0.08144999508749251,-23.819931364878027,-23.738481369790534
2,House02,pmfs_2_37,2,pmfs_2_38,1,1,1,-0.023291859615760302,-34.277322309840159,-34.254030450224398
2,House02,pmfs_2_37,3,pmfs_2_38,1,1,1,-0.42492289966776298,-25.694156508367566,-25.269233608699803
