house,seed,off_error_m,identifiable_score_snapshots,A0_NATIVE_SHADOW_error_m,A0_NATIVE_SHADOW_variance_m2,A1_V11_STOUFFER_error_m,A1_V11_STOUFFER_variance_m2,A2_CREI_NATIVE_ABSOLUTE_error_m,A2_CREI_NATIVE_ABSOLUTE_variance_m2,A3_RCEC_TEMPORAL_MEDIAN_error_m,A3_RCEC_TEMPORAL_MEDIAN_variance_m2,DIAG_FIRST3_TEMPORAL_MEDIAN_error_m,DIAG_FIRST3_TEMPORAL_MEDIAN_variance_m2
House01,277433,4.38386348177955,4,3.5181993230779196,0.1021868097610475,3.372235969917337,6.800452616978595,3.3680090090089028,9.304691152525196,3.4562703853050682,9.92921499913658,3.5785785321358023,10.294717971254961
House01,323553,6.697100224947566,5,6.690052171498601,0.030564946998703896,4.4956605486902195,10.498905407850266,3.9704595546752213,11.11898876925914,3.582850542873578,11.268923212003056,4.05348225861104,12.566646499100827
House01,653959,4.607520062499939,5,4.5759101077940505,0.39187394698511335,6.362661834608605,8.486622265546771,5.216955364193562,11.363163071525099,4.318012579766857,11.423565890340523,4.969581896784415,12.098145388914551
House01,661761,3.6852978972008414,4,3.585146559392256,0.10374423148464293,3.339281376010995,6.765691912775781,3.3902783124021387,9.435588338493336,3.308229596022509,10.220295373133684,3.2567758673731877,10.709112834738727
House01,825101,7.361901876363285,4,7.361919725211983,0.08286402827936373,5.76014618825701,7.578422801414324,5.7539299086151985,9.252578748152295,5.910080072395799,9.60424696290313,5.915558726595155,9.756786046898455
House02,251322,3.159982905795925,3,3.1544654543516746,0.2634584662179424,3.1904922256883497,4.577749886985637,2.9709144692872242,6.343102967166254,3.100090573089373,6.949271804967017,3.100090573089373,6.949271804967017
House02,276860,3.089965880404663,3,3.056030617967743,0.11197129706244473,2.406689922833907,5.2391042588004755,2.707139027968575,6.8073553567931215,2.6841041799366034,7.8751603708586915,2.6841041799366034,7.8751603708586915
House02,608060,3.060708219051201,3,3.0315941790978,0.07885341029873708,3.1118549326193974,4.453286945629517,2.8103576079867874,6.4033979647837755,2.8059994366661134,6.648552277482499,2.8059994366661134,6.648552277482499
House02,825201,2.4219832994481494,2,2.7141314713244036,0.07694055660351341,1.4231609607636264,5.501647435634022,1.6308800848296816,8.462280057963847,1.747975542414286,8.453077152784918,1.747975542414286,8.453077152784918
House02,868245,3.1123476040213545,3,2.906830583834559,0.07859217708698979,3.223198525619147,5.853649625956933,3.132136711196704,7.243637004960936,3.055661235778635,8.161530721499417,3.055661235778635,8.161530721499417
House03,274918,7.713083588446473,5,7.74057439963302,0.13892993884282037,7.332113170260497,7.270104347684056,7.518761574864926,9.989768536924148,6.677421904696111,13.011099951675124,5.446134796165573,14.191436601618266
House03,537372,7.636863689855431,5,7.638758905765254,0.18280130615750034,6.91403347754879,7.860551070167166,6.222619405322811,11.224021284626982,5.850255159224401,15.77192275395701,4.129112967956532,16.564041811116184
House03,605421,7.770700162126066,5,7.767562864075968,0.0949789325309098,7.562305341423926,7.391613356317018,7.012274740616997,10.109292715233925,6.970003276985309,11.99707280332148,5.076061583919755,15.813381387714326
House03,825301,7.509959843301904,4,7.5099598433019,0.17768265629326402,6.859623968391442,9.588139555231152,6.215605569977557,12.40958663881022,6.347307961583706,14.06009988163652,5.359359840527323,15.116765786224803
House03,828279,8.848596429071902,5,8.854737766464932,0.24825244538888408,8.348376568694256,7.400409741688581,8.457843598481002,9.733729180597166,7.988733825837278,11.9985119554973,5.877745679140654,14.509165115955202
