house,seed,off_error_m,identifiable_score_snapshots,A0_NATIVE_SHADOW_error_m,A0_NATIVE_SHADOW_variance_m2,A1_V11_STOUFFER_error_m,A1_V11_STOUFFER_variance_m2,A2_CREI_NATIVE_INCREMENT_error_m,A2_CREI_NATIVE_INCREMENT_variance_m2,A3_RCEC_TEMPORAL_MEDIAN_error_m,A3_RCEC_TEMPORAL_MEDIAN_variance_m2,DIAG_FIRST3_TEMPORAL_MEDIAN_error_m,DIAG_FIRST3_TEMPORAL_MEDIAN_variance_m2
House01,277433,4.38386348177955,4,3.5181993230779196,0.1021868097610475,3.372235969917337,6.800452616978595,3.3639457563545405,8.720388699843081,3.456128742627954,9.487742476019854,3.5801902236077883,10.024547273824469
House01,323553,6.697100224947566,5,6.690052171498601,0.030564946998703896,4.4956605486902195,10.498905407850266,3.9704595546752213,10.122566977119856,3.7188431687221115,10.431046008962438,4.05348225861104,11.658739215381445
House01,653959,4.607520062499939,5,4.5759101077940505,0.39187394698511335,6.362661834608605,8.486622265546771,5.131155851396477,10.613871332497721,4.321541542364202,10.645555791021026,4.964196180345782,11.307279456980426
House01,661761,3.6852978972008414,4,3.585146559392256,0.10374423148464293,3.339281376010995,6.765691912775781,3.353646862853605,9.083062896642637,3.290898945487676,9.59237744414469,3.210888747027209,9.836455831893705
House01,825101,7.361901876363285,4,7.361919725211983,0.08286402827936373,5.76014618825701,7.578422801414324,5.76328378217768,8.91779026790394,5.917792507996446,9.42942899003065,5.919268143651509,9.642876558462465
House02,251322,3.159982905795925,3,3.1544654543516746,0.2634584662179424,3.1904922256883497,4.577749886985637,2.9319757952187673,6.325738944711063,3.0616436307100323,6.813073560028241,3.0616436307100323,6.813073560028241
House02,276860,3.089965880404663,3,3.056030617967743,0.11197129706244473,2.406689922833907,5.2391042588004755,2.715237015841353,6.75715944719317,2.684104179936603,7.66877084315386,2.684104179936603,7.66877084315386
House02,608060,3.060708219051201,3,3.0315941790978,0.07885341029873708,3.1118549326193974,4.453286945629517,2.8010225087248153,6.305391817448724,2.795219916534662,6.512207841098249,2.795219916534662,6.512207841098249
House02,825201,2.4219832994481494,2,2.7141314713244036,0.07694055660351341,1.4231609607636264,5.501647435634022,1.6242004417057319,8.341302384062466,1.7259023453546134,8.157326707267124,1.7259023453546134,8.157326707267124
House02,868245,3.1123476040213545,3,2.906830583834559,0.07859217708698979,3.223198525619147,5.853649625956933,3.1321367111967042,7.159440010890961,3.070278449425275,7.99702590998286,3.070278449425275,7.99702590998286
House03,274918,7.713083588446473,5,7.74057439963302,0.13892993884282037,7.332113170260497,7.270104347684056,7.519604509022913,9.68339867909996,6.681117429141866,12.878158968149506,5.446134796165573,14.29860962984582
House03,537372,7.636863689855431,5,7.638758905765254,0.18280130615750034,6.91403347754879,7.860551070167166,6.241009290621081,11.058136247830358,5.741039151058856,15.505169218737791,4.336125999579945,16.017789443196683
House03,605421,7.770700162126066,5,7.767562864075968,0.0949789325309098,7.562305341423926,7.391613356317018,7.014723881372288,9.821637251425072,6.961958606821673,11.30160591474193,5.38164940689579,15.361772620000423
House03,825301,7.509959843301904,4,7.5099598433019,0.17768265629326402,6.859623968391442,9.588139555231152,6.215605569977557,12.346086950574485,6.356670042353811,13.824930794315835,5.359598832166855,15.027906313249623
House03,828279,8.848596429071902,5,8.854737766464932,0.24825244538888408,8.348376568694256,7.400409741688581,8.457843598481004,9.452247195096188,7.988733825837278,11.641816040652975,5.743016891132748,14.291790459548439
