environment_index,house,wind,source_index,source_id,target_index,paired_neighbor,rank_B0,rank_M,rank_ICRA_rank,rank_B2,rank_U,delta_pair_mark,delta_pair_U
0,House01,"1,3-2,4_fast",0,pmfs_13_18,0,pmfs_13_19,2,2,4,1,1,2.4672222283087564,24.219290012818902
0,House01,"1,3-2,4_fast",0,pmfs_13_18,1,pmfs_13_19,2,2,4,1,1,2.0292487184056824,105.71435083893755
0,House01,"1,3-2,4_fast",0,pmfs_13_18,2,pmfs_13_19,2,2,4,1,1,1.9989167405948507,31.63564059547349
0,House01,"1,3-2,4_fast",0,pmfs_13_18,3,pmfs_13_19,2,2,4,1,1,2.4055269003057589,133.54324963370016
0,House01,"1,3-2,4_fast",1,pmfs_13_19,0,pmfs_13_18,1,1,3,1,1,-0.97394618228101137,65.026682736332617
0,House01,"1,3-2,4_fast",1,pmfs_13_19,1,pmfs_13_18,1,1,3,3,1,-0.29594851559201629,29.74106624927736
0,House01,"1,3-2,4_fast",1,pmfs_13_19,2,pmfs_13_18,1,1,3,3,1,-0.27795715711296509,23.1006005775115
0,House01,"1,3-2,4_fast",1,pmfs_13_19,3,pmfs_13_18,1,1,3,1,1,-1.3692090832483217,43.746486679113389
0,House01,"1,3-2,4_fast",2,pmfs_27_36,0,pmfs_26_36,2,2,4,1,1,-0.48855720441243378,22.815320432509704
0,House01,"1,3-2,4_fast",2,pmfs_27_36,1,pmfs_26_36,2,2,4,1,1,-0.43534949081961116,22.911557884622955
0,House01,"1,3-2,4_fast",2,pmfs_27_36,2,pmfs_26_36,2,2,4,1,1,-0.36866785039528338,36.890547057545682
0,House01,"1,3-2,4_fast",2,pmfs_27_36,3,pmfs_26_36,2,2,4,1,1,-0.34852390818841172,31.61974387997013
0,House01,"1,3-2,4_fast",3,pmfs_26_36,0,pmfs_27_36,1,1,3,1,1,0.60711709494741228,22.361416317631679
0,House01,"1,3-2,4_fast",3,pmfs_26_36,1,pmfs_27_36,1,1,3,1,1,0.96923250734180044,36.946034760519723
0,House01,"1,3-2,4_fast",3,pmfs_26_36,2,pmfs_27_36,1,1,3,1,1,0.89187784125213909,8.151028621318261
0,House01,"1,3-2,4_fast",3,pmfs_26_36,3,pmfs_27_36,1,1,3,1,1,0.78664526139145607,22.105952856885267
0,House01,"1,3-2,4_fast",4,pmfs_27_1,0,pmfs_27_2,1,1,1,1,2,-0.74695937086424991,-2.4132744402128607
0,House01,"1,3-2,4_fast",4,pmfs_27_1,1,pmfs_27_2,1,1,1,1,2,-0.6540937886542082,-1.5555921574634537
0,House01,"1,3-2,4_fast",4,pmfs_27_1,2,pmfs_27_2,1,1,1,1,1,-0.69252448702614089,1.4766802072490837
0,House01,"1,3-2,4_fast",4,pmfs_27_1,3,pmfs_27_2,1,1,1,1,2,-0.75400687755786322,-1.3892856307164312
0,House01,"1,3-2,4_fast",5,pmfs_27_2,0,pmfs_27_1,2,2,1,2,1,0.77330859129211227,6.6966432687160662
0,House01,"1,3-2,4_fast",5,pmfs_27_2,1,pmfs_27_1,2,2,1,2,2,0.36476750412934678,-2.7128221329879256
0,House01,"1,3-2,4_fast",5,pmfs_27_2,2,pmfs_27_1,2,2,1,2,2,0.34147892587339967,-3.0102085108403305
0,House01,"1,3-2,4_fast",5,pmfs_27_2,3,pmfs_27_1,2,2,1,2,2,0.49638065643564389,-1.4168703562017448
1,House02,"3,5-1_slow",0,pmfs_12_20,0,pmfs_11_20,1,1,4,2,1,-0.79417533175427479,111.56592148019956
1,House02,"3,5-1_slow",0,pmfs_12_20,1,pmfs_11_20,1,1,4,2,1,-0.6164130102569203,33.74902162111583
1,House02,"3,5-1_slow",0,pmfs_12_20,2,pmfs_11_20,1,1,5,2,1,-1.4688288021824008,98.454579480033829
1,House02,"3,5-1_slow",0,pmfs_12_20,3,pmfs_11_20,1,1,5,2,1,-0.50181669405570517,108.998378009555
1,House02,"3,5-1_slow",1,pmfs_11_20,0,pmfs_12_20,1,1,3,1,1,2.5837367920271603,2.3390750520928592
1,House02,"3,5-1_slow",1,pmfs_11_20,1,pmfs_12_20,2,2,3,3,1,0.33349358889195457,6.2672754574405261
1,House02,"3,5-1_slow",1,pmfs_11_20,2,pmfs_12_20,2,1,3,1,1,2.4094485627602609,42.798941881191979
1,House02,"3,5-1_slow",1,pmfs_11_20,3,pmfs_12_20,2,2,3,3,1,1.213989722188245,65.489630530448792
1,House02,"3,5-1_slow",2,pmfs_1_1,0,pmfs_2_1,1,1,3,1,1,-0.32785964446168681,6.0759002151242845
1,House02,"3,5-1_slow",2,pmfs_1_1,1,pmfs_2_1,1,1,3,1,1,-0.06381228836997721,11.489125640260639
1,House02,"3,5-1_slow",2,pmfs_1_1,2,pmfs_2_1,1,1,3,1,1,-0.26905274476825491,10.983675366761874
1,House02,"3,5-1_slow",2,pmfs_1_1,3,pmfs_2_1,1,1,3,1,1,0.38572733937242276,5.099447876884553
1,House02,"3,5-1_slow",3,pmfs_2_1,0,pmfs_1_1,2,2,4,1,2,0.069905197948925135,-6.15524790053888
1,House02,"3,5-1_slow",3,pmfs_2_1,1,pmfs_1_1,2,2,4,2,2,0.030995421955994473,-3.6283782931788333
1,House02,"3,5-1_slow",3,pmfs_2_1,2,pmfs_1_1,2,2,4,1,2,0.00049890635268567962,-6.5518829431063903
1,House02,"3,5-1_slow",3,pmfs_2_1,3,pmfs_1_1,2,2,4,1,1,-0.24551386436392697,0.78138774239138709
1,House02,"3,5-1_slow",4,pmfs_2_38,0,pmfs_2_37,4,4,1,2,4,-4.5819294654054232,-38.614383793173232
1,House02,"3,5-1_slow",4,pmfs_2_38,1,pmfs_2_37,4,4,1,2,4,-2.7306962882332186,-3.3387541381946875
1,House02,"3,5-1_slow",4,pmfs_2_38,2,pmfs_2_37,2,2,1,2,2,-0.64886802212400596,11.765220813743845
1,House02,"3,5-1_slow",4,pmfs_2_38,3,pmfs_2_37,1,1,1,1,1,0.70813487603274794,29.655882317381153
1,House02,"3,5-1_slow",5,pmfs_2_37,0,pmfs_2_38,1,1,2,1,1,4.6013184337759512,41.84860363140259
