timestamp,x,y,z
1788874179.3313074,-3.17,-1.75,0.3
1788874179.5312324,-3.17,-1.75,0.3
1788874179.7457342,-3.17,-1.75,0.3
1788874179.9313734,-3.17,-1.75,0.3
1788874180.1315129,-3.17,-1.75,0.3
1788874180.3313136,-3.17,-1.75,0.3
1788874180.531385,-3.17,-1.75,0.3
1788874180.745979,-3.17,-1.75,0.3
1788874180.9312413,-3.17,-1.75,0.3
1788874181.1316142,-3.17,-1.75,0.3
1788874184.2211657,-3.17,-1.75,0.3
1788874184.2216554,-3.17,-1.75,0.3
1788874184.2223356,-3.17,-1.75,0.3
1788874184.2233503,-3.17,-1.75,0.3
1788874184.2238696,-3.17,-1.75,0.3
1788874184.2245193,-3.17,-1.75,0.3
1788874184.2251437,-3.17,-1.75,0.3
1788874184.2255347,-3.17,-1.75,0.3
1788874184.2259045,-3.17,-1.75,0.3
1788874184.2263217,-3.17,-1.75,0.3
1788874184.2270384,-3.17,-1.75,0.3
1788874184.2274384,-3.17,-1.75,0.3
1788874184.2277575,-3.17,-1.75,0.3
1788874184.228088,-3.17,-1.75,0.3
1788874184.228718,-3.17,-1.75,0.3
1788874184.3490295,-3.17,-1.75,0.3
1788874184.5539265,-3.17,-1.75,0.3
1788874184.7590623,-3.17,-1.75,0.3
1788874184.9533412,-3.17,-1.75,0.3
1788874185.1507862,-3.17,-1.75,0.3
1788874185.3504148,-3.17,-1.75,0.3
1788874185.5485504,-3.17,-1.75,0.3
1788874185.7687914,-3.17,-1.75,0.3
1788874185.9413044,-3.17,-1.75,0.3
1788874186.153746,-3.17,-1.75,0.3
1788874186.347303,-3.17,-1.75,0.3
1788874186.549806,-3.17,-1.75,0.3
1788874186.756685,-3.17,-1.75,0.3
1788874186.9459047,-3.17,-1.75,0.3
1788874187.1486938,-3.17,-1.75,0.3
1788874187.348504,-3.17,-1.75,0.3
1788874187.5399175,-3.17,-1.75,0.3
1788874187.7631364,-3.17,-1.75,0.3
1788874187.9412258,-3.17,-1.75,0.3
1788874188.1448116,-3.17,-1.75,0.3
1788874188.3467166,-3.17,-1.75,0.3
1788874188.5489337,-3.17,-1.75,0.3
1788874188.7532568,-3.17,-1.75,0.3
1788874188.950054,-3.17,-1.75,0.3
1788874189.1504242,-3.17,-1.75,0.3
1788874189.3548167,-3.17,-1.75,0.3
1788874189.5442262,-3.17,-1.75,0.3
1788874189.7541492,-3.17,-1.75,0.3
1788874189.9400456,-3.17,-1.75,0.3
1788874190.139386,-3.17,-1.75,0.3
1788874190.3403795,-3.17,-1.75,0.3
1788874190.5532262,-3.17,-1.75,0.3
1788874190.766304,-3.17,-1.75,0.3
1788874190.9450333,-3.17,-1.75,0.3
1788874191.1492941,-3.17,-1.75,0.3
1788874191.3505619,-3.17,-1.75,0.3
1788874191.5465827,-3.17,-1.75,0.3
1788874191.765359,-3.17,-1.75,0.3
1788874191.9404569,-3.17,-1.75,0.3
1788874192.1512094,-3.17,-1.75,0.3
