candidate_id,origin_i,origin_j,size_i,size_j,center_x,center_y,native_historical_score,native_recomputed_score,native_logscore,sensor_site_logscore,event_logscore,event_brier
quadtree_26_5_2_3,26,5,2,3,0.55000013113021851,-5.9300000369548798,0.720123688609987655518,0.720123688609987544496,-0.328332291990109215174,-0.00419452359741777618812,-13.8643971318967871298,-1.00045164853757251322
quadtree_26_1_2_4,26,1,2,4,0.55000013113021851,-6.9800000786781311,0.715659957408897873243,0.715659957408897984266,-0.334550144651602654466,-0.00504092648575072896366,-13.8802414638964837224,-1.0008061283101379324
quadtree_25_1_1_2,25,1,1,2,0.10000011324882507,-7.2800000905990601,0.710530778512930227819,0.710530778512930116797,-0.341743012871731421942,-0.00650896192382515673819,-13.9100738654250406512,-1.00170329655373935296
quadtree_24_3_2_5,24,3,2,5,-0.049999892711639404,-6.2300000488758087,0.718694977938237666848,0.718694977938237555826,-0.330318242234620362829,-0.00508074445130302001367,-13.8820242105732400972,-1.0008387916986798416
quadtree_23_3_1_2,23,3,1,2,-0.49999991059303284,-6.6800000667572021,0.715117534947959598846,0.715117534947959709868,-0.335308365255186757725,-0.00455729468737288857111,-13.8739572451461619096,-1.00062237365907424902
quadtree_21_4_2_1,21,4,2,1,-0.94999992847442627,-6.5300000607967377,0.722715494490305920827,0.722715494490305920827,-0.324739641196578554538,-0.00587107385660054492682,-13.8993381249877039352,-1.0013093004166628841
quadtree_20_3_1_2,20,3,1,2,-1.3999999463558197,-6.6800000667572021,0.715781736699989235007,0.715781736699989235007,-0.334379995504925864314,-0.00569164791811541288802,-13.8962916637006852483,-1.00120083297615525275
quadtree_16_2_1_2,16,2,1,2,-2.5999999940395355,-6.9800000786781311,0.709812969929045745054,0.709812969929045745054,-0.342753766283759420119,-0.00204852900496496842866,-13.8155295579737735778,-1
quadtree_17_3_1_2,17,3,1,2,-2.2999999821186066,-6.6800000667572021,0.709814772161010187901,0.709814772161010298923,-0.342751227263266844414,-0.00204852900496496842866,-13.8155295579737735778,-1
quadtree_14_4_3_1,14,4,3,1,-2.9000000059604645,-6.5300000607967377,0.709815581012062102317,0.709815581012061991295,-0.342750087739798703357,-0.00204852900496496842866,-13.8155295579737735778,-1
quadtree_15_5_3_5,15,5,3,5,-2.5999999940395355,-5.6300000250339508,0.709816669034079028577,0.7098166690340791396,-0.342748554917453984725,-0.00204852900496496842866,-13.8155295579737735778,-1
quadtree_26_14_2_3,26,14,2,3,0.55000013113021851,-3.2299999296665192,0.30120837637772812645,0.301208376377727626849,-1.19995297342407392094,-0.107150840919285866848,-16.2593981891489036684,-1.74604587324807303261
quadtree_23_14_1_3,23,14,1,3,-0.49999991059303284,-3.2299999296665192,0.203714791133794870248,0.20371479113379398207,-1.59103434604485771686,-0.147460661866879227944,-17.5235238738043257456,-2.36906690421396604052
quadtree_24_12_2_5,24,12,2,5,-0.049999892711639404,-3.5299999415874481,0.241343871521697922455,0.241343871521697006521,-1.42153250969151656591,-0.132740828654035469825,-17.0303043587765579048,-2.12292136131513720088
quadtree_20_5_4_3,20,5,4,3,-0.94999992847442627,-5.9300000369548798,0.671872850767390006332,0.671872850767390006332,-0.397686166529063966912,-0.0129575461424298842006,-14.0396128970968891991,-1.00932807113291689305
quadtree_12_19_5_5,12,19,5,5,-3.2000000178813934,-1.4299998581409454,0.00423736256069943278968,0.00423736256069944753483,-5.46381424085479139308,-0.633795169675301472978,-43.9240903663097199683,-8.11535221537782902601
quadtree_21_25_1_4,21,25,1,4,-1.0999999344348907,0.22000020742416382,0.317662449372552613269,0.317662449372552335713,-1.14676593993132902582,-0.106990387366339451125,-16.2507242591190887993,-1.73772343001108708904
quadtree_20_23_1_4,20,23,1,4,-1.3999999463558197,-0.37999981641769409,0.173720543029314611339,0.173720543029314444805,-1.75030734543210741982,-0.180498018369781604298,-18.8032321534141999564,-2.98662809840487675217
quadtree_19_25_1_2,19,25,1,2,-1.6999999582767487,-0.079999804496765137,0.210412772417842647288,0.210412772417841870132,-1.55868409455308731815,-0.152078233629796971682,-17.6805325960930446172,-2.44335967408466236961
quadtree_17_26_2_2,17,26,2,2,-2.1499999761581421,0.22000020742416382,0.275018478085075679385,0.275018478085075679385,-1.29091699053627784188,-0.146891827659906382131,-6.26247652362446682872,-1.78632456024432606512
quadtree_21_33_4_1,21,33,4,1,-0.64999991655349731,2.170000284910202,0.722295124518490982979,0.722295124518490982979,-0.325321463887905004686,-0.00781186815255588504897,-13.9377253688493034645,-1.00258813602571228429
quadtree_26_35_2_2,26,35,2,2,0.55000013113021851,2.9200003147125244,0.277443256834188634041,0.277443256834188245463,-1.28213884658130727878,-0.111739371242196502965,-16.3873691631400006941,-1.80401870850212375785
quadtree_21_34_5_3,21,34,5,3,-0.49999991059303284,2.7700003087520599,0.680208830109825801635,0.680208830109825801635,-0.38535542485580515093,-0.0187432817396866700788,-14.1557710465744985839,-1.02072601765990178535
quadtree_20_29_1_3,20,29,1,3,-1.3999999463558197,1.2700002491474152,0.449324893560755889155,0.449324893560756277733,-0.800009059231050034811,-0.0637343225237908816982,-15.1374390850089852734,-1.26569602920345558594
quadtree_15_31_5_1,15,31,5,1,-2.2999999821186066,1.5700002610683441,0.629755666534065894346,0.629755666534066005369,-0.462423365720720014327,-0.0264570792470752193248,-14.3137708152400069395,-1.04304841243602353096
quadtree_17_32_4_4,17,32,4,4,-1.8499999642372131,2.3200002908706665,0.712773656809502109688,0.712773656809502442755,-0.338591360846436317811,-0.0100426972151285796159,-13.9815769192215029193,-1.00470259770841452429
quadtree_15_32_2_4,15,32,2,4,-2.75,2.3200002908706665,0.715300291854010894532,0.71530029185401078351,-0.335052835851650132604,-0.00896103996893607597507,-13.9602550423239506472,-1.00352450100120260679
quadtree_18_36_2_1,18,36,2,1,-1.8499999642372131,3.0700003206729889,0.727996757734673649587,0.727996757734673760609,-0.317458684456531026186,-0.00223664739554461401705,-13.8291885601437201103,-1.00002077064016359209
quadtree_12_36_5_1,12,36,5,1,-3.2000000178813934,3.0700003206729889,0.725295298629966223025,0.72529529862996644507,-0.321176398599907653164,-0.00223562581917880094651,-13.8241952825617300249,-1.00001494708237337328
quadtree_8_24_4_4,8,24,4,4,-4.5500000715255737,-0.079999804496765137,0.000900938999965131205767,0.000900938999965129687884,-7.01207300523928100944,-0.813082764913951594465,-53.7407899600699394682,-11.5520512744296617313
quadtree_7_20_1_2,7,20,1,2,-5.3000001013278961,-1.5799998641014099,0.000978679623245563108311,0.000978679623245563758832,-6.92930621797447798826,-0.805940753068882020926,-55.5524659800713465074,-11.6390956331436896676
quadtree_2_19_5_3,2,19,5,3,-6.200000137090683,-1.7299998700618744,0.000945438475020407716708,0.000945438475020404464101,-6.96386174335221319609,-0.810169941983013286446,-41.7513074553682841383,-11.8691476137492415432
quadtree_9_32_1_3,9,32,1,3,-4.7000000774860382,2.170000284910202,0.721494032391540751625,0.721494032391540640603,-0.32643117191601306315,-0.002056730726411367359,-13.8206995253334969931,-1.00000535051749839255
quadtree_10_36_2_1,10,36,2,1,-4.2500000596046448,3.0700003206729889,0.724843118389593588091,0.724843118389593144002,-0.321800035970963460574,-0.00210346477366671292739,-13.8229206727020699219,-1.00000915857727279423
quadtree_6_31_1_5,6,31,1,5,-5.6000001132488251,2.170000284910202,0.0004862045758654899596,0.000486204575865490339071,-7.62888108463848801932,-0.875639275505600167548,-59.8481206999127977042,-13.4092172360035544187
quadtree_5_29_1_3,5,29,1,3,-5.900000125169754,1.2700002491474152,0.000454957551863496715075,0.000454957551863497528227,-7.69530643597304742087,-0.885436936212515290912,-67.0992358378502586902,-13.6193956600253187617
quadtree_2_31_3_1,2,31,3,1,-6.5000001490116119,1.5700002610683441,0.000420347135087834858531,0.000420347135087833611699,-7.7744296759460214119,-0.898876907449450701648,-67.5205415311720855698,-13.771485027121917355
quadtree_2_36_5_1,2,36,5,1,-6.200000137090683,3.0700003206729889,0.000336852728267157685866,0.000336852728267157956916,-7.99586473123710828048,-0.926436505679794963797,-76.5619934261523695795,-13.9082745955413642491
quadtree_9_31_5_1,9,31,5,1,-4.1000000536441803,1.5700002610683441,0.725318948277045683071,0.725318948277045683071,-0.321143792209708789365,-0.00221182929340638621818,-13.8237411619326024947,-1.00001315327072948236
quadtree_1_27_5_2,1,27,5,2,-6.5000001490116119,0.52000021934509277,0.000464784702120413120534,0.000464784702120411982122,-7.67393626579004450861,-0.886126572229345987886,-60.3915622045133275719,-13.5214567986778444464
quadtree_6_27_1_2,6,27,1,2,-5.6000001132488251,0.52000021934509277,0.000423722056621632424487,0.000423722056621631502915,-7.76643284451975013383,-0.895857988783029912661,-71.345693075158777674,-13.7675846208506413859
quadtree_6_22_2_5,6,22,2,5,-5.4500001072883606,-0.52999982237815857,0.000436831951334630584974,0.000436831951334631127075,-7.73596198754894182059,-0.897697452169659015908,-79.6774949156230292147,-13.8347735752293772293
quadtree_1_18_1_4,1,18,1,4,-7.1000001728534698,-1.8799998760223389,0.00211336028441483532447,0.00211336028441483662552,-6.159476046404746441,-0.712575881114854370324,-25.73854688058939999,-9.64447309677295905317
quadtree_1_22_5_5,1,22,5,5,-6.5000001490116119,-0.52999982237815857,0.000544371419425153770313,0.000544371419425153553473,-7.51587878778413731595,-0.869105722667508628909,-53.160607525248636307,-13.2288780547394750897
quadtree_20_10_1_5,20,10,1,5,-1.3999999463558197,-4.129999965429306,0.175500634304398467345,0.175500634304397884478,-1.74011262181267456484,-0.156454546592973892105,-17.8458482134688765086,-2.52862181231019089722
quadtree_19_19_2_4,19,19,2,4,-1.5499999523162842,-1.5799998641014099,0.0655819231153288578762,0.0655819231153287190983,-2.72445518327268176861,-0.284995571685144166718,-28.8735935130899541434,-5.51889850727632236271
quadtree_22_27_4_2,22,27,4,2,-0.34999990463256836,0.52000021934509277,0.585559236272415573055,0.585559236272415573055,-0.535187928948484104019,-0.035114924428328149475,-14.4960445125372316966,-1.07860035888738936549
quadtree_22_25_2_2,22,25,2,2,-0.64999991655349731,-0.079999804496765137,0.332104569773523539133,0.332104569773523261578,-1.10230539046067388398,-0.103060572074552422861,-16.1408940649303254133,-1.68614648680471557185
quadtree_24_26_5_1,24,26,5,1,0.40000012516975403,0.070000201463699341,0.639792565585528771877,0.639792565585528771877,-0.4466112714380622295,-0.0268537571361918310509,-14.3221747914650539002,-1.04483905337031357519
quadtree_20_8_2_2,20,8,2,2,-1.2499999403953552,-5.1800000071525574,0.492608171393733418331,0.492608171393733473842,-0.708041205139062324037,-0.0465513883526005242675,-14.7457697085281278504,-1.14285671232843011325
quadtree_10_32_5_4,10,32,5,4,-3.8000000417232513,2.3200002908706665,0.72823173946291785974,0.72823173946291785974,-0.317135958001533324602,-0.00209749190336026500314,-13.8265015944851121787,-1.00001503950855630265
quadtree_2_18_3_1,2,18,3,1,-6.5000001490116119,-2.3299998939037323,0.00116785295200556881769,0.00116785295200557141977,-6.75258829975733032569,-0.782287337109911162791,-37.7973130870709042028,-11.184842673666478774
quadtree_20_1_5_2,20,1,5,2,-0.79999992251396179,-7.2800000905990601,0.722156149097521349312,0.722156149097521571356,-0.325513890484685153304,-0.00254014848686142562587,-13.8338970963742742271,-1.00005468806041597496
quadtree_1_10_5_4,1,10,5,4,-6.5000001490116119,-4.2799999713897705,0.0565172224249206808788,0.0565172224249207780233,-2.87320986559841751173,-0.30172350264052472113,-62.1489381263486961871,-5.99936642271378239855
quadtree_6_13_2_3,6,13,2,3,-5.4500001072883606,-3.5299999415874481,0.056815283924634772672,0.0568152839246347657332,-2.86794990627122770022,-0.301380494441611024303,-48.9115051449649911319,-5.99105695611039656967
quadtree_9_18_5_1,9,18,5,1,-4.1000000536441803,-2.3299998939037323,0.00263816790631169351827,0.0026381679063116883141,-5.93767057761788130676,-0.679095216809016077875,-41.9811660477698396221,-8.99139855248641595153
quadtree_14_18_3_1,14,18,3,1,-2.9000000059604645,-2.3299998939037323,0.00794618234287080421607,0.00794618234287081635914,-4.83506367409681914182,-0.550664836398441104315,-32.6356473965959352768,-7.00968339161936793147
quadtree_8_9_1_5,8,9,1,5,-5.0000000894069672,-4.429999977350235,0.0571411947815794116212,0.0571411947815793769268,-2.8622299726749900195,-0.300630567512120250306,-42.815823949455854347,-5.9697657342990950724
quadtree_8_14_5_2,8,14,5,2,-4.4000000655651093,-3.3799999356269836,0.0570293434673554838765,0.057029343467355581021,-2.86418934593754492823,-0.301398571513670610056,-50.5911104469395169758,-5.99360701238562576521
quadtree_1_5_3_5,1,5,3,5,-6.8000001609325409,-5.6300000250339508,0.0567628755914120972093,0.0567628755914120902704,-2.86887276568655069653,-0.301509214709316852865,-50.3092036355851845997,-5.99323835245994995802
quadtree_21_14_2_2,21,14,2,2,-0.94999992847442627,-3.3799999356269836,0.0981634287135634414634,0.0981634287135635108523,-2.32112154934473480239,-0.236318984312532620606,-22.0374233407440200949,-4.25354000224419515064
quadtree_2_32_4_4,2,32,4,4,-6.3500001430511475,2.3200002908706665,0.000517140493114249112476,0.000517140493114249546157,-7.56719597353625594849,-0.866212695984915237446,-54.0568029555891769178,-13.1474728461171554983
quadtree_1_1_5_4,1,1,5,4,-6.5000001490116119,-6.9800000786781311,0.0670393010370585185065,0.0670393010370584491175,-2.70247624892085847037,-0.28114624520866393631,-27.9244223078211071254,-5.42270144733233117051
quadtree_6_2_2_3,6,2,2,3,-5.4500001072883606,-6.8300000727176666,0.0733313899323272816444,0.0733313899323272677666,-2.61276652257185082462,-0.270645117637582810488,-25.83827575632338025,-5.13771438690137927097
quadtree_6_1_3_1,6,1,3,1,-5.3000001013278961,-7.4300000965595245,0.0826068848983080999959,0.0826068848983080167292,-2.49366224964905480732,-0.25211791385841136881,-23.4550187668968241894,-4.65124798571407449543
quadtree_8_4_1_5,8,4,1,5,-5.0000000894069672,-5.9300000369548798,0.0613283493613309763082,0.0613283493613309763082,-2.79151307375614932127,-0.293610813054317798532,-32.6010990737430290665,-5.76921621259572958706
quadtree_11_5_4_5,11,5,4,5,-3.6500000357627869,-5.6300000250339508,0.7098167962856253288,0.7098167962856253288,-0.342748375643649350053,-0.00204852900496496842866,-13.8155295579737735778,-1
quadtree_8_2_1_2,8,2,1,2,-5.0000000894069672,-6.9800000786781311,0.076524089874628956065,0.076524089874628956065,-2.57014968739839977374,-0.262587428298218295009,-24.6660699855852953988,-4.92351658066620867515
quadtree_11_1_3_4,11,1,3,4,-3.8000000417232513,-6.9800000786781311,0.709813721573389955211,0.709813721573389955211,-0.342752707351367258415,-0.00204852900496496842866,-13.8155295579737735778,-1
quadtree_13_14_5_2,13,14,5,2,-2.9000000059604645,-3.3799999356269836,0.0583291943594319503563,0.0583291943594318670896,-2.84165255008238615275,-0.299078560022368766802,-38.0969583928410742146,-5.92242343949305194428
quadtree_14_1_2_2,14,1,2,2,-3.050000011920929,-7.2800000905990601,0.709812668094643606231,0.709812668094643606231,-0.342754191514741513025,-0.00204852900496496842866,-13.8155295579737735778,-1
quadtree_18_14_1_2,18,14,1,2,-1.9999999701976776,-3.3799999356269836,0.0636848028325863318999,0.0636848028325863041443,-2.7538093189240666625,-0.287396197997916269529,-29.7340424573590595969,-5.59378635753484765303
quadtree_19_15_2_4,19,15,2,4,-1.5499999523162842,-2.7799999117851257,0.0675319760147169434461,0.0675319760147169018127,-2.69515407453640376545,-0.279025240140650221399,-27.4121484970397588654,-5.36166996324280020758
quadtree_16_10_1_4,16,10,1,4,-2.5999999940395355,-4.2799999713897705,0.539194735315198458991,0.539194735315198681036,-0.617678483313014892175,-0.0387609825963113815983,-14.5709423814787335516,-1.09820826633198898037
quadtree_12_24_5_4,12,24,5,4,-3.2000000178813934,-0.079999804496765137,0.0148398218818921647649,0.0148398218818920919065,-4.21044104388285234108,-0.495417257276850542258,-14.0881582589495302216,-5.24019549821747165907
