candidate_id,origin_i,origin_j,size_i,size_j,center_x,center_y,native_historical_score,native_recomputed_score,native_logscore,sensor_site_logscore,event_logscore,event_brier
quadtree_14_31_1_1,14,31,1,1,-3.2000000178813934,1.5700002610683441,0.720747757478649053731,0.720747757478649386798,-0.32746605384044025211,-0.00801121123745959437534,-13.9415869914588395062,-1.00262918503222686617
quadtree_7_27_1_1,7,27,1,1,-5.3000001013278961,0.3700002133846283,0.000512479885558253501175,0.000512479885558252742234,-7.57624909541313584782,-0.877580056219848358978,-63.5686146281091879473,-13.3116054433142441127
quadtree_8_19_4_5,8,19,4,5,-4.5500000715255737,-1.4299998581409454,0.00102413671662249607976,0.00102413671662249651344,-6.88390524895014177531,-0.802078479606156857784,-58.3978219512883711673,-11.3949164856827884762
quadtree_19_27_2_2,19,27,2,2,-1.5499999523162842,0.52000021934509277,0.299754358557976885447,0.299754358557976496868,-1.20479194453643612128,-0.115944000641643216176,-16.5086330575851789604,-1.86138224499947568802
quadtree_24_25_1_1,24,25,1,1,-0.19999989867210388,-0.22999981045722961,0.565622203852867766471,0.565622203852867544427,-0.569828908004708978297,-0.0390201872115358422421,-14.5798334380855312276,-1.09768566259437516663
quadtree_26_27_2_2,26,27,2,2,0.55000013113021851,0.52000021934509277,0.69901717903976667845,0.699017179039766456405,-0.358079960455524481944,-0.0143094574741689326697,-14.0664449271807363573,-1.01123515580308520612
quadtree_28_27_1_1,28,27,1,1,1.0000001490116119,0.3700002133846283,0.725030652424127342037,0.72503065242412745306,-0.321541345815509638228,-0.00265709477703969260826,-13.837318073814696362,-1.00006777625082987626
quadtree_6_10_2_3,6,10,2,3,-5.4500001072883606,-4.429999977350235,0.0565401835863824156481,0.0565401835863823185035,-2.8728036797042366679,-0.301643422163474228537,-54.5061980280650715258,-5.99707860718314655912
quadtree_4_5_4_5,4,5,4,5,-5.7500001192092896,-5.6300000250339508,0.0569708893469640167972,0.0569708893469640029195,-2.86521485481715654231,-0.301285087371196524941,-46.977430392272623294,-5.98683843046915953323
quadtree_15_10_1_2,15,10,1,2,-2.9000000059604645,-4.5799999833106995,0.709816889830363617619,0.709816889830363617619,-0.342748243856500045545,-0.00204852900496496842866,-13.8155295579737735778,-1
quadtree_17_10_1_2,17,10,1,2,-2.2999999821186066,-4.5799999833106995,0.709817053493390637264,0.709817053493390637264,-0.342748013285756436552,-0.00204852900496496842866,-13.8155295579737735778,-1
quadtree_19_14_1_1,19,14,1,1,-1.6999999582767487,-3.5299999415874481,0.0681042032386042495151,0.0681042032386041801262,-2.68671634616596133327,-0.277644928380102018473,-27.1255190941712456265,-5.3255029916332148332
