panel_index	source_bank_row	source_id	pmfs_i	pmfs_j	x_m	y_m	z_m
90	375	pmfs_13_18	13	18	-1.34273	-1.90088	0.2
91	398	pmfs_14_12	14	12	-1.0427299999999995	-3.70088	0.2
92	399	pmfs_14_13	14	13	-1.0427299999999995	-3.4008799999999995	0.2
93	400	pmfs_14_14	14	14	-1.0427299999999995	-3.100879999999999	0.2
94	401	pmfs_14_15	14	15	-1.0427299999999995	-2.80088	0.2
95	402	pmfs_14_16	14	16	-1.0427299999999995	-2.5008799999999995	0.2
96	403	pmfs_14_17	14	17	-1.0427299999999995	-2.20088	0.2
97	404	pmfs_14_18	14	18	-1.0427299999999995	-1.90088	0.2
98	416	pmfs_15_12	15	12	-0.7427299999999999	-3.70088	0.2
99	417	pmfs_15_13	15	13	-0.7427299999999999	-3.4008799999999995	0.2
100	418	pmfs_15_14	15	14	-0.7427299999999999	-3.100879999999999	0.2
101	419	pmfs_15_15	15	15	-0.7427299999999999	-2.80088	0.2
102	420	pmfs_15_16	15	16	-0.7427299999999999	-2.5008799999999995	0.2
103	421	pmfs_15_17	15	17	-0.7427299999999999	-2.20088	0.2
104	422	pmfs_15_18	15	18	-0.7427299999999999	-1.90088	0.2
105	434	pmfs_16_12	16	12	-0.44273	-3.70088	0.2
106	435	pmfs_16_13	16	13	-0.44273	-3.4008799999999995	0.2
107	436	pmfs_16_14	16	14	-0.44273	-3.100879999999999	0.2
108	437	pmfs_16_15	16	15	-0.44273	-2.80088	0.2
109	438	pmfs_16_16	16	16	-0.44273	-2.5008799999999995	0.2
110	439	pmfs_16_17	16	17	-0.44273	-2.20088	0.2
111	440	pmfs_16_18	16	18	-0.44273	-1.90088	0.2
112	454	pmfs_17_12	17	12	-0.1427300000000002	-3.70088	0.2
113	455	pmfs_17_13	17	13	-0.1427300000000002	-3.4008799999999995	0.2
114	456	pmfs_17_14	17	14	-0.1427300000000002	-3.100879999999999	0.2
115	457	pmfs_17_15	17	15	-0.1427300000000002	-2.80088	0.2
116	458	pmfs_17_16	17	16	-0.1427300000000002	-2.5008799999999995	0.2
117	459	pmfs_17_17	17	17	-0.1427300000000002	-2.20088	0.2
118	460	pmfs_17_18	17	18	-0.1427300000000002	-1.90088	0.2
119	474	pmfs_18_12	18	12	0.1572699999999995	-3.70088	0.2
120	475	pmfs_18_13	18	13	0.1572699999999995	-3.4008799999999995	0.2
121	476	pmfs_18_14	18	14	0.1572699999999995	-3.100879999999999	0.2
122	477	pmfs_18_15	18	15	0.1572699999999995	-2.80088	0.2
123	478	pmfs_18_16	18	16	0.1572699999999995	-2.5008799999999995	0.2
124	479	pmfs_18_17	18	17	0.1572699999999995	-2.20088	0.2
125	480	pmfs_18_18	18	18	0.1572699999999995	-1.90088	0.2
126	495	pmfs_19_12	19	12	0.4572700000000003	-3.70088	0.2
127	496	pmfs_19_13	19	13	0.4572700000000003	-3.4008799999999995	0.2
128	497	pmfs_19_14	19	14	0.4572700000000003	-3.100879999999999	0.2
129	498	pmfs_19_15	19	15	0.4572700000000003	-2.80088	0.2
130	499	pmfs_19_16	19	16	0.4572700000000003	-2.5008799999999995	0.2
131	500	pmfs_19_17	19	17	0.4572700000000003	-2.20088	0.2
132	501	pmfs_19_18	19	18	0.4572700000000003	-1.90088	0.2
133	516	pmfs_20_12	20	12	0.7572700000000001	-3.70088	0.2
134	517	pmfs_20_13	20	13	0.7572700000000001	-3.4008799999999995	0.2
135	518	pmfs_20_14	20	14	0.7572700000000001	-3.100879999999999	0.2
136	519	pmfs_20_15	20	15	0.7572700000000001	-2.80088	0.2
137	520	pmfs_20_16	20	16	0.7572700000000001	-2.5008799999999995	0.2
138	521	pmfs_20_17	20	17	0.7572700000000001	-2.20088	0.2
139	522	pmfs_20_18	20	18	0.7572700000000001	-1.90088	0.2
140	535	pmfs_21_12	21	12	1.05727	-3.70088	0.2
141	536	pmfs_21_13	21	13	1.05727	-3.4008799999999995	0.2
142	537	pmfs_21_14	21	14	1.05727	-3.100879999999999	0.2
143	538	pmfs_21_15	21	15	1.05727	-2.80088	0.2
144	539	pmfs_21_16	21	16	1.05727	-2.5008799999999995	0.2
145	540	pmfs_21_17	21	17	1.05727	-2.20088	0.2
146	541	pmfs_21_18	21	18	1.05727	-1.90088	0.2
147	554	pmfs_22_12	22	12	1.3572699999999998	-3.70088	0.2
148	555	pmfs_22_13	22	13	1.3572699999999998	-3.4008799999999995	0.2
149	556	pmfs_22_14	22	14	1.3572699999999998	-3.100879999999999	0.2
150	557	pmfs_22_15	22	15	1.3572699999999998	-2.80088	0.2
151	558	pmfs_22_16	22	16	1.3572699999999998	-2.5008799999999995	0.2
152	559	pmfs_22_17	22	17	1.3572699999999998	-2.20088	0.2
153	560	pmfs_22_18	22	18	1.3572699999999998	-1.90088	0.2
154	573	pmfs_23_12	23	12	1.6572699999999996	-3.70088	0.2
155	574	pmfs_23_13	23	13	1.6572699999999996	-3.4008799999999995	0.2
156	575	pmfs_23_14	23	14	1.6572699999999996	-3.100879999999999	0.2
157	576	pmfs_23_15	23	15	1.6572699999999996	-2.80088	0.2
158	577	pmfs_23_16	23	16	1.6572699999999996	-2.5008799999999995	0.2
159	578	pmfs_23_17	23	17	1.6572699999999996	-2.20088	0.2
160	579	pmfs_23_18	23	18	1.6572699999999996	-1.90088	0.2
161	592	pmfs_24_12	24	12	1.9572699999999996	-3.70088	0.2
162	593	pmfs_24_13	24	13	1.9572699999999996	-3.4008799999999995	0.2
163	594	pmfs_24_14	24	14	1.9572699999999996	-3.100879999999999	0.2
164	595	pmfs_24_15	24	15	1.9572699999999996	-2.80088	0.2
165	596	pmfs_24_16	24	16	1.9572699999999996	-2.5008799999999995	0.2
166	597	pmfs_24_17	24	17	1.9572699999999996	-2.20088	0.2
167	598	pmfs_24_18	24	18	1.9572699999999996	-1.90088	0.2
