arm,candidate_id,origin_i,origin_j,size_i,size_j,center_x,center_y,source_score,map_file
A,quadtree_21_14_2_2,21,14,2,2,-0.94999992847442627,-3.3799999356269836,0.0313918468406821858291,maps/quadtree_21_14_2_2.f32
A,quadtree_2_32_4_4,2,32,4,4,-6.3500001430511475,2.3200002908706665,0.0456596508604757028568,maps/quadtree_2_32_4_4.f32
A,quadtree_1_1_5_4,1,1,5,4,-6.5000001490116119,-6.9800000786781311,0.00013922697884555162723,maps/quadtree_1_1_5_4.f32
A,quadtree_6_2_2_3,6,2,2,3,-5.4500001072883606,-6.8300000727176666,0.000201797017925861425016,maps/quadtree_6_2_2_3.f32
A,quadtree_6_1_3_1,6,1,3,1,-5.3000001013278961,-7.4300000965595245,0.00151728964210061210301,maps/quadtree_6_1_3_1.f32
A,quadtree_8_4_1_5,8,4,1,5,-5.0000000894069672,-5.9300000369548798,0.000376825954342412766157,maps/quadtree_8_4_1_5.f32
A,quadtree_11_5_4_5,11,5,4,5,-3.6500000357627869,-5.6300000250339508,0.0313918468406821858291,maps/quadtree_11_5_4_5.f32
A,quadtree_8_2_1_2,8,2,1,2,-5.0000000894069672,-6.9800000786781311,0.00111805764012402125722,maps/quadtree_8_2_1_2.f32
A,quadtree_11_1_3_4,11,1,3,4,-3.8000000417232513,-6.9800000786781311,0.0313918468406821858291,maps/quadtree_11_1_3_4.f32
A,quadtree_13_14_5_2,13,14,5,2,-2.9000000059604645,-3.3799999356269836,0.0313918468406888739166,maps/quadtree_13_14_5_2.f32
A,quadtree_14_1_2_2,14,1,2,2,-3.050000011920929,-7.2800000905990601,0.0313918468406821858291,maps/quadtree_14_1_2_2.f32
A,quadtree_18_14_1_2,18,14,1,2,-1.9999999701976776,-3.3799999356269836,0.0313918468406821858291,maps/quadtree_18_14_1_2.f32
A,quadtree_19_15_2_4,19,15,2,4,-1.5499999523162842,-2.7799999117851257,0.0313918468406821858291,maps/quadtree_19_15_2_4.f32
A,quadtree_16_10_1_4,16,10,1,4,-2.5999999940395355,-4.2799999713897705,0.0313918468406821858291,maps/quadtree_16_10_1_4.f32
A,quadtree_12_24_5_4,12,24,5,4,-3.2000000178813934,-0.079999804496765137,6.68315037653582955766e-05,maps/quadtree_12_24_5_4.f32
