environment_index,house,wind,mean_delta_pair_mark,mean_delta_pair_U,B0_mean_rank,B0_top1,B0_rescued_top1,B0_harmed_top1,M_mean_rank,M_top1,M_rescued_top1,M_harmed_top1,ICRA_rank_mean_rank,ICRA_rank_top1,ICRA_rank_rescued_top1,ICRA_rank_harmed_top1,B2_mean_rank,B2_top1,B2_rescued_top1,B2_harmed_top1,U_mean_rank,U_top1,U_rescued_top1,U_harmed_top1
0,House01,"1,3-2,4_fast",0.28024912725524342,27.341843307571292,1.5,0.5,0,0,1.5,0.5,0,0,2.6666666666666665,0.33333333333333331,4,8,1.3333333333333333,0.75,8,2,1.25,0.75,9,3
1,House02,"3,5-1_slow",0.28582130645837184,22.862568402739925,1.75,0.5,0,0,1.7083333333333333,0.54166666666666663,1,0,2.9166666666666665,0.16666666666666666,3,11,1.5,0.58333333333333337,6,4,1.5833333333333333,0.66666666666666663,4,0
2,House02,"4,5-3_slow",0.042637105480823036,15.105751209078548,1.5,0.5,0,0,1.5,0.5,0,0,2.5,0.33333333333333331,4,8,1.4583333333333333,0.58333333333333337,4,2,1.3333333333333333,0.66666666666666663,4,0
