timestamp,x,y,z
1788890743.4842908,-3.17,-1.75,0.3
1788890743.6830513,-3.17,-1.75,0.3
1788890743.9039574,-3.17,-1.75,0.3
1788890744.0830557,-3.17,-1.75,0.3
1788890744.2835488,-3.17,-1.75,0.3
1788890744.4826534,-3.17,-1.75,0.3
1788890744.6829524,-3.17,-1.75,0.3
1788890744.8967948,-3.17,-1.75,0.3
1788890745.0828207,-3.17,-1.75,0.3
1788890745.2827134,-3.17,-1.75,0.3
1788890748.3882356,-3.17,-1.75,0.3
1788890748.3892152,-3.17,-1.75,0.3
1788890748.3900585,-3.17,-1.75,0.3
1788890748.3906066,-3.17,-1.75,0.3
1788890748.3915794,-3.17,-1.75,0.3
1788890748.392364,-3.17,-1.75,0.3
1788890748.393119,-3.17,-1.75,0.3
1788890748.3935614,-3.17,-1.75,0.3
1788890748.3940077,-3.17,-1.75,0.3
1788890748.3943832,-3.17,-1.75,0.3
1788890748.3947263,-3.17,-1.75,0.3
1788890748.3950775,-3.17,-1.75,0.3
1788890748.3953965,-3.17,-1.75,0.3
1788890748.3957033,-3.17,-1.75,0.3
1788890748.396087,-3.17,-1.75,0.3
1788890748.5011613,-3.17,-1.75,0.3
1788890748.7012591,-3.17,-1.75,0.3
1788890748.9124258,-3.17,-1.75,0.3
1788890749.105446,-3.17,-1.75,0.3
1788890749.297272,-3.17,-1.75,0.3
1788890749.50067,-3.17,-1.75,0.3
1788890749.6967735,-3.17,-1.75,0.3
1788890749.905171,-3.17,-1.75,0.3
1788890750.091944,-3.17,-1.75,0.3
1788890750.2942953,-3.17,-1.75,0.3
1788890750.494425,-3.17,-1.75,0.3
1788890750.6910305,-3.17,-1.75,0.3
1788890750.9055598,-3.17,-1.75,0.3
1788890751.095239,-3.17,-1.75,0.3
1788890751.3014102,-3.17,-1.75,0.3
1788890751.501492,-3.17,-1.75,0.3
1788890751.7031732,-3.17,-1.75,0.3
1788890751.9102378,-3.17,-1.75,0.3
1788890752.097435,-3.17,-1.75,0.3
1788890752.3001416,-3.17,-1.75,0.3
1788890752.5044312,-3.17,-1.75,0.3
1788890752.7033432,-3.17,-1.75,0.3
1788890752.9096835,-3.17,-1.75,0.3
1788890753.1062334,-3.17,-1.75,0.3
1788890753.301114,-3.17,-1.75,0.3
1788890753.5005875,-3.17,-1.75,0.3
1788890753.7035868,-3.17,-1.75,0.3
1788890753.9114177,-3.17,-1.75,0.3
1788890754.1067674,-3.17,-1.75,0.3
1788890754.2937973,-3.17,-1.75,0.3
1788890754.4950204,-3.17,-1.75,0.3
1788890754.6941657,-3.17,-1.75,0.3
1788890754.9084675,-3.17,-1.75,0.3
1788890755.105619,-3.17,-1.75,0.3
1788890755.2933383,-3.17,-1.75,0.3
1788890755.4982102,-3.17,-1.75,0.3
1788890755.6968112,-3.17,-1.75,0.3
1788890755.907222,-3.17,-1.75,0.3
1788890756.100362,-3.17,-1.75,0.3
1788890756.3051436,-3.17,-1.75,0.3
1788890756.4980352,-3.17,-1.75,0.3
1788890756.692653,-3.17,-1.75,0.3
1788890756.9100416,-3.17,-1.75,0.3
1788890757.1032228,-3.17,-1.75,0.3
1788890757.305717,-3.17,-1.75,0.3
1788890757.5043151,-3.17,-1.75,0.3
1788890757.6939344,-3.17,-1.75,0.3
1788890757.9173896,-3.17,-1.75,0.3
1788890758.1005032,-3.17,-1.75,0.3
1788890758.3009233,-3.17,-1.75,0.3
1788890758.5014517,-3.17,-1.75,0.3
1788890758.6984632,-3.17,-1.75,0.3
1788890758.9137862,-3.17,-1.75,0.3
1788890759.094053,-3.17,-1.75,0.3
1788890759.3017876,-3.17,-1.75,0.3
1788890759.5006046,-3.17,-1.75,0.3
1788890759.7038352,-3.17,-1.75,0.3
1788890759.9155724,-3.17,-1.75,0.3
1788890760.0930908,-3.17,-1.75,0.3
1788890760.301266,-3.17,-1.75,0.3
1788890760.490993,-3.17,-1.75,0.3
1788890760.7029614,-3.17,-1.75,0.3
1788890760.9175472,-3.17,-1.75,0.3
1788890761.0924935,-3.17,-1.75,0.3
1788890761.294245,-3.17,-1.75,0.3
1788890761.4924605,-3.17,-1.75,0.3
1788890761.6912167,-3.17,-1.75,0.3
1788890761.921516,-3.17,-1.75,0.3
1788890762.1020935,-3.17,-1.75,0.3
1788890762.3011262,-3.17,-1.75,0.3
1788890762.5014207,-3.17,-1.75,0.3
1788890762.701382,-3.17,-1.75,0.3
1788890762.9157481,-3.17,-1.75,0.3
1788890763.101974,-3.17,-1.75,0.3
1788890763.2977805,-3.17,-1.75,0.3
1788890763.4972382,-3.17,-1.75,0.3
1788890763.7044256,-3.17,-1.75,0.3
1788890763.9185967,-3.17,-1.75,0.3
1788890764.1029053,-3.17,-1.75,0.3
1788890764.3027449,-3.17,-1.75,0.3
1788890764.4919724,-3.17,-1.75,0.3
1788890764.7020206,-3.17,-1.75,0.3
1788890764.9136696,-3.17,-1.75,0.3
1788890765.102133,-3.17,-1.75,0.3
1788890765.302741,-3.17,-1.75,0.3
1788890765.4920845,-3.17,-1.75,0.3
1788890765.704621,-3.17,-1.75,0.3
1788890765.9124942,-3.17,-1.75,0.3
1788890766.0984108,-3.17,-1.75,0.3
1788890766.2984111,-3.4639444872453593,-1.7299999999999986,0.3
1788890766.5023518,-3.6866369367879996,-1.5433630632119983,0.3
1788890766.703151,-3.898768971143964,-1.3312310288560343,0.3
1788890766.9053636,-4.100000381469727,-1.1299996376037598,0.3
1788890767.098209,-4.100000381469727,-1.1299996376037598,0.3
1788890767.297408,-4.100000381469727,-1.1299996376037598,0.3
1788890767.5023212,-4.100000381469727,-1.1299996376037598,0.3
1788890767.6928966,-4.100000381469727,-1.1299996376037598,0.3
1788890767.917643,-4.100000381469727,-1.1299996376037598,0.3
1788890768.0961366,-4.100000381469727,-1.1299996376037598,0.3
1788890768.291505,-4.100000381469727,-1.1299996376037598,0.3
1788890768.4994793,-4.100000381469727,-1.1299996376037598,0.3
1788890768.7039456,-4.100000381469727,-1.1299996376037598,0.3
1788890768.9153829,-4.100000381469727,-1.1299996376037598,0.3
1788890769.1004193,-4.100000381469727,-1.1299996376037598,0.3
1788890769.3005028,-4.100000381469727,-1.1299996376037598,0.3
1788890769.4930756,-4.100000381469727,-1.1299996376037598,0.3
1788890769.7074645,-4.100000381469727,-1.1299996376037598,0.3
1788890769.9167602,-4.100000381469727,-1.1299996376037598,0.3
1788890770.095309,-4.100000381469727,-1.1299996376037598,0.3
1788890770.3022623,-4.100000381469727,-1.1299996376037598,0.3
1788890770.491279,-4.100000381469727,-1.1299996376037598,0.3
1788890770.703649,-4.100000381469727,-1.1299996376037598,0.3
1788890770.9150355,-4.100000381469727,-1.1299996376037598,0.3
1788890771.1009676,-4.100000381469727,-1.1299996376037598,0.3
1788890771.3010852,-4.100000381469727,-1.1299996376037598,0.3
1788890771.4977832,-4.100000381469727,-1.1299996376037598,0.3
1788890771.7024493,-4.100000381469727,-1.1299996376037598,0.3
1788890771.9057655,-4.100000381469727,-1.1299996376037598,0.3
1788890772.1030748,-4.100000381469727,-1.1299996376037598,0.3
1788890772.3015451,-4.100000381469727,-1.1299996376037598,0.3
1788890772.4953258,-4.100000381469727,-1.1299996376037598,0.3
1788890772.6919117,-4.100000381469727,-1.1299996376037598,0.3
1788890772.916692,-4.100000381469727,-1.1299996376037598,0.3
1788890773.1015482,-4.100000381469727,-1.1299996376037598,0.3
1788890773.2925675,-4.100000381469727,-1.1299996376037598,0.3
1788890773.4993904,-4.100000381469727,-1.1299996376037598,0.3
1788890773.693525,-4.100000381469727,-1.1299996376037598,0.3
1788890773.91052,-4.100000381469727,-1.1299996376037598,0.3
1788890774.0982468,-4.100000381469727,-1.1299996376037598,0.3
1788890774.3034246,-4.100000381469727,-1.1299996376037598,0.3
1788890774.4994519,-4.100000381469727,-1.1299996376037598,0.3
1788890774.6926162,-4.100000381469727,-1.1299996376037598,0.3
1788890774.9062388,-4.100000381469727,-1.1299996376037598,0.3
1788890775.0922072,-4.100000381469727,-1.1299996376037598,0.3
1788890775.2920015,-4.100000381469727,-1.1299996376037598,0.3
1788890775.4920554,-4.100000381469727,-1.1299996376037598,0.3
1788890775.7003496,-4.100000381469727,-1.1299996376037598,0.3
1788890775.9127913,-4.100000381469727,-1.1299996376037598,0.3
1788890776.0981686,-4.100000381469727,-1.1299996376037598,0.3
1788890776.3001952,-4.100000381469727,-1.1299996376037598,0.3
1788890776.5037227,-4.100000381469727,-1.1299996376037598,0.3
1788890776.6957357,-4.100000381469727,-1.1299996376037598,0.3
1788890776.9130387,-4.100000381469727,-1.1299996376037598,0.3
1788890777.0993376,-4.100000381469727,-1.1299996376037598,0.3
1788890777.2925508,-4.100000381469727,-1.1299996376037598,0.3
1788890777.4956326,-4.100000381469727,-1.1299996376037598,0.3
1788890777.7025414,-4.100000381469727,-1.1299996376037598,0.3
1788890777.9120328,-4.100000381469727,-1.1299996376037598,0.3
1788890778.1012866,-4.100000381469727,-1.1299996376037598,0.3
1788890778.3025022,-4.100000381469727,-1.1299996376037598,0.3
1788890778.5034673,-4.100000381469727,-1.1299996376037598,0.3
1788890778.7056885,-4.100000381469727,-1.1299996376037598,0.3
1788890778.9131987,-4.100000381469727,-1.1299996376037598,0.3
1788890779.0987551,-4.100000381469727,-1.1299996376037598,0.3
1788890779.2980292,-4.100000381469727,-1.1299996376037598,0.3
1788890779.4993193,-4.100000381469727,-1.1299996376037598,0.3
1788890779.7033417,-4.100000381469727,-1.1299996376037598,0.3
1788890779.9128168,-4.100000381469727,-1.1299996376037598,0.3
1788890780.0973601,-4.100000381469727,-1.1299996376037598,0.3
1788890780.291555,-4.100000381469727,-1.1299996376037598,0.3
1788890780.4928987,-4.100000381469727,-1.1299996376037598,0.3
1788890780.6996286,-4.100000381469727,-1.1299996376037598,0.3
1788890780.9222941,-4.100000381469727,-1.1299996376037598,0.3
1788890781.1032684,-4.100000381469727,-1.1299996376037598,0.3
1788890781.301264,-4.100000381469727,-1.1299996376037598,0.3
1788890781.4975371,-4.100000381469727,-1.1299996376037598,0.3
1788890781.7029357,-4.100000381469727,-1.1299996376037598,0.3
1788890781.9200437,-4.100000381469727,-1.1299996376037598,0.3
1788890782.105347,-4.100000381469727,-1.1299996376037598,0.3
1788890782.3011098,-4.100000381469727,-1.1299996376037598,0.3
1788890782.4990134,-4.100000381469727,-1.1299996376037598,0.3
1788890782.7027986,-4.100000381469727,-1.1299996376037598,0.3
1788890782.911211,-4.100000381469727,-1.1299996376037598,0.3
1788890783.0926805,-4.399999473834449,-1.129999999999999,0.3
1788890783.30131,-4.699999473834449,-1.129999999999999,0.3
1788890783.492497,-4.912131662300736,-0.9178683376992637,0.3
1788890783.6992354,-5.0,-0.8299999237060547,0.3
1788890783.9130135,-5.0,-0.8299999237060547,0.3
1788890784.1034653,-5.0,-0.8299999237060547,0.3
1788890784.3051345,-5.0,-0.8299999237060547,0.3
1788890784.5030673,-5.0,-0.8299999237060547,0.3
1788890784.7015204,-5.0,-0.8299999237060547,0.3
1788890784.9068985,-5.0,-0.8299999237060547,0.3
1788890785.1046035,-5.0,-0.8299999237060547,0.3
1788890785.3021193,-5.0,-0.8299999237060547,0.3
1788890785.493909,-5.0,-0.8299999237060547,0.3
1788890785.7023864,-5.0,-0.8299999237060547,0.3
1788890785.9135358,-5.0,-0.8299999237060547,0.3
1788890786.0924,-5.0,-0.8299999237060547,0.3
1788890786.3026967,-5.0,-0.8299999237060547,0.3
1788890786.504651,-5.0,-0.8299999237060547,0.3
1788890786.7006695,-5.0,-0.8299999237060547,0.3
1788890786.9187222,-5.0,-0.8299999237060547,0.3
1788890787.0976655,-5.0,-0.8299999237060547,0.3
1788890787.3022904,-5.0,-0.8299999237060547,0.3
1788890787.4918754,-5.0,-0.8299999237060547,0.3
1788890787.6992989,-5.0,-0.8299999237060547,0.3
1788890787.9075644,-5.0,-0.8299999237060547,0.3
1788890788.0988142,-5.0,-0.8299999237060547,0.3
1788890788.301987,-5.0,-0.8299999237060547,0.3
1788890788.4920042,-5.0,-0.8299999237060547,0.3
1788890788.705305,-5.0,-0.8299999237060547,0.3
1788890788.9139488,-5.0,-0.8299999237060547,0.3
1788890789.1006567,-5.0,-0.8299999237060547,0.3
1788890789.3026562,-5.0,-0.8299999237060547,0.3
1788890789.4974785,-5.0,-0.8299999237060547,0.3
1788890789.693166,-5.0,-0.8299999237060547,0.3
1788890789.9067278,-5.0,-0.8299999237060547,0.3
1788890790.091827,-5.0,-0.8299999237060547,0.3
1788890790.294009,-5.0,-0.8299999237060547,0.3
1788890790.5001674,-5.0,-0.8299999237060547,0.3
1788890790.6971703,-5.0,-0.8299999237060547,0.3
1788890790.921093,-5.0,-0.8299999237060547,0.3
1788890791.097757,-5.0,-0.8299999237060547,0.3
1788890791.2920098,-5.0,-0.8299999237060547,0.3
1788890791.4994469,-5.0,-0.8299999237060547,0.3
1788890791.6952095,-5.0,-0.8299999237060547,0.3
1788890791.9210696,-5.0,-0.8299999237060547,0.3
