environment_index,house,wind,source_index,source_id,target_index,seed,cube_sha256,model,truth_nll,truth_rank,top1,top3,brier,mass_0p5m,mass_1m,expected_distance_m,map_distance_error_m,map_source_id,nearest_confusion,true_vs_nearest_logodds
0,House01,"1,3-2,4_fast",4,pmfs_27_1,1,640940692,104d121347d8c7dd742f8e221ee4e17d9ff4a65d9224b9320e2a7537aee4831f,FULL,2.842170943040401e-14,1,1,1,0.0,0.9999999999999716,0.9999999999999716,2.98445313099786e-13,0.0,pmfs_27_1,0,72.4363346154037
0,House01,"1,3-2,4_fast",4,pmfs_27_1,2,459421915,80481cfb1373576a598e4a515d4f1b91dbd7b9ba96de6e3cb7774dc23bc21e0d,FULL,3.730349362740526e-14,1,1,1,0.0,0.9999999999999627,0.9999999999999627,3.970770401944224e-13,0.0,pmfs_27_1,0,67.48323578482898
0,House01,"1,3-2,4_fast",4,pmfs_27_1,3,691240492,7b7b9338a269c8e92d83aa4aa103e403262494fa177c926e251ad3fbf14460ce,FULL,3.019806626980426e-14,1,1,1,0.0,0.9999999999999698,0.9999999999999698,3.2189364879932683e-13,0.0,pmfs_27_1,0,82.97250925772813
0,House01,"1,3-2,4_fast",5,pmfs_27_2,0,169204970,f95045e1b9293d7a67f7616bcb183316323bd3d895a051db9a70d8f3cd940acf,FULL,1.0338219169625518e-10,1,1,1,0.0,0.9999999998966178,0.9999999998966178,1.0545634988147461e-09,0.0,pmfs_27_2,0,190.48511436602237
0,House01,"1,3-2,4_fast",5,pmfs_27_2,1,694263111,5b0770246cccb8bd0503d8a51ca8894bb4a9b8e0520c0fae3c76a015e69f9444,FULL,1.2002843163827492e-11,1,1,1,0.0,0.9999999999879972,0.9999999999879972,1.2243853325018496e-10,0.0,pmfs_27_2,0,237.1809097910238
0,House01,"1,3-2,4_fast",5,pmfs_27_2,2,88925021,b1b4e0911b02ac177e839ead9d6dfb26837bf308143b8bd02c45d16d5dd70c95,FULL,2.603783855192887e-11,1,1,1,0.0,0.9999999999739622,0.9999999999739622,2.656121510634446e-10,0.0,pmfs_27_2,0,128.2096169825005
0,House01,"1,3-2,4_fast",5,pmfs_27_2,3,12449631,40987f8c5127465b6b79b32d13935d8f5abc7b44008042cd6bfc1b77f85b5869,FULL,3.121254366078574e-10,1,1,1,0.0,0.9999999996878746,0.9999999996878746,3.1839055791891097e-09,0.0,pmfs_27_2,0,217.77119214767563
0,House01,"1,3-2,4_fast",0,pmfs_13_18,0,1518485619,a8a147aa71b340dcf6aa57e7f386963db577e14658935deaaa306f907a3d6c46,BLOCK_PRODUCT,3.4449854200351986,2,0,1,1.8744149781822248,1.0000000000000016,1.0000000000000016,0.2904284318351083,0.2999999999999998,pmfs_13_19,1,-3.4125601293054615
0,House01,"1,3-2,4_fast",0,pmfs_13_18,1,446612736,5ac451c9540d0535920bee4b2d3ea2a5d3b491e85dcf6609b46ce33ab3177611,BLOCK_PRODUCT,0.008610038410227006,1,1,1,0.00014699533902629014,1.0000000000000007,1.0000000000000007,0.002571923454572945,0.0,pmfs_13_18,0,4.750518391365979
0,House01,"1,3-2,4_fast",0,pmfs_13_18,2,1721139348,920e71eaa7775fe78c1b45b454531ac25288b5e82ae549a2885e229adb618629,BLOCK_PRODUCT,0.0002857997454732697,1,1,1,1.633163078107458e-07,1.0000000000000004,1.0000000000000004,8.572767258505188e-05,0.0,pmfs_13_18,0,8.160076279767944
