environment_index,source_id,target_index,nearest_id,full_logodds,bp_logodds,mbd_logodds
0,pmfs_13_18,0,pmfs_13_19,3.2466583184560225,-3.4125601293054615,-1.6770535356601286
0,pmfs_13_18,1,pmfs_13_19,10.363955677308063,4.750518391365979,5.6637032989305585
0,pmfs_13_18,2,pmfs_13_19,13.937504422588908,8.160076279767944,7.932996651924171
0,pmfs_13_18,3,pmfs_13_19,8.129419672511593,3.459393607297363,3.7089427297892428
0,pmfs_13_19,0,pmfs_13_18,6.540369977407499,13.15549743687879,9.96155884551981
0,pmfs_13_19,1,pmfs_13_18,344.2996776751247,-367.63226501496297,-183.32965403686137
0,pmfs_13_19,2,pmfs_13_18,4.327285204735849,8.25714528617743,5.557227040353233
0,pmfs_13_19,3,pmfs_13_18,15.571488965516838,24.120990141861633,18.912851577406343
0,pmfs_27_36,0,pmfs_26_36,4.8854075425687,15.060559754238115,8.339077084124241
0,pmfs_27_36,1,pmfs_26_36,4.904732161147326,14.79587871192565,8.350887690607026
0,pmfs_27_36,2,pmfs_26_36,4.827884880385785,13.496260704019281,7.0616931802445215
0,pmfs_27_36,3,pmfs_26_36,7.599745514720416,12.704978065647069,7.294500058437777
0,pmfs_26_36,0,pmfs_27_36,155.0030548695803,9978.0274658274,193.70587221808532
0,pmfs_26_36,1,pmfs_27_36,4.798607266696157,86.73140403163809,7.839673355863649
0,pmfs_26_36,2,pmfs_27_36,2.1282469989416786,132.66378224118137,0.8126644696388556
0,pmfs_26_36,3,pmfs_27_36,480.1565985555404,237381.10320898742,515.5102979612138
0,pmfs_27_1,0,pmfs_27_2,76.33663525124648,65.02619824123812,81.84339855289775
0,pmfs_27_1,1,pmfs_27_2,72.4363346154037,62.929023252704795,79.2855488538669
0,pmfs_27_1,2,pmfs_27_2,67.48323578482898,57.9004761628085,71.71846711996321
0,pmfs_27_1,3,pmfs_27_2,82.97250925772813,68.69197755546648,87.51359174062542
0,pmfs_27_2,0,pmfs_27_1,190.48511436602237,115.91396244030055,194.16955307158088
0,pmfs_27_2,1,pmfs_27_1,237.1809097910238,238.9237560348383,207.24379413110077
0,pmfs_27_2,2,pmfs_27_1,128.2096169825005,100.62471090961544,128.5471444466284
0,pmfs_27_2,3,pmfs_27_1,217.77119214767563,189.11830930190447,203.73102712757589
1,pmfs_12_20,0,pmfs_11_20,71.12461645810616,37.435445309830435,41.461775637303894
1,pmfs_12_20,1,pmfs_11_20,54.166180527927594,24.184250211550236,22.986876580172726
1,pmfs_12_20,2,pmfs_11_20,47.58847195643458,29.168660385826996,32.74526538013387
1,pmfs_12_20,3,pmfs_11_20,132.20596078323726,70.95633116897962,68.16796993424255
1,pmfs_11_20,0,pmfs_12_20,-129.01352163488596,-36.53061980034874,-14.990373620531955
1,pmfs_11_20,1,pmfs_12_20,54.700939064045606,21.829270863261137,25.241456076478663
