phase	environment_index	house	wind	source_index	source_id	source_xyz	new_index	seed_key	requested_seed	run_dir
REFERENCE	0	House01	1,3-2,4_fast	1	pmfs_13_19	[-3.5, -2.0300000000000002, 0.2]	4	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_13_19|reference_new_index=4	1260874944	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_13_19/reference_04_seed_1260874944
REFERENCE	0	House01	1,3-2,4_fast	1	pmfs_13_19	[-3.5, -2.0300000000000002, 0.2]	5	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_13_19|reference_new_index=5	1412235908	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_13_19/reference_05_seed_1412235908
REFERENCE	0	House01	1,3-2,4_fast	2	pmfs_27_36	[0.7000000000000002, 3.0699999999999994, 0.2]	0	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_27_36|reference_new_index=0	1974962296	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_27_36/reference_00_seed_1974962296
REFERENCE	0	House01	1,3-2,4_fast	2	pmfs_27_36	[0.7000000000000002, 3.0699999999999994, 0.2]	1	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_27_36|reference_new_index=1	1410905665	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_27_36/reference_01_seed_1410905665
REFERENCE	0	House01	1,3-2,4_fast	2	pmfs_27_36	[0.7000000000000002, 3.0699999999999994, 0.2]	2	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_27_36|reference_new_index=2	1283973256	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_27_36/reference_02_seed_1283973256
REFERENCE	0	House01	1,3-2,4_fast	2	pmfs_27_36	[0.7000000000000002, 3.0699999999999994, 0.2]	3	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_27_36|reference_new_index=3	1102651342	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_27_36/reference_03_seed_1102651342
REFERENCE	0	House01	1,3-2,4_fast	2	pmfs_27_36	[0.7000000000000002, 3.0699999999999994, 0.2]	4	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_27_36|reference_new_index=4	1029077012	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_27_36/reference_04_seed_1029077012
REFERENCE	0	House01	1,3-2,4_fast	2	pmfs_27_36	[0.7000000000000002, 3.0699999999999994, 0.2]	5	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_27_36|reference_new_index=5	321327923	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_27_36/reference_05_seed_321327923
REFERENCE	0	House01	1,3-2,4_fast	3	pmfs_26_36	[0.39999999999999947, 3.0699999999999994, 0.2]	0	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_26_36|reference_new_index=0	1458471231	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_26_36/reference_00_seed_1458471231
REFERENCE	0	House01	1,3-2,4_fast	3	pmfs_26_36	[0.39999999999999947, 3.0699999999999994, 0.2]	1	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_26_36|reference_new_index=1	1229853046	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_26_36/reference_01_seed_1229853046
REFERENCE	0	House01	1,3-2,4_fast	3	pmfs_26_36	[0.39999999999999947, 3.0699999999999994, 0.2]	2	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_26_36|reference_new_index=2	1285774688	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_26_36/reference_02_seed_1285774688
REFERENCE	0	House01	1,3-2,4_fast	3	pmfs_26_36	[0.39999999999999947, 3.0699999999999994, 0.2]	3	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_26_36|reference_new_index=3	2083661608	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_26_36/reference_03_seed_2083661608
REFERENCE	0	House01	1,3-2,4_fast	3	pmfs_26_36	[0.39999999999999947, 3.0699999999999994, 0.2]	4	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_26_36|reference_new_index=4	779342148	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_26_36/reference_04_seed_779342148
REFERENCE	0	House01	1,3-2,4_fast	3	pmfs_26_36	[0.39999999999999947, 3.0699999999999994, 0.2]	5	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_26_36|reference_new_index=5	1453872	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_26_36/reference_05_seed_1453872
REFERENCE	0	House01	1,3-2,4_fast	4	pmfs_27_1	[0.7000000000000002, -7.43, 0.2]	0	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_27_1|reference_new_index=0	2119679418	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_27_1/reference_00_seed_2119679418
REFERENCE	0	House01	1,3-2,4_fast	4	pmfs_27_1	[0.7000000000000002, -7.43, 0.2]	1	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_27_1|reference_new_index=1	1510227022	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_27_1/reference_01_seed_1510227022
