environment_index,house,wind,mean_delta_bp,mean_delta_mbd,positive_sources_bp,positive_sources_mbd,full_mean_nll,bp_mean_nll,mbd_mean_nll
0,House01,"1,3-2,4_fast",15.455010669265803,7.724269892450203,2,3,0.008213376133534381,15.463224045399336,7.732483268583738
1,House02,"3,5-1_slow",-27.611016420214153,-26.201839182515865,1,2,34.28223723865143,6.671220818437281,8.080398056135573
2,House02,"4,5-3_slow",-51.877680968176556,-74.92394311423539,3,5,172.1556613376106,120.27798036943405,97.2317182233752
