metric,spearman_source_vs_field,p,truth_rank_0to1,n1,truth_rank_1to0,n0,best_match_source_dist_0to1,best_match_source_dist_1to0,top5pct_median_source_dist_0to1,top5pct_median_source_dist_1to0,common_cells,truth_candidate_dist0,truth_candidate_dist1,house
MAD,-0.05466324743682081,2.316741722063368e-16,4.0,148,2.0,152,2.017288375036344,2.017288375036344,2.2500807888620744,3.2746814838748675,221,0.13542243823578204,0.13542243823578204,House01
Hellinger,0.06019224694752935,1.6291761500344204e-19,4.0,148,2.0,152,2.017288375036344,2.017288375036344,2.2500807888620744,3.2746814838748675,221,0.13542243823578204,0.13542243823578204,House01
MAD,0.1376565444744714,1.1751797993718814e-90,22.0,144,23.0,148,2.296516707220228,2.976703786143002,3.5618845795550733,3.1806647348711667,268,0.4264428422300538,0.4264428422300538,House02
Hellinger,0.33512228366233354,0.0,1.0,144,2.0,148,0.4264428422300538,2.976703786143002,1.7729248429850326,2.8868055641214316,268,0.4264428422300538,0.4264428422300538,House02
MAD,0.38318377371150164,0.0,1.0,199,1.0,197,1.0331796637465571,1.0331796637465571,3.2658870604432786,3.2658870604432786,250,1.0331796637465571,1.0331796637465571,House03
Hellinger,0.5543157543883674,0.0,1.0,199,1.0,197,1.0331796637465571,1.0331796637465571,3.2658870604432786,3.2658870604432786,250,1.0331796637465571,1.0331796637465571,House03
