source_id,replicate,rng_seed,path
pmfs_11_6,15,2026093047,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_11_6/rep_15_seed_2026093047/pooled.npy
pmfs_11_6,16,2026093048,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_11_6/rep_16_seed_2026093048/pooled.npy
pmfs_12_27,1,2026093049,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_12_27/rep_01_seed_2026093049/pooled.npy
pmfs_12_27,2,2026093050,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_12_27/rep_02_seed_2026093050/pooled.npy
pmfs_12_27,3,2026093051,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_12_27/rep_03_seed_2026093051/pooled.npy
pmfs_12_27,4,2026093052,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_12_27/rep_04_seed_2026093052/pooled.npy
pmfs_12_27,5,2026093053,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_12_27/rep_05_seed_2026093053/pooled.npy
pmfs_12_27,6,2026093054,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_12_27/rep_06_seed_2026093054/pooled.npy
pmfs_12_27,7,2026093055,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_12_27/rep_07_seed_2026093055/pooled.npy
pmfs_12_27,8,2026093056,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_12_27/rep_08_seed_2026093056/pooled.npy
pmfs_12_27,9,2026093057,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_12_27/rep_09_seed_2026093057/pooled.npy
pmfs_12_27,10,2026093058,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_12_27/rep_10_seed_2026093058/pooled.npy
pmfs_12_27,11,2026093059,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_12_27/rep_11_seed_2026093059/pooled.npy
pmfs_12_27,12,2026093060,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_12_27/rep_12_seed_2026093060/pooled.npy
pmfs_12_27,13,2026093061,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_12_27/rep_13_seed_2026093061/pooled.npy
pmfs_12_27,14,2026093062,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_12_27/rep_14_seed_2026093062/pooled.npy
pmfs_12_27,15,2026093063,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_12_27/rep_15_seed_2026093063/pooled.npy
pmfs_12_27,16,2026093064,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_12_27/rep_16_seed_2026093064/pooled.npy
pmfs_14_1,1,2026093065,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_14_1/rep_01_seed_2026093065/pooled.npy
pmfs_14_1,2,2026093066,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_14_1/rep_02_seed_2026093066/pooled.npy
pmfs_14_1,3,2026093067,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_14_1/rep_03_seed_2026093067/pooled.npy
pmfs_14_1,4,2026093068,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_14_1/rep_04_seed_2026093068/pooled.npy
pmfs_14_1,5,2026093069,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_14_1/rep_05_seed_2026093069/pooled.npy
pmfs_14_1,6,2026093070,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_14_1/rep_06_seed_2026093070/pooled.npy
pmfs_14_1,7,2026093071,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_14_1/rep_07_seed_2026093071/pooled.npy
pmfs_14_1,8,2026093072,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_14_1/rep_08_seed_2026093072/pooled.npy
pmfs_14_1,9,2026093073,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_14_1/rep_09_seed_2026093073/pooled.npy
pmfs_14_1,10,2026093074,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_14_1/rep_10_seed_2026093074/pooled.npy
pmfs_14_1,11,2026093075,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_14_1/rep_11_seed_2026093075/pooled.npy
pmfs_14_1,12,2026093076,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_14_1/rep_12_seed_2026093076/pooled.npy
pmfs_14_1,13,2026093077,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_14_1/rep_13_seed_2026093077/pooled.npy
pmfs_14_1,14,2026093078,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_14_1/rep_14_seed_2026093078/pooled.npy
pmfs_14_1,15,2026093079,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_14_1/rep_15_seed_2026093079/pooled.npy
pmfs_14_1,16,2026093080,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_14_1/rep_16_seed_2026093080/pooled.npy
pmfs_25_32,1,2026093081,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_25_32/rep_01_seed_2026093081/pooled.npy
pmfs_25_32,2,2026093082,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_25_32/rep_02_seed_2026093082/pooled.npy
pmfs_25_32,3,2026093083,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_25_32/rep_03_seed_2026093083/pooled.npy
pmfs_25_32,4,2026093084,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_25_32/rep_04_seed_2026093084/pooled.npy
pmfs_25_32,5,2026093085,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_25_32/rep_05_seed_2026093085/pooled.npy
pmfs_25_32,6,2026093086,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_25_32/rep_06_seed_2026093086/pooled.npy
pmfs_25_32,7,2026093087,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_25_32/rep_07_seed_2026093087/pooled.npy
pmfs_25_32,8,2026093088,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_25_32/rep_08_seed_2026093088/pooled.npy
pmfs_25_32,9,2026093089,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_25_32/rep_09_seed_2026093089/pooled.npy
pmfs_25_32,10,2026093090,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_25_32/rep_10_seed_2026093090/pooled.npy
pmfs_25_32,11,2026093091,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_25_32/rep_11_seed_2026093091/pooled.npy
pmfs_25_32,12,2026093092,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_25_32/rep_12_seed_2026093092/pooled.npy
pmfs_25_32,13,2026093093,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_25_32/rep_13_seed_2026093093/pooled.npy
