cell_index,grid_i,grid_j,x,y,occupancy,probability,logOdds,confidence,omega,distanceFromRobot,originalPropagationDirection_x,originalPropagationDirection_y
0,0,0,-7.4000000953674316,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
1,1,0,-7.1000003814697266,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
2,2,0,-6.8000001907348633,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
3,3,0,-6.5,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
4,4,0,-6.2000002861022949,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
5,5,0,-5.9000000953674316,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
6,6,0,-5.6000003814697266,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
7,7,0,-5.3000001907348633,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
8,8,0,-5,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
9,9,0,-4.6999998092651367,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
10,10,0,-4.4000000953674316,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
11,11,0,-4.1000003814697266,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
12,12,0,-3.7999999523162842,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
13,13,0,-3.5,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
14,14,0,-3.1999998092651367,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
15,15,0,-2.9000000953674316,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
16,16,0,-2.5999999046325684,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
17,17,0,-2.3000001907348633,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
18,18,0,-2,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
19,19,0,-1.6999998092651367,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
20,20,0,-1.4000000953674316,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
21,21,0,-1.0999999046325684,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
22,22,0,-0.79999971389770508,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
23,23,0,-0.5,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
24,24,0,-0.19999980926513672,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
25,25,0,0.099999904632568359,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
26,26,0,0.40000009536743164,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
27,27,0,0.69999980926513672,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
28,28,0,1,-7.7300000190734863,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
29,0,1,-7.4000000953674316,-7.4300003051757812,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
30,1,1,-7.1000003814697266,-7.4300003051757812,Free,0.099999685828489393,-2.1972280681356553,1,31.915382432114647,0,0,0
31,2,1,-6.8000001907348633,-7.4300003051757812,Free,0.099999685828489393,-2.1972280681356553,0.99999996862044538,4.319277321072085,1,1,0
32,3,1,-6.5,-7.4300003051757812,Free,0.099999685828489393,-2.1972280681356553,0.041921624445660499,0.010706423178576473,2,1,0
33,4,1,-6.2000002861022949,-7.4300003051757812,Free,0.099999685828489393,-2.1972280681356553,2.3331362926093391e-06,5.832847535830356e-07,3,1,0
34,5,1,-5.9000000953674316,-7.4300003051757812,Free,0.099999685828489393,-2.1972280681356553,2.0471159101198566e-08,5.1177898194454337e-09,4,1,0
35,6,1,-5.6000003814697266,-7.4300003051757812,Free,0.099999685828489393,-2.1972280681356553,6.815970010620731e-11,1.7039919515052793e-11,5,1,0
36,7,1,-5.3000001907348633,-7.4300003051757812,Free,0.099999685828489393,-2.1972280681356553,5.8841820305133297e-15,1.4805739834142492e-15,6,1,0
37,8,1,-5,-7.4300003051757812,Free,0.099999685828489393,-2.1972280681356553,0,3.361210809719364e-22,7,1,0
38,9,1,-4.6999998092651367,-7.4300003051757812,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
39,10,1,-4.4000000953674316,-7.4300003051757812,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
40,11,1,-4.1000003814697266,-7.4300003051757812,Free,0.099999685828489393,-2.1972280681356553,0,0,37.620841979980469,0.44721359014511108,0.89442718029022217
41,12,1,-3.7999999523162842,-7.4300003051757812,Free,0.099999685828489393,-2.1972280681356553,0,0,37.206626892089844,0.44721359014511108,0.89442718029022217
42,13,1,-3.5,-7.4300003051757812,Free,0.099999685828489393,-2.1972280681356553,0,0,36.792411804199219,0.44721359014511108,0.89442718029022217
43,14,1,-3.1999998092651367,-7.4300003051757812,Free,0.099999685828489393,-2.1972280681356553,0,0,36.378204345703125,0.44721359014511108,0.89442718029022217
44,15,1,-2.9000000953674316,-7.4300003051757812,Free,0.099999685828489393,-2.1972280681356553,0,0,35.9639892578125,0.44721359014511108,0.89442718029022217
45,16,1,-2.5999999046325684,-7.4300003051757812,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
46,17,1,-2.3000001907348633,-7.4300003051757812,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
47,18,1,-2,-7.4300003051757812,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
48,19,1,-1.6999998092651367,-7.4300003051757812,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
49,20,1,-1.4000000953674316,-7.4300003051757812,Free,0.099999685828489393,-2.1972280681356553,0,0,39.549774169921875,0.44721359014511108,0.89442718029022217
