environment_index,house,wind,mean_delta_nll,median_delta_nll,trimmed_20_mean_delta_nll,positive_source_count,positive_target_fraction,full_mean_nll,shuffled_median_mean_nll,relative_mean_nll_improvement,full_mean_truth_rank,shuffled_median_mean_truth_rank,full_top3_fraction,shuffled_median_top3_fraction
0,House01,"1,3-2,4_fast",10.835137038798225,3.7058597585951574e-06,0.7797915755351813,5,0.5833333333333334,5.070138932782721,15.905275971580949,0.6812291127898762,1.3333333333333333,1.6666666666666667,1.0,0.9166666666666666
1,House02,"3,5-1_slow",4.066775374583108,-1.1102230246251562e-16,0.04686742319875223,3,0.4166666666666667,1.7596929604039193,5.826468334987026,0.6979829187713524,1.3333333333333333,1.3333333333333333,1.0,1.0
2,House02,"4,5-3_slow",15.496861392279792,8.314048613774369e-05,6.674654326639397,4,0.5,114.07448102323661,129.5713424155164,0.11960099435092375,1.5,1.8333333333333333,0.9166666666666666,0.9166666666666666
