environment_index,house,wind,source_index,source_id,mean_delta_nll,positive,full_mean_nll,shuffled_median_mean_nll
0,House01,"1,3-2,4_fast",0,pmfs_13_18,3.7058597585951574e-06,1,8.469080991574316e-11,3.705944449405073e-06
0,House01,"1,3-2,4_fast",1,pmfs_13_19,23.01535909376928,1,12.804979786316055,35.82033888008534
0,House01,"1,3-2,4_fast",2,pmfs_27_36,1.3883012471806875,1,0.00011822932652876537,1.3884194765072164
0,House01,"1,3-2,4_fast",3,pmfs_26_36,0.00024395445656608586,1,2.3008415505621897e-05,0.00026696287207170774
0,House01,"1,3-2,4_fast",4,pmfs_27_1,-4.785061236134305e-14,0,4.785061236134305e-14,0.0
0,House01,"1,3-2,4_fast",5,pmfs_27_2,40.60691423152311,1,17.6157125725535,58.22262680407662
1,House02,"3,5-1_slow",0,pmfs_12_20,-1.1102230246251562e-16,0,2.2204460492503126e-16,1.1102230246251564e-16
1,House02,"3,5-1_slow",1,pmfs_11_20,22.22747081443185,1,0.7598744222206233,22.987345236652473
1,House02,"3,5-1_slow",2,pmfs_1_1,5.142489896240626,1,5.471654738337013,10.614144634577638
1,House02,"3,5-1_slow",3,pmfs_2_1,-0.00014866825207208444,0,0.00014879174374406572,1.234916719812719e-07
1,House02,"3,5-1_slow",4,pmfs_2_38,0.00025620016181795264,1,0.000139880816447446,0.00039608097826539864
1,House02,"3,5-1_slow",5,pmfs_2_37,-2.9694159950835752,0,4.3263399293056874,1.3569239342221118
2,House02,"4,5-3_slow",0,pmfs_12_20,38.227978626215304,1,605.6611253420064,643.8891039682217
2,House02,"4,5-3_slow",1,pmfs_11_20,14.989987953420876,1,1.0416450551106457e-05,14.989998369871426
2,House02,"4,5-3_slow",2,pmfs_1_1,-4.726874447290338e-11,0,4.808309306146559e-11,8.143485885622151e-13
2,House02,"4,5-3_slow",3,pmfs_2_1,-2.148545576641143,0,2.568683938329256,0.420138361688113
2,House02,"4,5-3_slow",4,pmfs_2_38,11.708546212667969,1,71.9910349156151,83.69958112828307
2,House02,"4,5-3_slow",5,pmfs_2_37,30.20320113806302,1,4.226031526970209,34.429232665033226
