environment_index	house	wind	source_index	source_id	target_replicate	requested_seed	resolved_seed_base_uint32	cube_sha256	cube_bytes	pooled_sha256	pooled_bytes	run_dir
1	House02	3,5-1_slow	0	pmfs_12_20	1	2026121001	2026121001	c9c24922688dc8e6e53e549435db13161fa001a03b77025a24af4738d23cb95e	395208	3192c4c1ac05b5ccb16a967290cffaff1ad30cefaaa088e32816abd3b8b43bbb	1328	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E1_House02/3,5-1_slow/pmfs_12_20/t1_seed2026121001
1	House02	3,5-1_slow	1	pmfs_11_20	0	2026121010	2026121010	e9ad4d21153304768c6919f44cf46356bca5f716f40e790af871160e53ae2b44	395208	74c97e916320b13b598d56c1861182387500f4e9121523d3fcc63436537b0368	1328	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E1_House02/3,5-1_slow/pmfs_11_20/t0_seed2026121010
1	House02	3,5-1_slow	1	pmfs_11_20	1	2026121011	2026121011	a2d46e925f79e37e0c8c8132d08efe24701575d0d865dcc24725492cdde7da9c	395208	641c191da217e05b5175daf9993cf5fccc16a8287eb05d68a2ca9d4bc1dfe0e3	1328	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E1_House02/3,5-1_slow/pmfs_11_20/t1_seed2026121011
1	House02	3,5-1_slow	2	pmfs_1_1	0	2026121020	2026121020	2313e17df6939ecdcd02d0689990eeeacfd101aedd253874d07c6440422fa1ae	395208	c81fa8ccbcb0e4c398dad060f3ca81e790ca981726656fbc30ee5f40be476ff9	1328	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E1_House02/3,5-1_slow/pmfs_1_1/t0_seed2026121020
1	House02	3,5-1_slow	2	pmfs_1_1	1	2026121021	2026121021	1d129eb1f06b0ff841a4292ba7f5490a1c7bc28571e723fc4ace30b9807260d2	395208	a82daf6565c085e13a938ec6c09e5ff007e4bb25eec38d20b7b5f3579a8a3f53	1328	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E1_House02/3,5-1_slow/pmfs_1_1/t1_seed2026121021
1	House02	3,5-1_slow	3	pmfs_2_1	0	2026121030	2026121030	5303c6b19296e72220812a576f71111864cf67818ef061fda81d857827884dd6	395208	c75b4b00a00b0291d6be3b22724bdff7151c4fc8ce4a750a828ba1dc106ee2c1	1328	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E1_House02/3,5-1_slow/pmfs_2_1/t0_seed2026121030
1	House02	3,5-1_slow	3	pmfs_2_1	1	2026121031	2026121031	ba87490874c472df0e416cb4bdfe274cc279c839b7902ad1780e0b380ad22959	395208	071fa87334219ac65289fd58db75bb986bd42b51e4763a11a1f99a5fcd9e82ad	1328	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E1_House02/3,5-1_slow/pmfs_2_1/t1_seed2026121031
1	House02	3,5-1_slow	4	pmfs_2_38	0	2026121040	2026121040	d930d878404d9a4be72a46467cf9b78ad32ec230f482df46473a92ce919033ec	395208	9635dd52d7a86007a8abe4f830bc39276455d9b540feabd4595e0047a8276d5b	1328	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E1_House02/3,5-1_slow/pmfs_2_38/t0_seed2026121040
1	House02	3,5-1_slow	4	pmfs_2_38	1	2026121041	2026121041	883c8e850892d4d92664b2183d1e3148aff3e4c42b323b32d359364a02147225	395208	c007dde85c67bb7c7a9d4f490330b17e1abd66418def781334375547361f5e90	1328	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E1_House02/3,5-1_slow/pmfs_2_38/t1_seed2026121041
1	House02	3,5-1_slow	5	pmfs_2_37	0	2026121050	2026121050	4396a613aa29700d21cf974e496f90200243a110018e792ace693086f7eac765	395208	5cc494323c5d1bb3f92f737f7d1d16e0e270ade8cc1814603a42b92fb01da024	1328	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E1_House02/3,5-1_slow/pmfs_2_37/t0_seed2026121050
