environment_index,house,wind,source_index,source_id,target_replicate,requested_seed,cube_sha256,full_truth_nll,shuffled_median_truth_nll,delta_nll,full_truth_rank,shuffled_median_truth_rank,full_top3,shuffled_median_top3
1,House02,"3,5-1_slow",5,pmfs_2_37,1,2026121051,7f2c094453bb5c0c312ed7d90606e3ca0cf5d24aa8f09b615f760d7a71a36763,6.6605948252176805,2.55324530549294,-4.107349519724741,2,2.0,1,1
2,House02,"4,5-3_slow",0,pmfs_12_20,0,2026122000,0ab6d5e02b5d5c8a7db29ac48aae292b35214ae423db9a548aaa328066d71179,1211.3222506840127,1287.7782079364433,76.45595725243061,4,4.0,0,0
2,House02,"4,5-3_slow",0,pmfs_12_20,1,2026122001,60c64e0b0399c435685f9048ddae582be1ab8ccdb16069d0c5170899ac3efb2b,-0.0,0.0,0.0,1,1.0,1,1
2,House02,"4,5-3_slow",1,pmfs_11_20,0,2026122010,18b6008c9c3054fc68f6a1627db73093abf38ee07167bb181cba482c86965a8b,2.0824383012460116e-05,26.07897267135371,26.0789518469707,1,3.0,1,1
2,House02,"4,5-3_slow",1,pmfs_11_20,1,2026122011,a17e52f13e298cbaed6d45a60a93644a6649604c6c500ff53e9f05498a3ffc14,8.518089752799049e-09,3.901024068389142,3.901024059871052,1,2.0,1,1
2,House02,"4,5-3_slow",2,pmfs_1_1,0,2026122020,9434b8af6940ef80440ce31eb408f5e8a960c20e5f253d9fcf6676354b96bd5a,3.549982530096911e-11,7.102096688524603e-13,-3.478961563211665e-11,1,1.0,1,1
2,House02,"4,5-3_slow",2,pmfs_1_1,1,2026122021,0cdb145e3505ea18cdaae6729b92ee3bbd11c23004267c0f20ede01cd4f9a173,6.066636082196207e-11,9.1848750827197e-13,-5.974787331369011e-11,1,1.0,1,1
2,House02,"4,5-3_slow",3,pmfs_2_1,0,2026122030,a3674980f766b414e3ada6f0592a83f7a556153870367fc098842af081a4d6c0,-0.0,0.0,0.0,1,1.0,1,1
2,House02,"4,5-3_slow",3,pmfs_2_1,1,2026122031,2e9ef6f91c66bad85850960c7b5884697ea1143953ec0579702686ef660f69d7,5.137367876658512,0.840276723376226,-4.297091153282286,2,2.0,1,1
2,House02,"4,5-3_slow",4,pmfs_2_38,0,2026122040,7a5b4425a90104906eaa230f32c5f411d07c9120b871afeb0bae67a791ec5438,143.98206983122572,167.39916225656614,23.417092425340428,2,2.0,1,1
2,House02,"4,5-3_slow",4,pmfs_2_38,1,2026122041,445e2c38fac7b9dd9dde5fe49d1cfc51a291d415c8aa039f8f884f3e5c81dd30,4.4899639561789784e-12,0.0,-4.4899639561789784e-12,1,1.0,1,1
2,House02,"4,5-3_slow",5,pmfs_2_37,0,2026122050,b8ddb0c1d1f34f1db8aa6e929ee86a24f8e456fc687b3b980b9f269893733dd5,8.45206293660955,68.85829893176331,60.406235995153764,2,3.0,1,1
2,House02,"4,5-3_slow",5,pmfs_2_37,1,2026122051,5d95f47998a19e126c78cb7494e379c130af8986f6330d0211fe9b92c0619462,1.1733086702226365e-07,0.00016639830314250963,0.00016628097227548738,1,1.0,1,1
