steady_ns,event_id,hit,concentration,wind_speed,wind_direction,robot_i,robot_j,robot_x,robot_y
63031702036634,1,0,0.090779885649681091,0.045481503009796143,-0.55865347385406494,14,20,-3.1700000762939453,-1.75
63039429901751,2,0,0.023477330803871155,0.04558878019452095,-1.2869385480880737,14,20,-3.1700000762939453,-1.75
63047036861226,3,0,4.1698171116877347e-05,0.065157890319824219,-1.7806330919265747,14,20,-3.1700000762939453,-1.75
63054848465993,4,0,6.2690673985343892e-08,0.066853240132331848,-1.6335660219192505,14,20,-3.1700000762939453,-1.75
63062557223853,5,0,9.4251620397223235e-11,0.067597165703773499,-0.51455533504486084,14,20,-3.1700000762939453,-1.75
63072174714179,6,0,3.1617893389178017e-14,0.13650776445865631,0.28385302424430847,6,23,-5.6000003814697266,-0.82999992370605469
63079790993838,7,0,5.6156649894069708e-17,0.082096710801124573,2.3400278091430664,6,23,-5.6000003814697266,-0.82999992370605469
63087556042020,8,0,8.4428108537739834e-20,0.11116693913936615,1.6794580221176147,6,23,-5.6000003814697266,-0.82999992370605469
63095337396243,9,0,1.2693251592436454e-22,0.16578862071037292,0.38162735104560852,6,23,-5.6000003814697266,-0.82999992370605469
63103153449654,10,0,1.9083533838618131e-25,0.14654168486595154,0.31505516171455383,6,23,-5.6000003814697266,-0.82999992370605469
63120573469829,11,0,0.0033230080734938383,0.24688653647899628,1.4967353343963623,4,6,-6.2000002861022949,-5.9300003051757812
63128331648083,12,0,4.9959407988353632e-06,0.21061559021472931,1.6234737634658813,4,6,-6.2000002861022949,-5.9300003051757812
63136138496764,13,0,7.5110921926579977e-09,0.17853131890296936,1.8879340887069702,4,6,-6.2000002861022949,-5.9300003051757812
63143785693754,14,0,1.334047889517409e-11,0.194867342710495,1.8524852991104126,4,6,-6.2000002861022949,-5.9300003051757812
63151543559006,15,0,2.0056600084634828e-14,0.20752575993537903,1.8002387285232544,4,6,-6.2000002861022949,-5.9300003051757812
63167792816327,16,0,0.079855248332023621,0.16990944743156433,-2.9789931774139404,11,24,-4.1000003814697266,-0.52999973297119141
63175562839298,17,0,0.064622119069099426,0.18528150022029877,-2.8947327136993408,11,24,-4.1000003814697266,-0.52999973297119141
63183376847407,18,1,0.10031943023204803,0.2006535530090332,-2.8143191337585449,11,24,-4.1000003814697266,-0.52999973297119141
63191173439616,19,0,0.073175400495529175,0.22274884581565857,-2.8061478137969971,11,24,-4.1000003814697266,-0.52999973297119141
63198980357313,20,0,0.044040221720933914,0.24484416842460632,-2.7980647087097168,11,24,-4.1000003814697266,-0.52999973297119141
